PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 7, filenames: A:[7]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi & B:[8]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.6258454323,-0.005330055952,1
47,65,0.05806943774,0.4195618629,1
47,97,-0.2907803059,0.1822996885,1
47,129,-0.4534871578,-0.1782418489,1
47,161,-0.2302027941,0.1552581489,1
47,193,-0.03910275549,0.4188294411,1
47,225,0.1941823065,0.6875987053,1
47,257,0.3271219134,0.9910439253,1
47,289,0.2371688485,0.8261246681,1
47,321,0.5407006741,0.527356863,1
47,353,0.9491137266,0.6688938141,1
47,385,1.118017197,0.5404871106,1
47,417,0.351968646,-0.03419387341,1
47,449,-0.1012859344,-0.3536971211,1
47,481,0.4000356197,0.07774892449,1
47,513,0.8582946658,4.302117348,1
47,545,0.1241188645,0.8865036368,1
47,577,-0.1952457428,0.3862105608,1
47,609,-0.08322393894,0.5787210464,1
47,641,0.2009613514,0.7151787281,1
47,673,0.260715425,0.5900349021,1
47,705,0.4168257713,0.3816103935,1
47,737,0.2838407755,-0.005824744701,1
47,769,0.1911374927,0.1650885344,1
47,801,1.00744772,0.6952393055,1
47,833,2.316176414,1.699438572,1
47,865,6.198792934,3.290329218,1
47,897,4.147351742,1.765423298,1
47,929,4.963798523,1.917932034,1
47,961,7.005760193,1.826251984,1
47,993,10.18482494,-0.2941105366,1
47,1025,3.638297081,0.3765257597,1
47,1057,11.45686913,1.217747688,1
47,1089,14.38452148,2.518882751,1
47,1121,12.55464172,3.18513298,1
47,1153,11.46000481,3.394728661,1
47,1185,16.20973778,0.5136637688,1
47,1217,19.87781334,1.970740795,1
47,1249,19.60205269,2.227859259,1
47,1281,20.55967331,3.044541121,1
47,1313,22.12114334,3.844786167,1
47,1345,21.71219254,3.058368683,1
47,1377,13.72255516,2.022846222,1
47,1409,14.22544479,-2.174055815,1
47,1441,15.04257965,-4.10866642,1
47,1473,16.62558746,-4.415318489,1
47,1505,19.9457283,-1.91997242,1
47,1537,18.34874916,-0.2968027592,1
47,1569,20.67775536,-1.472462177,1
47,1601,16.06380844,-5.255285263,1
47,1633,12.59775734,-3.338074923,1
47,1665,10.61814213,-3.260531425,1
47,1697,23.59279442,10.50243568,1
47,1729,0.3089761734,-0.153195858,1
47,1761,8.435685158,0.3747262955,1
47,1793,8.197935104,1.118887424,1
47,1825,2.696813583,4.029598713,1
47,1857,-4.501176357,8.575957298,1
47,1889,1.057367802,-2.239948273,1
47,1921,1.72781992,-3.262393236,1
47,1953,1.699533463,-2.255130291,1
47,1985,0.4668931365,-13.68550968,1
47,2017,-18.8974762,1.750162125,1
79,33,0.115640536,0.01140029728,1
79,65,0.1038115844,0.4885674417,1
79,97,-0.08257739246,0.4016743302,1
79,129,-0.4118323624,0.02544766665,1
79,161,-0.1905084997,0.18861112,1
79,193,0.05764912814,0.4355903864,1
79,225,0.09356860071,0.3064599633,1
79,257,0.2299633622,0.4183072448,1
79,289,0.319095701,0.5375556946,1
79,321,0.6462484598,0.197763741,1
79,353,0.8117889762,-0.1177864671,1
79,385,0.6667194963,0.193844527,1
79,417,0.338547647,0.3276228905,1
79,449,0.06560358405,-0.01291519403,1
79,481,0.3384195268,0.3366526961,1
79,513,3.385505438,4.594690323,1
79,545,0.1297745407,0.03891450167,1
79,577,0.195150733,0.1272413731,1
79,609,0.2454619408,0.5767920017,1
79,641,-0.1222025752,0.7161589861,1
79,673,-0.1446983516,0.5474720001,1
79,705,0.5514806509,0.4030808806,1
79,737,1.120271206,0.3127241135,1
79,769,3.234742165,2.611624241,1
79,801,1.699890852,0.5265156031,1
79,833,6.726119995,1.31535387,1
79,865,7.482888699,5.149744034,1
79,897,7.620905399,5.457670689,1
79,929,8.197050095,2.116744041,1
79,961,9.218421936,1.881993532,1
79,993,10.25447941,1.421194434,1
79,1025,10.95970154,0.6392190456,1
79,1057,11.75455856,1.466179848,1
79,1089,13.3004179,2.748408079,1
79,1121,16.48873711,4.134327888,1
79,1153,17.52192497,3.99495554,1
79,1185,19.41212463,2.12212038,1
79,1217,20.8358345,1.407920837,1
79,1249,20.54381561,1.934634805,1
79,1281,21.84348869,2.022812605,1
79,1313,23.40137482,1.563013792,1
79,1345,21.5965786,1.68810463,1
79,1377,14.28257561,0.08388090134,1
79,1409,15.67394257,-3.966233969,1
79,1441,15.77437973,-3.850530386,1
79,1473,15.88103485,-3.337523937,1
79,1505,17.10174942,1.34698391,1
79,1537,15.40604591,1.477741003,1
79,1569,17.11966896,-5.623662472,1
79,1601,16.3833065,-6.641791344,1
79,1633,15.34318447,-5.102159023,1
79,1665,13.24127483,-4.471076965,1
79,1697,11.92690754,-4.421636581,1
79,1729,13.26394463,-2.226839066,1
79,1761,12.02216721,-3.582014084,1
79,1793,8.818509102,-7.738801956,1
79,1825,2.289271355,-3.106931686,1
79,1857,2.251317501,2.926938772,1
79,1889,-1.794176102,2.851795197,1
79,1921,-0.1499304473,-0.1113038957,1
79,1953,0.8295342922,-1.244657755,1
79,1985,0.4702405334,-1.076449513,1
79,2017,-17.92364693,-4.35185194,1
