PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi & B:[10]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.3824827075,0.1211838722,1
47,65,0.4290152788,-0.3564568162,1
47,97,-0.007212221622,0.1466939002,1
47,129,-0.03383302689,0.09580770135,1
47,161,-0.06713138521,-0.07424816489,1
47,193,-0.1457629204,-0.1007288098,1
47,225,-0.2323812842,0.5428646803,1
47,257,-0.02876374125,1.153860688,1
47,289,0.1670060754,1.012497067,1
47,321,0.2134157717,0.05707114935,1
47,353,0.0202114284,0.06458187103,1
47,385,-0.4653666019,0.3457104564,1
47,417,-1.194390535,0.867390573,1
47,449,-1.203736305,1.061947346,1
47,481,-1.025676608,0.7578399777,1
47,513,-0.5243119001,0.6929863095,1
47,545,0.1133567989,0.06219494343,1
47,577,0.3453395367,0.1690270305,1
47,609,0.1125112772,0.6131898761,1
47,641,-0.2296151668,0.3359515965,1
47,673,-0.07997974753,-0.1270367503,1
47,705,0.08783823252,-0.289198637,1
47,737,0.4317315817,-0.09341412783,1
47,769,0.03604424,0.3123376369,1
47,801,-0.1552474499,0.2460796237,1
47,833,0.7094230652,0.2082832456,1
47,865,1.393687487,0.7285926938,1
47,897,-10.31163883,-5.41364193,1
47,929,0.3474340439,-0.6239300966,1
47,961,0.6972055435,0.3174686432,1
47,993,-0.2360897064,0.05224728584,1
47,1025,7.548558235,0.8945995569,1
47,1057,7.996876717,1.62567544,1
47,1089,11.03032207,0.9827690125,1
47,1121,15.66423798,3.440768719,1
47,1153,18.87998009,5.017426014,1
47,1185,14.77670002,2.658809185,1
47,1217,15.31583023,4.674785614,1
47,1249,15.68410301,2.331830502,1
47,1281,16.69410324,-0.2472685575,1
47,1313,13.17788124,-2.288855314,1
47,1345,14.6500206,-2.599188566,1
47,1377,23.27331924,-3.854923964,1
47,1409,23.33737373,-3.175117493,1
47,1441,13.67394066,-2.498892546,1
47,1473,12.9262886,0.3839882612,1
47,1505,13.51601028,-0.3528749943,1
47,1537,12.17096138,-4.145674229,1
47,1569,11.44282532,-2.882447481,1
47,1601,11.83254623,-0.5439114571,1
47,1633,10.8173275,-4.153808594,1
47,1665,6.906793594,-6.704005241,1
47,1697,-13.65681744,2.824906349,1
47,1729,-0.2940061092,0.3713540435,1
47,1761,0.5055277944,0.5881463289,1
47,1793,2.987509251,-0.5277221203,1
47,1825,1.598339081,-0.585344553,1
47,1857,0.3899481297,-0.8403227329,1
47,1889,-0.09064334631,-0.2582963705,1
47,1921,0.1486421227,-0.4200251698,1
47,1953,0.3819715977,-0.1483585238,1
47,1985,0.2998774648,0.08778303862,1
47,2017,-0.2374766469,-2.040224075,1
79,33,0.05048267543,0.1182903945,1
79,65,-0.02268047817,-0.06393945962,1
79,97,-0.1599425375,0.402915448,1
79,129,-0.1332140863,0.3934983015,1
79,161,-0.286999464,0.07864052802,1
79,193,-0.2360818833,0.1780132353,1
79,225,-0.2562940121,0.6240079999,1
79,257,-0.03221162036,0.6651846766,1
79,289,0.06691797823,0.8962254524,1
79,321,-0.1958620846,0.6247388124,1
79,353,-0.3705992401,0.07946068048,1
79,385,-0.639865756,0.1592544019,1
79,417,-0.7789466977,0.9384611845,1
79,449,-0.6277891397,1.193054914,1
79,481,-0.5285389423,1.018602014,1
79,513,-0.3344328403,1.058797836,1
79,545,-0.2300374806,0.5834894776,1
79,577,-0.3120899796,0.3699261844,1
79,609,-0.1757983267,0.5887005329,1
79,641,-0.3172050714,0.3037990332,1
79,673,-0.4088284969,-0.1736484468,1
79,705,0.2086316049,0.04366710782,1
79,737,0.4073122144,0.6277810335,1
79,769,-0.1240186989,0.7657635808,1
79,801,-0.056933254,0.6184537411,1
79,833,0.2412578464,0.7811617851,1
79,865,0.4371135831,1.030410647,1
79,897,1.319505334,0.9197428226,1
79,929,1.904245377,0.3792860508,1
79,961,5.322456837,1.905790329,1
79,993,7.364884853,2.330981255,1
79,1025,8.253006935,1.988251328,1
79,1057,9.131742477,1.860272408,1
79,1089,5.037797928,4.668283463,1
79,1121,11.8918829,3.219058275,1
79,1153,11.8763504,2.206290722,1
79,1185,12.58510113,2.03965044,1
79,1217,13.64501953,3.716452122,1
79,1249,14.88567448,0.9410712719,1
79,1281,14.82547188,-0.7937158346,1
79,1313,9.912586212,-0.07344466448,1
79,1345,11.44628143,-1.034209847,1
79,1377,16.28688812,-2.150521278,1
79,1409,16.71622276,-2.21558404,1
79,1441,15.39938164,-1.198753834,1
79,1473,17.92837524,-0.9761074781,1
79,1505,21.14745903,-2.765026093,1
79,1537,10.23651218,-2.22200942,1
79,1569,8.643474579,-5.834839821,1
79,1601,5.348456383,-4.179213047,1
79,1633,6.210704803,-4.410274506,1
79,1665,3.664102554,-2.643358231,1
79,1697,4.566530228,-5.09318161,1
79,1729,6.344573021,-3.217464924,1
79,1761,-0.616291523,-0.07580183446,1
79,1793,-1.214229345,-18.59984207,1
79,1825,11.45970917,0.9826537371,1
79,1857,-0.2739648521,-0.3148194253,1
79,1889,-0.4479772449,0.3398071826,1
79,1921,-0.36332798,0.1313956827,1
79,1953,-0.1028369814,-0.07928726077,1
79,1985,-0.009066939354,0.1779308319,1
79,2017,-0.1834571362,-1.437449932,1
111,33,0.2023798823,-0.005282372236,1
111,65,-0.1095330864,0.2529429793,1
111,97,-0.2759923935,0.2601382434,1
111,129,-0.2088459134,0.1949917227,1
111,161,-0.2159109116,0.1127328724,1
111,193,-0.1925595254,0.2172384262,1
111,225,-0.3498724997,0.2792927921,1
111,257,-0.2678935528,0.4271778464,1
111,289,0.126293242,0.6871113777,1
111,321,-0.1536258012,0.6352007389,1
111,353,-0.5840580463,0.3627254367,1
111,385,-0.5017609,0.2341204286,1
111,417,0.06327143312,0.4344727397,1
111,449,-0.2479229569,0.7057284713,1
111,481,-0.2781577706,0.7448152304,1
111,513,0.08557713032,0.7157071829,1
111,545,-0.264878422,0.6584008336,1
111,577,-0.4764813483,0.3488474488,1
111,609,0.06176444888,0.4068421423,1
111,641,0.09095010161,-0.02109649777,1
111,673,-0.5029505491,-0.2959988713,1
111,705,-0.4804521203,0.2174201012,1
111,737,-0.4069103003,0.7887892127,1
