PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 6, filenames: A:[6]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi & B:[7]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.1720921695,0.2202178836,1
47,65,-0.2090616226,0.05842540786,1
47,97,0.164943397,0.3003810942,1
47,129,0.5003169179,0.2943179607,1
47,161,-0.1541988552,0.1957810521,1
47,193,-0.200823471,0.8384650946,1
47,225,-0.0004339069128,1.00492835,1
47,257,-0.09482869506,0.8027391434,1
47,289,-0.2549282312,0.67607373,1
47,321,0.1772451401,0.3947604299,1
47,353,0.3474757373,0.1353680491,1
47,385,-0.04878382385,0.5108901858,1
47,417,-0.0931403935,0.9213495255,1
47,449,-0.1382718682,0.9965607524,1
47,481,-0.47476542,0.8037064075,1
47,513,-2.620343924,4.165565491,1
47,545,-0.8989284039,0.2459840775,1
47,577,0.5977334976,2.598013401,1
47,609,0.6320590973,0.5599093437,1
47,641,-0.1146740913,-0.4317131042,1
47,673,2.45728302,7.249037743,1
47,705,7.158381462,8.976201057,1
47,737,6.215203285,6.893398285,1
47,769,5.732627392,5.489159584,1
47,801,6.514651299,4.453310966,1
47,833,7.463868141,4.558832169,1
47,865,7.826835632,3.912887573,1
47,897,8.018162727,4.171262741,1
47,929,8.325134277,2.042565346,1
47,961,9.802985191,2.38692379,1
47,993,10.42413139,3.650707006,1
47,1025,10.15933037,2.087000132,1
47,1057,10.03650761,0.2290480137,1
47,1089,2.449352264,-0.5003246069,1
47,1121,11.73965645,3.938866138,1
47,1153,12.2300396,2.275010109,1
47,1185,16.58317184,-3.346128464,1
47,1217,14.42168045,-0.001168727875,1
47,1249,15.99633026,1.185717344,1
47,1281,18.66005135,3.862622976,1
47,1313,19.32157898,-2.105717659,1
47,1345,18.80996704,0.2231743336,1
47,1377,17.0658226,-3.291234016,1
47,1409,12.56602001,-5.359255791,1
47,1441,12.40902233,-1.592730045,1
47,1473,12.73577404,-0.01534724236,1
47,1505,14.29939842,0.1707763672,1
47,1537,15.38089561,-1.930294037,1
47,1569,14.62722111,2.614155769,1
47,1601,13.74022102,5.123644352,1
47,1633,13.92508888,3.490111828,1
47,1665,1.589383125,-0.5708066821,1
47,1697,11.99265099,-8.612259865,1
47,1729,10.08812809,-5.909068584,1
47,1761,11.01363564,-2.842862368,1
47,1793,0.4405660629,0.9770421982,1
47,1825,14.22807312,-4.718022346,1
47,1857,4.933546066,-1.652330399,1
47,1889,4.292201042,4.427696228,1
47,1921,15.98546219,-15.25575924,1
47,1953,-3.011332035,0.6070705056,1
47,1985,-0.3939970732,0.1564713418,1
47,2017,17.80583954,-6.506291866,1
79,33,-0.1919483095,0.1308082342,1
