PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 11, filenames: A:[11]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi & B:[12]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.009447157383,0.495868206,1
47,65,0.4374830723,-0.2507845759,1
47,97,0.4267961383,-0.1696757823,1
47,129,0.07096379995,-0.02326327562,1
47,161,0.06645798683,-0.2008559406,1
47,193,0.3203324676,-0.132484287,1
47,225,0.05669024587,-0.1278226078,1
47,257,0.3502361178,-0.003648266196,1
47,289,0.5337689519,-0.01930901408,1
47,321,0.1521358192,0.1451778859,1
47,353,0.05021797121,-0.01557403803,1
47,385,0.2725081742,0.1570199728,1
47,417,-0.005152277648,0.6942853928,1
47,449,-0.3287972808,0.4701604843,1
47,481,-0.2137039304,0.5627864599,1
47,513,0.3027411699,0.6824017167,1
47,545,0.8459596634,0.5251957774,1
47,577,0.4663042724,-0.09256979823,1
47,609,-0.3423376083,0.9790835977,1
47,641,-0.3292420506,2.09317255,1
47,673,-0.1276789904,0.08593320847,1
47,705,0.119023338,-0.2758084536,1
47,737,0.2531351149,-0.06271708012,1
47,769,0.2193384469,0.4214994609,1
47,801,0.3250977397,0.6655198336,1
47,833,0.5292639136,0.5241855383,1
47,865,0.8455934525,0.2043813467,1
47,897,1.083430529,0.1794142276,1
47,929,0.9469045401,-0.1407526731,1
47,961,1.0777421,-0.3382707238,1
47,993,2.701920986,0.2176311016,1
47,1025,2.197485209,-0.2093214989,1
47,1057,-0.1067204475,-0.7375364304,1
47,1089,0.08466625214,0.2216639519,1
47,1121,8.855613708,-0.1171978712,1
47,1153,12.09225941,4.138477325,1
47,1185,8.826385498,6.799817085,1
47,1217,8.324905396,4.620610237,1
47,1249,6.230703354,2.476609945,1
47,1281,7.765993595,0.1569142342,1
47,1313,0.5503196716,-2.712207317,1
47,1345,7.017072678,-3.366107464,1
47,1377,8.396822929,-3.364155769,1
47,1409,9.916828156,-1.282627821,1
47,1441,9.035318375,-1.610107422,1
47,1473,9.907277107,-3.81382513,1
47,1505,8.570962906,-1.886284828,1
47,1537,9.529231071,-5.138133049,1
47,1569,4.460718155,-6.756803513,1
47,1601,1.411249638,-6.885541439,1
47,1633,4.029738903,-5.541493416,1
47,1665,5.87136364,-4.090194702,1
47,1697,9.517751694,-3.94650054,1
47,1729,4.016673565,-1.911176682,1
47,1761,3.59247756,-1.413721919,1
47,1793,-0.7549402714,-0.08224362135,1
47,1825,-0.8401238918,-0.1253359318,1
47,1857,-0.04452729225,-0.1445804238,1
47,1889,0.01682549715,0.05289450288,1
47,1921,-0.1571034193,0.09859094024,1
47,1953,-0.4276066422,0.1546806246,1
47,1985,-0.2714735866,0.3001594543,1
47,2017,0.6991218328,-0.897893548,1
79,33,-0.1024765819,0.5510123968,1
79,65,0.3079815805,-0.3253095448,1
79,97,0.3388133943,-0.1812470406,1
79,129,-0.1528944522,-0.08648250997,1
79,161,-0.2483906001,0.07301338762,1
79,193,-0.1978272796,0.2744673789,1
79,225,-0.3735304475,0.378952682,1
79,257,0.07369178534,0.3817826509,1
79,289,0.16078794,-0.001385658979,1
79,321,0.004481174052,-0.004130624235,1
79,353,-0.02668002993,-0.08905595541,1
79,385,0.06325852126,-0.1211289763,1
79,417,-0.1561772525,0.3420943022,1
79,449,-0.09909290075,0.2912962437,1
79,481,0.07837833464,0.7174471021,1
79,513,0.3090678751,0.875739634,1
79,545,0.8581603169,0.06258034706,1
79,577,0.4177748561,-0.1939145029,1
79,609,-0.03814519942,0.8598622084,1
79,641,0.1741784811,1.343901873,1
79,673,0.07567898929,0.6842409372,1
79,705,0.45984146,0.5654346943,1
79,737,0.4994413257,0.2881720066,1
79,769,0.2115973085,0.2788978815,1
79,801,-0.09841895103,0.7048194408,1
79,833,0.08784022927,0.257799387,1
79,865,0.6246820092,0.1778995991,1
79,897,0.5584546328,0.2059187293,1
79,929,0.430962801,0.02617646754,1
79,961,0.8010482788,0.2497767806,1
79,993,1.268882036,0.1836898625,1
79,1025,0.9021945,-0.01272404194,1
79,1057,1.117343903,0.4668969512,1
79,1089,-0.9964561462,19.13194656,1
79,1121,10.06546593,1.009179831,1
79,1153,8.635772705,5.065519333,1
79,1185,7.383773327,6.796895027,1
79,1217,5.768240929,4.736861706,1
79,1249,5.486847401,2.20580554,1
79,1281,4.62040472,1.493783712,1
79,1313,3.342928886,0.5848118067,1
79,1345,7.435004711,-0.8873414993,1
79,1377,8.230977058,-1.012493372,1
79,1409,9.341976166,-0.93323946,1
79,1441,10.08986187,-1.91354847,1
79,1473,8.830997467,-2.659617901,1
79,1505,7.925701141,-2.985989809,1
79,1537,8.821472168,-3.666787386,1
79,1569,6.038702011,-4.470821857,1
79,1601,5.183768272,-4.420690536,1
79,1633,5.382214546,-5.182275295,1
79,1665,3.15908432,-4.677807808,1
79,1697,0.2446351051,-0.3207478523,1
79,1729,2.209424734,-0.7266460061,1
79,1761,1.463678002,-0.5244258046,1
79,1793,0.03955888748,-0.7574671507,1
79,1825,-0.1358437836,-0.5987890363,1
79,1857,0.07558442652,-0.1203847826,1
79,1889,-0.2261531949,0.06088040769,1
79,1921,-0.1658369005,0.1369200796,1
79,1953,0.01643646508,0.08229926229,1
79,1985,0.1173668429,0.01310437918,1
79,2017,0.0703612566,-0.6618915796,1
111,33,-0.01374110579,0.4990689754,1
111,65,0.1600664556,-0.5876948237,1
111,97,-0.01229304075,-0.3368767798,1
111,129,-0.241705969,-0.09449741244,1
111,161,-0.1711647213,-6.857234985e-05,1
111,193,-0.3865710497,0.4219988286,1
111,225,-0.5829951763,0.432960093,1
111,257,0.003138810396,0.2284224629,1
111,289,-0.03864592314,-0.0647661835,1
111,321,-0.152186662,-0.3887137771,1
111,353,-0.04561398923,-0.2229789197,1
111,385,-0.2620746493,0.02718075365,1
111,417,-0.3474968672,0.2079168558,1
111,449,-0.07753799856,0.4771260917,1
111,481,0.2198722661,0.8765232563,1
111,513,0.325486958,1.094171286,1
111,545,0.4144019186,0.02954050899,1
111,577,0.3048170805,-0.2750108242,1
111,609,0.2439292371,0.4935020208,1
111,641,0.2424088418,0.8825766444,1
111,673,0.1427987963,0.6682017446,1
111,705,0.38064605,0.7765202522,1
111,737,0.2939031124,0.6262820959,1
111,769,0.5274849534,0.2274380326,1
111,801,0.6804711819,0.3503363431,1
111,833,0.431407094,0.3458990157,1
111,865,0.6730818748,0.08971264958,1
111,897,0.4200376272,-0.224955827,1
111,929,0.1405627728,-0.008562430739,1
111,961,0.1690807343,0.4988923073,1
111,993,0.5783320665,0.9004662037,1
111,1025,2.352929354,1.008292794,1
111,1057,5.191282272,0.9485501051,1
111,1089,7.036086559,1.237306595,1
111,1121,10.60343933,1.698019505,1
111,1153,5.800706387,3.264973402,1
111,1185,6.305072308,4.581204414,1
111,1217,5.56287241,5.109025955,1
111,1249,5.823933601,2.696524382,1
111,1281,4.787307739,2.056632042,1
111,1313,4.580867767,2.590845108,1
111,1345,6.756258965,1.271637559,1
111,1377,8.093229294,-0.2648707628,1
111,1409,8.63737011,-1.177011847,1
111,1441,8.118665695,-0.9032452106,1
111,1473,8.042237282,-1.813938618,1
111,1505,8.347651482,-3.519861698,1
111,1537,8.289289474,-3.76409173,1
111,1569,7.447782516,-4.467401028,1
111,1601,6.948014736,-3.205952644,1
111,1633,6.798774242,-2.002277851,1
111,1665,4.089910984,-4.469787598,1
111,1697,-0.1432621479,-0.9677200317,1
111,1729,-0.3408575654,-0.6625499725,1
111,1761,0.09005641937,-0.444735527,1
111,1793,0.1962080002,-0.7528819442,1
111,1825,0.5136624575,-0.8848164082,1
111,1857,0.4186560512,-0.4267826676,1
111,1889,-0.01828800142,0.003331810236,1
111,1921,-0.0528004542,0.1335827112,1
111,1953,0.1629081368,-0.2079377174,1
111,1985,0.3041303754,-0.1235380769,1
111,2017,-0.07124599814,-0.500683248,1
143,33,0.0775924921,0.3885027766,1
143,65,-0.1343931258,-0.4563526809,1
143,97,-0.100499548,-0.06086049974,1
143,129,-0.3525315523,0.1067471653,1
143,161,-0.2544702291,-0.2057545781,1
143,193,-0.170559749,0.3817870319,1
143,225,-0.2612694502,0.5326405764,1
143,257,-0.09282484651,0.1977353394,1
143,289,-0.1596269161,-0.04905042052,1
143,321,-0.07828782499,-0.3097383976,1
143,353,-0.07619719207,-0.2155790627,1
143,385,0.05658963323,0.08574169129,1
143,417,-0.001462325454,0.4340284467,1
143,449,-0.3728574216,0.4342314601,1
143,481,0.02051715553,0.5491417646,1
143,513,0.1285571456,0.723754108,1
143,545,-0.2425878495,0.5161617994,1
143,577,-0.1172334105,0.1520970464,1
143,609,0.4803650081,0.5615307689,1
143,641,0.3340788782,0.9305491447,1
143,673,-0.1034016162,0.8818463087,1
143,705,-0.5084069967,0.7866252661,1
143,737,-0.1187904626,0.667547524,1
143,769,0.3153583407,0.5602545738,1
