PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 4, filenames: A:[4]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi & B:[5]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.122262001,0.08949118853,1
47,65,-0.1612020731,0.08750334382,1
47,97,-0.07259843498,0.05491048098,1
47,129,0.1096498519,0.05915550888,1
47,161,0.2727983296,-0.08140361309,1
47,193,0.2030353546,-0.04649755359,1
47,225,0.2587753236,0.1719846427,1
47,257,-0.1911228299,0.655418396,1
47,289,-0.3902616501,0.4054384232,1
47,321,0.6566789746,1.510792017,1
47,353,1.370876551,2.436234951,1
47,385,1.41211915,3.817660332,1
47,417,0.5908967853,-0.09136199951,1
47,449,-0.3146199584,-1.902135372,1
47,481,-0.2627800703,4.056260109,1
47,513,0.1162154675,9.655986786,1
47,545,0.6449841261,7.17324543,1
47,577,0.3326094151,1.117821693,1
47,609,7.537865162,4.652060509,1
47,641,7.856296062,4.250106812,1
47,673,-0.00808095932,6.212190151,1
47,705,4.91658926,11.32446098,1
47,737,0.4298210144,10.08769131,1
47,769,13.78892517,10.90679836,1
47,801,15.3658905,5.761831284,1
47,833,16.51171494,4.38272953,1
47,865,8.78814888,12.36474705,1
47,897,3.78481102,24.68408203,1
47,929,15.65956116,1.241124153,1
47,961,19.84175873,8.605272293,1
47,993,17.94877815,8.812793732,1
47,1025,18.08668137,5.083480835,1
47,1057,16.24049759,2.745173454,1
47,1089,18.687006,1.801998615,1
47,1121,18.96370316,8.514866829,1
47,1153,17.38445663,4.591684341,1
47,1185,14.73685169,5.981944561,1
47,1217,12.65811729,5.214048862,1
47,1249,18.49805832,3.417584896,1
47,1281,21.81127739,5.980471611,1
47,1313,16.10846901,1.364657402,1
47,1345,8.291080475,0.3312116861,1
47,1377,10.78334427,2.604343653,1
47,1409,16.61091995,0.7106696367,1
47,1441,17.41991997,-3.847052336,1
47,1473,15.30016041,-5.432461739,1
47,1505,9.209629059,-3.440957546,1
47,1537,7.938405037,-3.481852531,1
47,1569,11.2714653,-11.1056633,1
47,1601,11.47285461,-3.81112957,1
47,1633,14.39837837,-1.655714035,1
47,1665,29.85103607,-12.76922894,1
47,1697,1.449419022,0.6963165402,1
47,1729,-1.940539837,-4.585085392,1
47,1761,-10.82032967,-17.30095673,1
47,1793,-3.618232727,2.24149847,1
47,1825,16.00405502,-0.6056034565,1
47,1857,4.571653366,-0.9824715853,1
47,1889,1.748631477,-0.1339594722,1
47,1921,-8.903863907,1.046361446,1
47,1953,-5.701808929,0.3579621315,1
47,1985,8.989095688,0.7791495919,1
47,2017,51.92795181,-2.925935268,1
79,33,-0.004505634308,0.3835293055,1
79,65,-0.0206066519,-0.08093062043,1
79,97,-0.05278676748,0.1189154685,1
79,129,-0.002444513142,0.1824576557,1
79,161,0.1908366084,0.4011155665,1
79,193,0.2612133622,0.4868792295,1
79,225,0.1179311499,0.2630161345,1
79,257,-0.1587837636,0.2727603316,1
79,289,-0.3563864231,0.3840541244,1
79,321,0.2160946578,1.065788984,1
79,353,1.281068325,1.449640512,1
79,385,0.8261781335,1.150979996,1
79,417,0.8993343711,0.4014850855,1
79,449,1.318196297,-0.09973675013,1
