 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,4805.340,119.649,101.854,140.738,337.785,115.350,53.042,177.475,0.529,3.867,100,2.175,0.460,0.827
2,3737.624,120.694,98.038,138.779,284.148,101.789,46.752,175.208,0.582,3.482,100,2.177,0.459,0.870
3,2872.935,122.061,95.918,136.525,248.136,87.555,41.779,176.934,0.586,3.083,100,2.096,0.477,0.861
4,2398.605,123.214,96.592,134.660,217.346,81.265,37.581,176.232,0.638,2.821,100,2.162,0.462,0.903
5,1381.531,127.848,90.766,133.599,163.679,65.413,26.891,177.416,0.648,2.073,100,2.433,0.411,0.919
6,1060.326,131.145,90.842,133.652,139.895,57.864,23.331,179.207,0.681,1.749,100,2.480,0.403,0.955
7,885.241,133.808,91.771,133.668,131.188,53.930,20.900,0.209,0.646,1.554,100,2.580,0.388,0.931
8,724.128,136.770,91.988,133.206,116.298,48.419,19.042,179.949,0.673,1.400,100,2.543,0.393,0.953
9,531.940,140.041,92.025,133.040,101.045,42.610,15.895,0.882,0.655,1.292,100,2.681,0.373,0.948
10,446.773,143.025,92.944,133.120,91.004,37.500,15.169,3.768,0.678,1.221,100,2.472,0.405,0.932
11,390.078,143.809,93.362,132.634,82.989,34.507,14.393,4.622,0.712,1.240,100,2.398,0.417,0.964
12,281.543,141.577,93.710,133.128,70.020,29.678,12.079,3.237,0.722,1.330,100,2.457,0.407,1.000
13,251.699,138.317,93.617,133.177,63.619,26.217,12.224,5.746,0.781,1.451,100,2.145,0.466,1.000
14,229.493,136.278,93.735,132.777,61.690,25.391,11.508,5.135,0.758,1.728,100,2.206,0.453,1.000
15,183.179,129.964,93.850,132.920,57.374,23.352,9.988,3.389,0.699,2.163,100,2.338,0.428,0.988
