Time (hpf),18012024_K4K8Mutant_Pos006,18012024_K4K8Mutant_Pos005,18012024_K4K8Mutant_Pos007,18012024_K4K8Mutant_Pos004
4.0,4.08353125,2.2629047619047618,4.63421052631579,11.847333333333331
4.521428571428571,8.114142857142857,4.946851851851853,7.2785762711864415,12.205358974358973
5.142857142857142,8.55159574468085,5.402618181818181,8.12342372881356,26.257377777777776
5.4642857142857135,9.691,6.766260000000001,9.243366666666669,23.981897435897437
5.785714285714285,10.306083333333335,7.756490909090909,10.260322033898303,27.21377777777777
6.107142857142856,11.17894,8.18311320754717,10.623419354838708,30.530043478260865
6.428571428571427,12.35908,8.357641509433963,11.643250000000002,32.7950625
6.749999999999998,13.85495918367347,9.183442307692308,12.47090163934426,15.029307692307691
7.071428571428569,14.572547169811324,8.667387755102041,12.797086206896552,17.12518604651163
7.392857142857141,16.296777777777777,9.82502,13.916527272727272,17.901826086956525
7.714285714285712,17.520173913043482,10.982040816326531,14.825375,18.03173333333333
8.035714285714283,19.052613636363635,12.1258085106383,15.31039655172414,19.74228888888889
8.357142857142854,20.52859090909091,12.09167391304348,16.715879310344828,22.80979069767442
8.678571428571425,22.1616511627907,12.795083333333332,17.753796610169495,24.145760869565216
