Time (hpf),control_210323_vPos001,control_210323_vPos002,control_1901vPos001,control_1901vPos002,K4K8MO_210323_vPos003,K4K8MO_210323_vPos004,K4K8MO_1901vPos003,K4K8MO_1901vPos004,K4K8mutant_03052023_vPos003,K4K8mutant_03052023_vPos004,K4K8mutant_03052023_vPos005
4.25,0.9764797507788172,0.7793146417445471,1.087089430894309,0.476390243902439,0.6916822429906553,0.9409034267912784,1.0143414634146335,1.0071219513333334,0.6759285714285702,0.49978571428571467,0.4700714285714284
4.75,1.5727414330218075,1.1178193146417448,1.3312845528455288,0.9391219512195118,0.7713395638629281,0.9541121495327088,0.5427642276422764,0.9386991873333334,0.9866785714285717,1.387035714285715,0.8865000000000001
5.25,1.2184112149532709,1.230498442367602,1.5104390243902428,1.3329756097560967,1.1997819314641738,0.9109968847352041,0.9483577235772351,0.5376585366666667,1.054,2.2259285714285704,0.7625357142857152
5.75,1.4115576323987533,1.2483489096573193,2.4354796747967487,1.5367154471544724,1.219968847352025,0.7420872274143293,1.0833495934959363,0.6452032523333334,1.213,1.8814642857142871,1.0854999999999981
6.25,1.5103738317757014,1.8853582554517168,2.0502113821138206,1.2322276422764233,1.4247975077881616,0.9316822429906537,1.278341463414633,0.7938211383333332,1.2897142857142865,1.803607142857142,1.1493571428571434
6.75,1.6563551401869145,1.618504672897195,2.519154471544717,1.3626016260162597,1.6504672897196286,0.8854205607476653,1.1876097560975614,1.151121951,1.7727857142857135,1.4591071428571434,0.8179999999999998
7.25,2.6335514018691604,2.0742056074766353,2.6906341463414587,1.9375934959349597,1.4503115264797495,0.8802492211837998,1.5248130081300826,1.0881951220000001,1.3884285714285727,1.4514642857142865,2.0178214285714295
7.75,2.6123676012461052,2.6113084112149565,,2.1287804878048795,1.3109968847352018,0.5542056074766362,1.186731707317072,1.1310569106666666,1.694619047619047,1.375452380952381,1.3851527619047603
8.25,,,,2.1022439024390134,2.0823987538940822,1.3967912772585684,1.0126178861788628,1.0283577236666666,1.0901428571428573,1.6660357142857143,1.2147857142857146
8.75,,,,,1.6243457943925272,0.9542056074766355,1.3139512195121952,1.2113170733333334,1.5989642857142843,1.1586428571428533,1.2669285714285725
9.25,,,,,,0.7747663551401835,,1.1492682926666666,1.2147857142857146,1.269285714285715,1.2666428571428532
9.75,,,,,,,,1.256195122,,,
10.25,,,,,,,,,,,
