Time (hpf),Control,Control_SEM,Mutant,Mutant_SEM,Time mutant,Time morphant,Morphant,Morphantband
4.5,29.88996353383458,4.383779323308273,9.839548955838383,7.065822165178629,4.5,4.25,0.0,0.0
4.83,45.32987040887041,17.133075537075538,13.346399890382537,8.108063390775484,4.83,4.75,0.007472334793080067,0.006020256261204371
5.16,36.191039349593495,0.4704539837398407,17.047987420666576,10.209628798524435,5.16,5.25,0.00549693479375242,0.005088595086993145
5.49,47.33578205128205,3.369935897435891,17.830367264957264,9.934469622173664,5.49,5.75,0.008980151320651964,0.010647414898359731
5.82,53.212897050482134,2.620823879750425,19.526839205576916,10.846104680632259,5.82,6.25,0.06634317250668953,0.05686933086920994
6.15,59.497678571428565,3.486678571428577,21.525314323326302,12.052235395826038,6.15,6.75,0.27659533608606235,0.2525521531230791
6.48,64.88171432346724,2.4811461416490452,23.051184996507686,12.76785909772676,6.48,7.25,1.255628614810704,1.2282533793773915
6.8100000000000005,69.0013449612403,3.3606782945736384,21.395079901535315,12.935435140296946,6.8100000000000005,7.75,1.8979106280193239,1.9212668512773348
7.140000000000001,72.7088075210292,2.3271692231568437,22.601629900090625,13.728005022650239,7.140000000000001,8.25,2.4029636164558164,1.945353147065653
7.470000000000001,77.90269679054055,3.2923842905405394,23.87875749989236,14.072692595358973,7.470000000000001,8.75,2.9067354497354487,2.2954588634569246
7.800000000000001,80.66253945945945,3.883379459459462,25.098524214154263,14.535695408783685,7.800000000000001,,,
8.13,84.68081726044225,3.0868854422604386,27.227950988550038,15.681440584133528,8.13,,,
8.46,86.50467907801419,3.7004875886524715,28.967206598676402,16.523979425699892,8.46,,,
8.790000000000001,90.10638268321512,2.77097842789599,30.58542964362411,17.27165271839416,8.790000000000001,,,
