Time (hpf),K4K8MO_240123_Pos002,K4K8MO_18102022_Pos004,K4K8MO_18102022_Pos005,K4K8Mutant_18012024_Pos003,K4K8Mutant_18012024_Pos004,K4K8Mutant_18012024_Pos005,K4K8Mutant_18012024_Pos006,K4K8Mutant_18012024_Pos007,K4K8Mutant_18012024_Pos008
4.25,,,,,,,,,
4.75,0.002736373748609566,0.0142472972972973,0.005433333333333333,16.394357142857142,12.026346153846152,3.604878306878307,6.098837053571429,5.956393398751116,25.477034482758622
5.25,0.005815789473684212,0.010418604651162792,0.0002564102564102564,22.479348776223773,25.119637606837607,6.0844390909090915,9.121297872340424,8.683395197740113,33.146945512820515
5.75,0.005421052631578948,0.020951219512195123,0.0005681818181818183,24.386090909090907,27.213777777777775,7.756490909090909,10.306083333333335,10.260322033898303,37.23827027027027
6.25,0.01235897435897436,0.12571428571428572,0.0609562574468085,30.05789762134362,31.662552989130432,8.270377358490567,11.769010000000002,11.133334677419356,40.836325313117996
6.75,0.013785714285714285,0.5174575225439013,0.29854277142857144,33.26568253968254,15.029307692307693,9.183442307692307,13.85495918367347,12.47090163934426,44.56618604651163
7.25,0.11156250000000001,2.5535686274509803,1.1017547169811321,35.987463235294115,17.513506066734077,9.246203877551022,15.43466247379455,13.356806739811912,47.90251980676328
7.75,0.06856521739130435,3.8994999999999997,1.7256666666666667,37.772,18.03173333333333,10.982040816326533,17.520173913043482,14.825375,51.45982222222223
8.25,0.34805769230769223,4.216177419354839,2.644655737704918,42.54639285714286,21.276039793281655,12.10874121184089,19.79060227272727,16.013137931034485,56.85055869565218
8.75,0.4906111111111111,5.058666666666665,3.170928571428572,44.33310810810811,24.145760869565216,12.795083333333332,22.1616511627907,17.753796610169495,62.32317777777779
