Time (hpf),Label,NetworkDensity,NetworkDensity_SEM,Area,Area_SEM,Intensity,Intensity_SEM
4.5,18012024_K4K8Mutant_006,4.08353125,0.915982904545773,728.9775,29.43055168952835,257.57165625,9.062547403280847
4.821428571428571,18012024_K4K8Mutant_006,8.114142857142857,0.8862244019203888,751.8026904761905,34.10189881128072,264.911619047619,9.71401145208476
5.142857142857142,18012024_K4K8Mutant_006,8.55159574468085,0.854242624372434,763.0934680851065,25.018998482205305,267.7876808510638,9.444352942690745
5.4642857142857135,18012024_K4K8Mutant_006,9.691,0.9671887064784173,787.1606888888889,29.93127922622089,276.75797777777774,10.356439074290144
5.785714285714285,18012024_K4K8Mutant_006,10.306083333333335,0.9711360413686404,797.6447708333334,27.969165132221498,279.40627083333334,9.709235565695128
6.107142857142856,18012024_K4K8Mutant_006,11.17894,1.0138852526991486,814.2234200000001,28.568100747541937,285.34094,9.82567752256696
6.428571428571427,18012024_K4K8Mutant_006,12.35908,1.0297899174856502,829.7492799999999,28.183301490762506,294.44249999999994,10.047635493731745
6.749999999999998,18012024_K4K8Mutant_006,13.85495918367347,1.1673362446735547,837.650224489796,28.987344919754626,306.99891836734696,11.504443502552942
7.071428571428569,18012024_K4K8Mutant_006,14.572547169811324,1.1884300255651399,821.5800188679245,32.15972567181315,311.8609056603774,10.968234632838797
7.392857142857141,18012024_K4K8Mutant_006,16.296777777777777,1.3921472775220332,886.7060444444444,30.140153564788715,327.868,13.465000433484485
7.714285714285712,18012024_K4K8Mutant_006,17.520173913043482,1.5532988580189715,894.0928043478259,33.30750086353691,337.0601086956522,14.714598391870469
8.035714285714283,18012024_K4K8Mutant_006,19.052613636363635,1.6360731267662683,942.3036136363637,31.81986583492883,350.10347727272733,15.649246668759199
8.357142857142854,18012024_K4K8Mutant_006,20.52859090909091,1.7671301758715683,964.5703863636364,34.374640658359596,362.3269772727272,16.70794216757847
8.678571428571425,18012024_K4K8Mutant_006,22.1616511627907,1.8665592826899247,996.2050465116278,32.62897937382964,376.0729302325581,17.65899394742551
