Time (hpf),18012024_Control_001,18012024_Control_002,18012024_K4K8Mutant_003,18012024_K4K8Mutant_004,18012024_K4K8Mutant_005,18012024_K4K8Mutant_006,18012024_K4K8Mutant_007,18012024_K4K8Mutant_008,24012023_K4K8MO_002,18102022_K8K4MO_004,18102022_K8K4MO_005
4.5,34.27374285714286,25.50618421052631,13.562244897959182,11.847333333333333,2.2629047619047618,4.08353125,4.63421052631579,22.647068965517246,0.002827586206896552,0.0245945945945946,0.0092
4.821428571428571,62.462945945945954,28.196794871794875,19.226469387755103,12.205358974358973,4.946851851851853,8.114142857142857,7.2785762711864415,28.307,0.0026451612903225807,0.0039,0.0016666666666666666
5.142857142857142,36.66149333333334,35.72058536585366,21.68465909090909,26.257377777777776,5.402618181818181,8.55159574468085,8.12342372881356,32.26825,0.005815789473684212,0.010418604651162792,0.0002564102564102564
5.4642857142857135,50.70571794871795,43.965846153846165,23.27403846153846,23.981897435897434,6.766260000000001,9.691,9.243366666666667,34.02564102564103,0.005421052631578948,0.020951219512195123,0.0005681818181818183
5.785714285714285,55.83372093023256,50.59207317073171,24.386090909090907,27.213777777777775,7.756490909090909,10.306083333333335,10.260322033898303,37.23827027027027,0.01235897435897436,0.12571428571428572,0.0609562574468085
6.107142857142856,62.98435714285714,56.01099999999999,28.876450980392157,30.530043478260865,8.18311320754717,11.17894,10.623419354838708,39.75991891891892,0.013785714285714285,0.20213953488372094,0.16128554285714286
6.428571428571427,67.36286046511628,62.400568181818194,31.23934426229508,32.7950625,8.357641509433963,12.35908,11.643250000000002,41.91273170731707,0.11156250000000001,0.8327755102040816,0.43579999999999997
6.749999999999998,72.36202325581395,65.64066666666668,33.26568253968254,15.029307692307693,9.183442307692307,13.85495918367347,12.47090163934426,44.56618604651163,0.06856521739130435,2.5535686274509803,1.1017547169811321
7.071428571428569,75.03597674418604,70.38163829787236,36.10375,17.12518604651163,8.667387755102041,14.572547169811324,12.797086206896552,46.343822222222215,0.34805769230769223,3.8994999999999997,1.7256666666666667
7.392857142857141,81.19508108108109,74.6103125,35.87117647058824,17.901826086956525,9.82502,16.296777777777777,13.916527272727272,49.46121739130434,0.4906111111111111,4.216177419354839,2.644655737704918
7.714285714285712,84.54591891891891,76.77915999999999,37.772,18.03173333333333,10.982040816326533,17.520173913043482,14.825375,51.45982222222223,,5.058666666666665,3.170928571428572
8.035714285714283,87.76770270270269,81.59393181818182,42.582880952380954,19.74228888888889,12.125808510638299,19.052613636363635,15.31039655172414,54.55371739130434,,,
8.357142857142854,90.20516666666666,82.80419148936171,42.509904761904764,22.80979069767442,12.091673913043481,20.52859090909091,16.715879310344828,59.14740000000002,,,
8.678571428571425,92.87736111111111,87.33540425531913,44.33310810810811,24.145760869565216,12.795083333333332,22.1616511627907,17.753796610169495,62.32317777777779,,,
