Time (hpf),Label,NetworkDensity,NetworkDensity_SEM,Area,Area_SEM,Intensity,Intensity_SEM
4.5,18012024_Control_001,34.27374285714286,1.6035479430370165,677.7137142857143,31.127111440287653,851.4050857142856,35.18079498720455
4.821428571428571,18012024_Control_001,62.462945945945954,2.073560622715187,842.7473243243245,31.528501298709465,510.1521621621622,18.98759793497088
5.142857142857142,18012024_Control_001,36.66149333333334,1.838350251639252,993.9627200000002,28.720848227038175,533.25148,21.374579523833216
5.4642857142857135,18012024_Control_001,50.70571794871795,2.185429407447777,893.9505897435896,32.51635051411373,731.7551282051281,36.84038923121463
5.785714285714285,18012024_Control_001,55.83372093023256,2.285798036508248,910.2690930232556,30.69702018275665,833.5461162790698,43.46941627950961
6.107142857142856,18012024_Control_001,62.98435714285714,2.2001366671258986,949.9582857142857,32.045294512228736,969.588761904762,49.66116438534031
6.428571428571427,18012024_Control_001,67.36286046511628,2.0772657121708265,978.1387209302328,32.84343917149445,1033.567418604651,51.78888176538052
6.749999999999998,18012024_Control_001,72.36202325581395,1.955580491627506,1019.5326279069766,34.93437725725457,1136.7897674418605,55.92138407864328
7.071428571428569,18012024_Control_001,75.03597674418604,1.9337209491778926,1035.4636744186048,35.49508180391445,1158.8606976744186,60.386908049612856
7.392857142857141,18012024_Control_001,81.19508108108109,1.789328535282088,1100.4868108108108,36.222565701027065,1339.2296486486487,67.31421057127282
7.714285714285712,18012024_Control_001,84.54591891891891,1.6700911653464117,1122.0756216216214,37.89765813476641,1432.649891891892,73.58295155691299
8.035714285714283,18012024_Control_001,87.76770270270269,1.4649436812678447,1140.6744324324322,39.9042994616098,1506.0381081081082,77.69251115674223
8.357142857142854,18012024_Control_001,90.20516666666666,1.2444391970198323,1166.1202500000002,41.57210481296274,1607.9186944444446,84.10814862414144
8.678571428571425,18012024_Control_001,92.87736111111111,0.9936742057770399,1187.1139722222222,43.08779046104658,1696.0626666666667,87.34615332812679
