 ,Mean,%Area,Slice,MinThr,MaxThr,microns
1,51.568,19.731,1,33.882,1.000E30,0.000
2,55.520,24.665,2,33.882,1.000E30,1.500
3,58.757,29.543,3,33.882,1.000E30,2.999
4,61.929,34.065,4,33.882,1.000E30,4.499
5,65.290,38.131,5,33.882,1.000E30,5.999
6,66.670,42.879,6,33.882,1.000E30,7.498
7,69.120,46.822,7,33.882,1.000E30,8.998
8,71.816,49.907,8,33.882,1.000E30,10.498
9,76.084,54.540,9,33.882,1.000E30,11.997
10,79.854,58.374,10,33.882,1.000E30,13.497
11,82.451,62.311,11,33.882,1.000E30,14.997
12,86.203,65.578,12,33.882,1.000E30,16.496
13,89.706,69.284,13,33.882,1.000E30,17.996
14,91.197,73.483,14,33.882,1.000E30,19.496
15,91.614,77.863,15,33.882,1.000E30,20.995
16,92.336,83.666,16,33.882,1.000E30,22.495
17,93.847,87.004,17,33.882,1.000E30,23.994
18,96.436,89.760,18,33.882,1.000E30,25.494
19,98.239,90.567,19,33.882,1.000E30,26.994
20,104.185,92.418,20,33.882,1.000E30,28.493
21,110.469,94.048,21,33.882,1.000E30,29.993
22,115.902,94.762,22,33.882,1.000E30,31.493
23,121.627,95.183,23,33.882,1.000E30,32.992
24,121.015,95.198,24,33.882,1.000E30,34.492
25,125.311,95.443,25,33.882,1.000E30,35.992
26,130.206,96.090,26,33.882,1.000E30,37.491
27,140.584,96.847,27,33.882,1.000E30,38.991
28,149.878,97.403,28,33.882,1.000E30,40.491
29,159.183,97.769,29,33.882,1.000E30,41.990
30,176.222,98.554,30,33.882,1.000E30,43.490
31,185.941,98.451,31,33.882,1.000E30,44.990
32,189.406,98.435,32,33.882,1.000E30,46.489
33,192.972,98.607,33,33.882,1.000E30,47.989
34,199.330,98.643,34,33.882,1.000E30,49.489
35,213.210,99.049,35,33.882,1.000E30,50.988
36,219.986,98.965,36,33.882,1.000E30,52.488
37,226.889,99.099,37,33.882,1.000E30,53.988
38,239.327,99.303,38,33.882,1.000E30,55.487
39,236.529,99.318,39,33.882,1.000E30,56.987
40,243.235,99.509,40,33.882,1.000E30,58.487
41,257.694,99.530,41,33.882,1.000E30,59.986
42,258.549,99.579,42,33.882,1.000E30,61.486
43,270.282,99.512,43,33.882,1.000E30,62.985
44,271.844,99.604,44,33.882,1.000E30,64.485
45,273.329,99.522,45,33.882,1.000E30,65.985
