 ,Mean,Mode,Min,Max,Ch,Frame,MinThr,MaxThr
1,6.971,3,3,130,1,1,0,255
2,6.064,2,1,191,2,1,0,255
3,11.303,3,3,163,1,2,0,255
4,8.697,2,1,248,2,2,0,255
5,13.121,3,3,192,1,3,0,255
6,10.154,2,1,228,2,3,0,255
7,13.711,3,3,183,1,4,0,255
8,10.712,2,1,232,2,4,0,255
9,14.240,3,3,154,1,5,0,255
10,11.024,2,1,243,2,5,0,255
11,14.632,3,3,142,1,6,0,255
12,11.156,2,1,231,2,6,0,255
13,15.046,3,3,153,1,7,0,255
14,11.356,2,1,219,2,7,0,255
15,15.412,3,3,155,1,8,0,255
16,11.437,2,1,215,2,8,0,255
17,15.605,3,3,167,1,9,0,255
18,11.545,2,1,222,2,9,0,255
19,16.054,3,3,158,1,10,0,255
20,11.871,2,1,255,2,10,0,255
21,16.059,3,3,160,1,11,0,255
22,11.978,2,1,219,2,11,0,255
23,16.469,3,3,172,1,12,0,255
24,12.086,2,1,206,2,12,0,255
25,16.848,3,3,156,1,13,0,255
26,12.159,2,1,227,2,13,0,255
27,17.003,3,3,153,1,14,0,255
28,12.045,2,1,226,2,14,0,255
29,17.079,3,3,156,1,15,0,255
30,12.209,1,1,226,2,15,0,255
31,17.397,3,3,171,1,16,0,255
32,12.460,2,1,214,2,16,0,255
33,17.522,3,3,180,1,17,0,255
34,12.391,2,1,236,2,17,0,255
35,17.752,3,3,179,1,18,0,255
36,12.720,2,1,237,2,18,0,255
37,17.653,3,3,161,1,19,0,255
38,12.787,2,1,242,2,19,0,255
39,17.811,3,3,143,1,20,0,255
40,12.993,2,1,214,2,20,0,255
41,18.039,3,3,187,1,21,0,255
42,12.798,2,1,225,2,21,0,255
43,17.932,3,3,182,1,22,0,255
44,13.082,2,1,220,2,22,0,255
45,18.173,3,3,153,1,23,0,255
46,13.129,2,1,245,2,23,0,255
47,18.257,3,3,155,1,24,0,255
48,13.182,2,1,199,2,24,0,255
49,18.370,3,3,154,1,25,0,255
50,13.033,2,1,229,2,25,0,255
51,18.476,3,3,168,1,26,0,255
52,13.195,2,1,223,2,26,0,255
53,18.479,3,3,175,1,27,0,255
54,13.280,2,1,223,2,27,0,255
55,18.612,3,3,153,1,28,0,255
56,13.247,2,1,232,2,28,0,255
57,18.804,3,3,152,1,29,0,255
58,13.371,2,1,242,2,29,0,255
59,18.780,3,3,158,1,30,0,255
60,13.213,1,1,251,2,30,0,255
61,18.784,3,3,172,1,31,0,255
62,13.455,1,1,228,2,31,0,255
63,18.826,3,3,144,1,32,0,255
64,13.384,1,1,217,2,32,0,255
65,19.070,3,3,149,1,33,0,255
66,13.501,2,1,216,2,33,0,255
67,19.161,3,3,153,1,34,0,255
68,13.625,2,1,223,2,34,0,255
69,19.122,3,3,146,1,35,0,255
70,13.573,2,1,208,2,35,0,255
71,19.304,3,3,162,1,36,0,255
72,13.715,2,1,223,2,36,0,255
73,19.344,3,3,154,1,37,0,255
74,13.924,2,1,218,2,37,0,255
75,19.219,3,3,166,1,38,0,255
76,13.818,2,1,222,2,38,0,255
77,19.418,3,3,161,1,39,0,255
78,13.823,1,1,225,2,39,0,255
79,19.401,3,3,152,1,40,0,255
80,13.979,2,1,221,2,40,0,255
81,19.534,3,3,177,1,41,0,255
82,13.979,2,1,216,2,41,0,255
83,19.662,3,3,163,1,42,0,255
84,14.103,2,1,246,2,42,0,255
85,19.823,3,3,171,1,43,0,255
86,14.240,2,1,213,2,43,0,255
87,19.611,3,3,180,1,44,0,255
88,14.409,2,1,255,2,44,0,255
89,19.865,3,3,177,1,45,0,255
90,14.288,2,1,232,2,45,0,255
91,19.713,3,3,157,1,46,0,255
92,14.429,2,1,250,2,46,0,255
93,19.965,3,3,186,1,47,0,255
94,14.557,2,1,205,2,47,0,255
95,19.758,3,3,159,1,48,0,255
96,14.673,2,1,239,2,48,0,255
97,20.062,3,3,157,1,49,0,255
98,14.763,2,1,230,2,49,0,255
99,20.000,3,3,170,1,50,0,255
100,14.780,2,1,226,2,50,0,255
101,20.304,3,3,173,1,51,0,255
102,14.867,2,1,246,2,51,0,255
103,20.312,3,3,175,1,52,0,255
104,14.751,2,1,215,2,52,0,255
105,20.256,3,3,156,1,53,0,255
106,15.030,2,1,229,2,53,0,255
107,20.389,3,3,163,1,54,0,255
108,14.889,2,1,227,2,54,0,255
109,20.307,3,3,166,1,55,0,255
110,15.149,2,1,228,2,55,0,255
111,20.361,3,3,167,1,56,0,255
112,15.107,2,1,215,2,56,0,255
113,20.474,3,3,143,1,57,0,255
114,15.234,2,1,238,2,57,0,255
115,20.458,3,3,156,1,58,0,255
116,15.263,2,1,255,2,58,0,255
117,20.518,3,3,154,1,59,0,255
118,15.349,2,1,255,2,59,0,255
119,20.742,3,3,179,1,60,0,255
120,15.271,2,1,238,2,60,0,255
121,20.884,3,3,147,1,61,0,255
122,15.333,2,1,245,2,61,0,255
123,20.892,3,3,156,1,62,0,255
124,15.286,2,1,221,2,62,0,255
125,20.898,3,3,151,1,63,0,255
126,15.362,2,1,216,2,63,0,255
127,21.007,3,3,152,1,64,0,255
128,15.545,2,1,225,2,64,0,255
129,20.715,3,3,165,1,65,0,255
130,15.468,2,1,223,2,65,0,255
131,20.895,3,3,156,1,66,0,255
132,15.572,2,1,226,2,66,0,255
133,21.175,3,3,163,1,67,0,255
134,15.506,2,1,236,2,67,0,255
135,21.123,3,3,153,1,68,0,255
136,15.716,2,1,240,2,68,0,255
137,21.426,3,3,162,1,69,0,255
138,15.827,2,1,226,2,69,0,255
139,21.394,3,3,148,1,70,0,255
140,15.694,1,1,239,2,70,0,255
141,21.547,3,3,144,1,71,0,255
142,15.809,2,1,226,2,71,0,255
143,21.508,3,3,152,1,72,0,255
144,16.032,2,1,248,2,72,0,255
145,21.781,3,3,170,1,73,0,255
146,16.112,2,1,243,2,73,0,255
147,21.600,3,3,147,1,74,0,255
148,15.961,2,1,255,2,74,0,255
149,21.472,3,3,143,1,75,0,255
150,16.043,2,1,240,2,75,0,255
151,21.818,3,3,147,1,76,0,255
152,16.182,2,1,223,2,76,0,255
153,21.665,3,3,164,1,77,0,255
154,16.186,2,1,232,2,77,0,255
155,21.795,3,3,167,1,78,0,255
156,16.271,2,1,255,2,78,0,255
157,21.923,3,3,153,1,79,0,255
158,16.267,2,1,222,2,79,0,255
159,21.822,3,3,146,1,80,0,255
160,16.553,2,1,242,2,80,0,255
161,21.871,3,3,166,1,81,0,255
162,16.363,2,1,221,2,81,0,255
163,22.038,3,3,162,1,82,0,255
