 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,494.876,365.378,170.111,13.601,93.602,25.728,24.490,96.459,25.099
2,1122.362,321.107,198.684,20.984,140.828,43.248,33.043,18.095,17.620
3,657.068,435.175,144.261,28.571,109.481,32.889,25.438,53.098,30.128
4,682.423,385.571,108.688,29.453,107.908,33.512,25.928,159.123,25.640
5,781.176,315.522,165.392,39.923,111.439,35.624,27.920,48.222,17.781
6,594.585,440.441,82.388,39.141,100.911,30.086,25.163,25.858,29.046
7,635.787,286.079,210.854,43.701,99.507,32.342,25.029,9.924,13.277
8,1088.656,316.708,132.270,58.531,136.867,42.163,32.875,84.027,17.639
9,533.764,643.397,180.496,54.647,101.249,35.658,19.059,54.587,46.107
10,548.252,599.266,109.255,54.902,99.652,32.718,21.336,97.513,39.659
11,851.758,431.181,91.677,67.146,128.055,40.862,26.540,119.968,27.346
12,940.702,543.475,200.192,69.352,126.392,35.873,33.388,21.457,34.595
13,549.309,545.275,158.337,68.755,95.751,28.742,24.334,116.312,38.786
14,876.610,357.340,66.678,72.294,133.080,39.513,28.247,128.697,22.399
15,784.245,447.581,39.959,80.086,122.888,34.768,28.720,5.421,28.456
16,548.302,309.567,177.721,85.625,97.759,28.943,24.121,170.335,15.121
17,1795.327,258.946,124.683,95.252,182.938,52.684,43.389,179.188,9.864
18,498.800,522.525,156.916,97.417,94.047,28.279,22.458,34.031,38.497
19,952.423,446.018,80.656,102.184,124.832,35.791,33.882,48.959,26.579
20,1113.810,510.975,196.662,105.398,152.007,48.471,29.257,3.147,33.049
21,989.500,394.771,44.922,104.895,135.661,43.579,28.910,12.367,25.121
22,808.493,244.875,13.959,117.783,116.880,38.554,26.700,70.672,8.114
23,714.720,278.662,156.579,117.547,117.755,42.847,21.238,17.786,12.614
24,972.345,522.420,105.156,123.524,129.982,37.022,33.440,165.048,31.328
25,717.839,360.711,214.367,128.945,110.482,33.554,27.239,93.477,22.510
26,838.074,581.984,67.749,135.277,125.880,41.695,25.592,64.626,36.197
27,810.808,252.246,43.988,131.257,121.769,36.008,28.670,52.342,7.235
28,795.564,371.893,190.877,135.115,116.979,38.483,26.322,127.581,23.429
29,736.352,477.641,125.568,140.011,115.907,40.488,23.156,42.573,29.480
30,862.222,338.004,162.180,139.738,121.936,37.763,29.071,172.140,19.639
31,781.025,517.514,87.780,148.791,124.834,35.984,27.635,80.036,32.992
32,757.632,435.718,23.454,150.857,118.761,38.695,24.929,85.452,27.576
33,654.049,532.335,135.798,159.517,105.815,32.173,25.884,57.130,32.321
34,612.998,547.160,105.362,165.602,105.757,33.666,23.184,73.116,35.068
35,767.945,323.013,209.426,162.039,114.787,33.922,28.825,4.804,18.356
36,251.286,529.833,185.602,157.253,65.242,21.145,15.131,127.819,41.622
37,705.715,267.382,48.791,162.987,109.871,33.040,27.195,20.024,9.153
38,1595.707,363.625,166.333,174.890,163.385,49.678,40.898,140.612,20.871
39,879.830,389.466,72.200,175.781,119.124,36.185,30.959,32.823,25.553
40,448.442,232.448,123.802,178.494,99.956,32.799,17.408,1.293,1.279
41,565.357,487.050,32.371,184.074,106.187,32.174,22.373,69.701,32.906
42,413.931,493.806,198.716,182.112,80.747,24.593,21.430,162.226,32.718
43,744.251,230.582,95.038,194.387,111.407,33.957,27.906,98.960,1.967
44,698.873,301.965,44.979,199.230,109.813,40.745,21.839,44.639,15.469
45,1131.468,348.583,132.651,197.721,140.238,51.431,28.011,1.709,19.968
46,933.558,385.810,67.364,208.840,125.059,41.743,28.475,25.222,25.834
47,434.305,324.797,125.378,15.027,87.115,25.240,21.909,111.190,18.893
48,1173.173,243.108,53.092,39.373,152.102,42.034,35.537,74.159,7.672
49,553.384,343.208,29.514,53.324,115.281,35.600,19.792,122.525,20.064
50,685.642,329.687,11.026,88.298,122.607,33.273,26.237,72.036,16.912
51,687.202,254.338,11.044,58.748,107.903,38.361,22.809,108.860,11.266
52,999.260,264.231,12.374,191.160,141.796,49.629,25.636,93.497,9.435
