 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,900.204,347.549,184.209,13.679,131.167,42.551,26.937,16.694,20.253
2,564.401,453.021,119.368,11.961,99.163,32.997,21.778,167.839,39.139
3,802.004,340.913,146.700,27.691,114.393,36.930,27.650,173.909,21.001
4,687.151,434.922,105.201,29.670,107.610,29.980,29.183,7.524,39.285
5,619.941,520.509,173.007,40.512,103.390,28.631,27.569,90.664,44.908
6,580.701,621.629,124.860,44.221,97.692,29.192,25.328,81.249,43.940
7,957.957,412.895,76.212,45.695,127.152,41.552,29.354,173.654,32.623
8,1162.659,323.499,201.740,53.413,144.489,43.833,33.772,11.896,19.454
9,781.478,518.673,145.419,57.602,119.613,36.660,27.141,52.928,44.741
10,793.753,536.428,108.238,62.302,119.440,35.095,28.797,137.388,44.543
11,1317.053,357.747,49.478,70.695,148.437,43.692,38.381,82.103,23.927
12,789.779,328.696,167.009,69.365,112.970,36.533,27.525,52.547,19.371
13,702.395,738.990,81.152,72.435,107.467,31.921,28.017,25.676,52.242
14,760.601,555.371,22.665,83.215,122.535,40.255,24.058,113.682,44.394
15,585.077,573.008,180.894,85.918,109.224,37.645,19.789,54.466,51.780
16,1070.546,384.833,130.400,88.192,138.114,42.563,32.025,54.982,29.737
17,622.607,805.473,106.110,92.977,109.607,38.860,20.400,102.247,58.492
18,602.081,599.706,157.282,99.220,105.915,31.717,24.170,99.475,58.155
19,901.613,541.753,89.369,104.272,138.127,45.214,25.390,126.567,42.986
20,1052.083,476.749,194.787,106.455,134.572,40.810,32.824,46.582,36.250
21,1062.195,480.070,60.785,106.428,144.144,39.725,34.044,123.998,37.440
22,926.666,619.388,30.456,114.367,136.205,36.899,31.976,31.715,44.924
23,689.969,302.439,132.628,114.983,109.843,39.096,22.470,19.889,15.713
24,590.158,420.550,167.138,121.953,106.758,31.081,24.176,35.027,32.342
25,392.953,418.232,204.902,130.324,85.565,25.863,19.345,71.501,30.636
26,526.821,621.373,140.679,131.767,105.429,34.941,19.197,6.208,54.087
27,1155.666,284.892,104.219,137.721,137.569,43.907,33.513,138.967,12.567
28,996.795,603.531,68.690,138.823,129.889,39.581,32.065,68.884,47.335
29,1173.626,461.130,32.958,143.382,144.488,46.183,32.357,24.595,35.844
30,1184.895,568.293,179.902,144.602,148.902,47.557,31.723,3.787,42.521
31,795.162,327.835,139.300,151.522,123.513,39.442,25.669,173.156,18.657
32,1060.987,635.759,89.916,165.580,132.075,39.207,34.455,119.681,47.852
33,941.758,793.428,55.704,175.541,133.483,43.550,27.533,73.418,51.154
34,879.779,325.684,31.606,174.068,135.037,41.213,27.180,68.777,18.699
35,803.664,636.902,113.989,176.392,126.904,45.515,22.482,51.820,44.864
36,909.058,373.530,196.810,171.979,121.584,37.022,31.264,89.036,27.360
37,954.084,375.898,171.761,178.813,131.312,44.615,27.228,113.681,25.368
38,948.600,390.845,144.887,180.283,127.473,38.129,31.677,102.915,28.574
39,895.526,353.140,216.249,190.043,134.195,45.815,24.887,82.306,22.701
40,822.429,771.402,74.467,193.990,125.151,37.462,27.952,65.902,51.621
41,805.928,698.307,15.182,197.687,122.522,42.116,24.364,101.807,49.432
42,760.802,807.806,120.480,201.399,109.971,34.250,28.283,72.388,53.336
43,668.588,823.912,90.829,210.424,106.613,37.816,22.511,58.508,50.971
44,394.361,336.776,43.159,201.701,77.177,25.283,19.860,4.789,18.217
45,918.516,357.218,190.025,209.730,120.814,36.913,31.682,2.913,22.768
46,276.088,791.524,164.912,203.911,68.808,22.205,15.831,120.865,68.768
47,687.202,493.260,56.536,218.319,115.634,39.688,22.046,1.066,42.731
48,297.922,309.302,29.096,218.421,69.411,20.423,18.573,153.350,14.336
49,326.647,259.836,108.014,220.476,85.678,25.027,16.618,173.755,3.188
50,974.911,319.743,73.573,19.334,153.991,40.222,30.861,3.425,18.984
51,624.468,380.063,205.321,27.867,101.029,32.732,24.291,4.069,29.219
