PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 49, filenames: A:[49]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[50]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
111,65,-2.692414045,-1.750547886,1
111,97,-2.363518715,-3.505628109,1
111,129,-0.9866931438,-1.454346538,1
111,161,-0.6119493246,-1.772684574,1
111,193,-0.2371538281,-2.065799713,1
111,225,-0.3958112597,-1.905462742,1
111,257,-1.493950844,-1.658025861,1
111,289,-0.1663329005,-1.996846318,1
111,321,1.347710967,-4.396941185,1
111,353,0.4664694667,-4.802504063,1
111,385,0.06336434186,-3.88021183,1
111,417,-0.1420571506,-1.661165833,1
111,449,0.2895139158,-0.6460103989,1
111,481,2.616269112,-2.690619946,1
111,513,0.07473922521,-0.9023374319,1
111,545,-0.3322239518,-0.6035900116,1
111,577,-0.1455855966,-3.740041733,1
111,609,0.2217393517,-1.384500623,1
111,641,-0.2970223427,-1.712859631,1
111,673,-1.703005075,-1.764998198,1
111,705,-1.906653523,-1.615508318,1
111,737,-1.098604321,-1.451325536,1
111,769,-0.5039464235,-0.6992474794,1
111,801,-0.01960378885,-1.439418674,1
111,833,0.01482836902,-1.318129063,1
111,865,-0.07612769306,-0.3892861307,1
111,897,0.3922024071,0.1283999681,1
111,929,0.04872792959,1.269703865,1
111,961,-1.423421502,1.802345037,1
111,993,-2.644723415,1.78865993,1
111,1025,-2.963804483,2.501470327,1
111,1057,-2.61757803,2.781398296,1
111,1089,-2.885127783,1.399347067,1
111,1121,-4.001037121,1.27431488,1
111,1153,-5.484213352,1.227631807,1
111,1185,-7.296275616,1.306362391,1
111,1217,-6.623836994,1.414558411,1
111,1249,-7.471292496,1.335678339,1
111,1281,-9.84876442,0.8518662453,1
111,1313,-10.55783081,0.814261198,1
111,1345,-11.86675644,1.38796711,1
111,1377,-12.43418503,1.92790556,1
111,1409,-12.10868454,3.820397854,1
111,1441,-9.277780533,4.945244312,1
111,1473,-10.1383152,5.014981747,1
111,1505,-10.55140114,5.162699699,1
111,1537,-10.23093033,3.992117882,1
111,1569,-6.665826321,0.169901371,1
111,1601,-5.059439659,1.216283321,1
111,1633,-5.258677959,2.010920525,1
111,1665,-5.238091469,0.9032019377,1
111,1697,-5.225259304,0.9535295963,1
111,1729,-4.741936684,1.040910959,1
111,1761,-3.792511225,0.2778666615,1
111,1793,-3.165835857,-0.3028699458,1
111,1825,-2.326494694,-0.5052057505,1
111,1857,-2.833378077,-1.044872522,1
111,1889,-3.020000935,-0.6177365184,1
111,1921,-2.411381245,-0.2889818549,1
111,1953,-1.317168593,-0.1709312499,1
111,1985,-0.3690566421,-0.228546232,1
111,2017,0.2985483408,-0.5486409664,1
143,33,-1.275586128,0.09227132797,1
143,65,-1.599363089,-0.9499341846,1
143,97,-2.891844749,-2.516514301,1
143,129,-4.627768517,-3.904897213,1
143,161,-0.6410765052,-2.172579527,1
143,193,-0.7871961594,-2.787354708,1
143,225,-0.9199151397,-3.168886185,1
143,257,-0.9183409214,-1.729618549,1
143,289,0.02748551965,-2.384498119,1
143,321,1.207294583,-3.703191757,1
143,353,0.4725443125,-5.350542068,1
143,385,-0.3574220538,-3.14775157,1
143,417,-0.2979273498,-1.155495167,1
143,449,0.9089917541,-0.9024838209,1
143,481,0.9172047377,-0.5400317907,1
143,513,-0.4783788323,-0.7267902493,1
143,545,-0.4583213627,-0.5478287935,1
143,577,0.07144090533,-4.336371899,1
143,609,0.8032335639,-1.119118929,1
143,641,0.1173559427,-1.608368635,1
143,673,-0.9603271484,-1.790973425,1
143,705,-1.321582675,-1.98897779,1
143,737,-0.8919112682,-1.856569767,1
143,769,-0.835132122,-2.909967422,1
143,801,-0.3227487803,-1.897491217,1
143,833,0.05337071419,-1.602849245,1
143,865,-0.06121696532,-0.2312156856,1
143,897,0.05356435478,0.7362658978,1
143,929,-0.5346549749,2.385575771,1
143,961,-2.323990583,3.956722975,1
143,993,-2.236111879,1.324926138,1
143,1025,-2.667741299,1.182935476,1
143,1057,-2.820235729,0.9013901949,1
143,1089,-3.508877993,0.9971497655,1
143,1121,-5.209314346,1.057463646,1
143,1153,-7.03250885,1.615203857,1
143,1185,-8.250460625,2.504737616,1
143,1217,-10.71443176,-0.4658112526,1
143,1249,-9.820405006,0.3823225498,1
143,1281,-9.804010391,1.137440205,1
143,1313,-10.43075943,0.947398901,1
143,1345,-10.89898586,1.661554575,1
143,1377,-10.65448761,3.604794025,1
143,1409,-7.04542923,5.394478321,1
143,1441,-8.441904068,5.291867733,1
143,1473,-9.85546875,4.269185543,1
143,1505,-11.06450081,5.956377506,1
143,1537,-10.13977337,3.751880169,1
143,1569,-7.158529758,2.099898577,1
143,1601,-6.126100063,1.493094921,1
143,1633,-5.890345573,0.5010582209,1
143,1665,-5.820314407,0.3121194243,1
143,1697,-5.386210918,0.8543440104,1
143,1729,-4.599220753,0.6446647644,1
143,1761,-4.059973717,0.8650378585,1
143,1793,-3.563681126,0.6783437729,1
143,1825,-3.30939579,-0.1828604937,1
143,1857,-2.623943806,-0.5443808436,1
143,1889,-2.649185896,-0.08155179024,1
143,1921,-1.86229372,0.2676159143,1
143,1953,-1.117137909,-0.04144304991,1
143,1985,-0.2515743375,-0.3315346241,1
143,2017,0.1852676868,-0.8310964704,1
175,33,-0.7558977604,-0.1810765266,1
175,65,-5.446442127,-5.668516636,1
175,97,-6.042087078,-5.432519913,1
175,129,-4.721622944,-3.846619606,1
175,161,-1.594904065,-0.4487264156,1
175,193,-1.59391439,-3.619083643,1
175,225,-1.560132623,-2.284225225,1
175,257,-1.525149465,-1.497925878,1
175,289,-0.5602858067,-1.333280206,1
175,321,0.477606684,-2.361414433,1
175,353,0.691546917,-2.861195326,1
175,385,0.1904784441,-1.896055698,1
175,417,-0.07139089704,-0.8999341726,1
175,449,0.976257205,-0.5004322529,1
175,481,0.4071554542,-0.1912814975,1
175,513,-0.5056051612,-0.6759148836,1
175,545,-1.223267674,-2.602397442,1
175,577,-0.9033951163,-4.47911787,1
175,609,0.9201903939,-0.957845211,1
175,641,0.8023847938,-0.3291584253,1
175,673,-0.2556324005,-1.059104085,1
175,705,-0.6803077459,-1.565234065,1
175,737,-1.316076517,-1.553777575,1
175,769,-1.119259238,-1.246989489,1
175,801,-0.9852899313,-1.369404554,1
175,833,-0.8065937161,-1.21277976,1
175,865,-0.2383944988,0.1040237546,1
175,897,-0.4363261461,1.954177856,1
175,929,-1.188340425,2.491633892,1
175,961,-2.798356056,3.101460934,1
175,993,-1.759257555,-0.1910652518,1
175,1025,-2.046969652,0.08713614941,1
175,1057,-4.596482277,0.8693299294,1
175,1089,-5.313588142,0.06925433874,1
175,1121,-6.63079071,0.07461869717,1
175,1153,-7.110287666,0.8780636787,1
175,1185,-8.733980179,1.988916636,1
175,1217,-9.329717636,0.9596846104,1
175,1249,-8.891576767,0.9968986511,1
175,1281,-9.177814484,1.383971214,1
175,1313,-9.817579269,2.727534771,1
175,1345,-8.370594025,4.350052834,1
175,1377,-0.6671786308,1.547569752,1
175,1409,-3.32101202,5.395438671,1
175,1441,-7.339189053,5.642839909,1
175,1473,-9.17183876,4.634804249,1
175,1505,-8.992758751,5.64871788,1
175,1537,-8.220022202,4.022242546,1
175,1569,-7.351932049,2.333883524,1
175,1601,-5.840159893,1.754918814,1
175,1633,-5.514724255,-0.3497760296,1
175,1665,-5.441298485,-0.4418443441,1
175,1697,-4.154763699,0.4845744967,1
175,1729,-3.433012247,0.7816300392,1
175,1761,-3.520615101,1.287683487,1
175,1793,-3.731863022,1.019883871,1
175,1825,-2.06169796,-0.05689692497,1
175,1857,-2.542448521,-0.2452255487,1
175,1889,-2.174662352,0.6906264424,1
175,1921,-1.449452877,0.7325057983,1
175,1953,-0.7876538038,-0.1876465529,1
175,1985,-0.117064625,-0.3332135081,1
175,2017,0.1358163804,-0.8897429705,1
207,33,-1.213260651,0.120860815,1
207,65,-0.3631433249,-0.235208571,1
207,97,-4.604337692,-4.550766945,1
207,129,-4.025959969,-3.047838211,1
207,161,-2.649565697,-1.395954847,1
207,193,-1.884758711,-4.774056911,1
207,225,-1.509413242,-2.594173908,1
207,257,-1.550256848,-1.776656985,1
207,289,-10.11991215,-1.209421873,1
207,321,1.148447037,-0.6287629604,1
207,353,0.08124676347,-0.9908123016,1
