 ,Mean,%Area,Slice,microns
1,216.415,46.382,1,0.000
2,237.825,49.637,2,3.013
3,265.426,52.869,3,6.027
4,277.005,54.817,4,9.040
5,290.532,56.893,5,12.054
6,311.816,58.969,6,15.067
7,345.028,61.454,7,18.080
8,393.833,65.224,8,21.094
9,431.120,66.892,9,24.107
10,466.962,69.186,10,27.121
11,493.071,71.646,11,30.134
12,509.478,72.930,12,33.147
13,536.362,75.980,13,36.161
14,557.076,76.659,14,39.174
15,583.459,78.538,15,42.188
16,608.708,79.925,16,45.201
17,642.100,81.634,17,48.214
18,668.178,81.664,18,51.228
19,699.313,82.304,19,54.241
20,735.264,83.268,20,57.255
21,760.535,83.067,21,60.268
22,803.762,85.350,22,63.281
23,831.684,85.700,23,66.295
24,849.255,84.874,24,69.308
25,876.396,85.053,25,72.322
26,913.568,86.095,26,75.335
27,940.289,85.830,27,78.348
28,963.696,85.934,28,81.362
29,982.986,88.616,29,84.375
30,980.354,87.249,30,87.389
31,975.223,85.726,31,90.402
32,980.460,86.364,32,93.415
