 ,Mean,%Area,Slice,microns
1,159.772,50.386,1,0.000
2,161.041,50.109,2,3.013
3,170.374,53.125,3,6.027
4,173.926,52.996,4,9.040
5,175.567,53.078,5,12.054
6,180.299,54.104,6,15.067
7,190.353,56.636,7,18.080
8,206.283,60.675,8,21.094
9,224.488,64.820,9,24.107
10,230.321,64.640,10,27.121
11,242.693,67.722,11,30.134
12,250.148,69.824,12,33.147
13,263.531,73.934,13,36.161
14,260.912,71.392,14,39.174
15,271.213,73.287,15,42.188
16,285.866,75.760,16,45.201
17,294.664,75.985,17,48.214
18,310.568,77.326,18,51.228
19,319.271,77.253,19,54.241
20,340.030,79.364,20,57.255
21,354.825,80.731,21,60.268
22,370.283,81.817,22,63.281
23,383.602,82.999,23,66.295
24,382.730,81.826,24,69.308
25,390.489,82.232,25,72.322
26,402.255,83.582,26,75.335
27,410.539,83.998,27,78.348
28,411.929,82.727,28,81.362
29,418.223,82.990,29,84.375
30,421.064,83.049,30,87.389
31,423.821,83.584,31,90.402
32,419.496,82.798,32,93.415
