 ,Mean,%Area,Slice,microns
1,153.410,41.276,1,0.000
2,157.000,43.058,2,3.013
3,164.697,46.020,3,6.027
4,166.392,46.731,4,9.040
5,167.444,47.311,5,12.054
6,170.427,48.455,6,15.067
7,179.230,51.067,7,18.080
8,190.678,53.759,8,21.094
9,201.483,56.377,9,24.107
10,208.918,58.286,10,27.121
11,221.360,61.910,11,30.134
12,226.402,63.971,12,33.147
13,234.155,66.589,13,36.161
14,228.985,64.354,14,39.174
15,240.330,67.815,15,42.188
16,241.853,67.804,16,45.201
17,252.782,69.788,17,48.214
18,255.890,70.153,18,51.228
19,270.574,72.517,19,54.241
20,276.414,73.655,20,57.255
21,283.565,74.913,21,60.268
22,299.918,77.236,22,63.281
23,315.248,80.167,23,66.295
24,314.023,79.570,24,69.308
25,309.857,79.398,25,72.322
26,315.493,80.462,26,75.335
27,322.515,81.963,27,78.348
28,320.940,81.834,28,81.362
29,317.709,82.069,29,84.375
30,302.927,80.436,30,87.389
31,305.638,81.705,31,90.402
32,289.871,80.071,32,93.415
