PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 9, filenames: A:[9]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[10]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,0.7518877983,10.44923496,1
95,129,3.262157917,6.202446938,1
95,193,4.494365215,6.231859207,1
95,257,6.391247749,7.126564026,1
95,321,8.891716957,10.14891624,1
95,385,10.47012711,11.2428503,1
95,449,9.565716743,10.37127399,1
95,513,9.940144539,7.952449799,1
95,577,11.98731709,5.407387257,1
95,641,13.82739162,4.292945862,1
95,705,13.89784622,4.495656967,1
95,769,15.95538998,4.41938591,1
95,833,18.51589203,1.659052849,1
95,897,19.36810493,0.4961857796,1
95,961,18.33101082,-1.035676956,1
95,1025,19.57034302,-4.281626701,1
95,1089,19.58555603,-4.75703907,1
95,1153,20.12308884,-5.173370361,1
95,1217,20.12371445,-5.975481987,1
95,1281,20.40616035,-8.063426971,1
95,1345,19.74989128,-7.003027916,1
95,1409,19.34082794,-9.212566376,1
95,1473,18.43689346,-7.055885315,1
95,1537,17.26009941,-8.360069275,1
95,1601,15.36904526,-10.77189064,1
95,1665,13.14359856,-9.554461479,1
95,1729,10.87010479,-8.290475845,1
95,1793,9.31836319,-7.992805481,1
95,1857,8.129226685,-5.382744789,1
95,1921,6.845692158,-4.913099766,1
95,1985,7.400616169,-7.814385414,1
159,65,4.697619915,6.88173008,1
159,129,4.524651527,5.841670513,1
159,193,5.020177364,5.670184135,1
159,257,5.777151585,5.658872128,1
159,321,7.296236515,6.863052845,1
159,385,9.119979858,7.514091969,1
159,449,7.89925766,7.688307762,1
159,513,9.046368599,7.37760067,1
159,577,12.04971123,5.754999638,1
159,641,14.31956387,4.548267365,1
159,705,15.1334343,3.891597033,1
159,769,16.97949982,2.812413216,1
159,833,18.46019936,1.209916592,1
159,897,19.32110977,0.3410676122,1
159,961,19.30778122,-1.670171261,1
159,1025,19.09238434,-4.644516468,1
159,1089,19.05154228,-5.051746845,1
159,1153,20.02781868,-5.549690723,1
159,1217,20.18182182,-6.04309082,1
159,1281,19.28803635,-5.091659546,1
