PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 2, filenames: A:[2]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[3]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,NaN,NaN,2
95,129,-7.730550766,-10.42202473,1
95,193,-9.325860977,-6.840875626,1
95,257,-8.687335014,-9.259985924,1
95,321,-9.254961967,-14.43586349,1
95,385,-8.434114456,-12.82323647,1
95,449,-8.140478134,-7.70353508,1
95,513,-9.233738899,-4.673866272,1
95,577,-6.830647469,-6.558234215,1
95,641,-5.798941612,-3.763422012,1
95,705,-5.577204704,-6.741298676,1
95,769,-10.12923813,-3.049877167,1
95,833,-10.79776192,-3.140555382,1
95,897,-9.688905716,-4.195710182,1
95,961,-4.056904316,-2.584733009,1
95,1025,2.041482449,-1.292678118,1
95,1089,4.757157803,-2.593646049,1
95,1153,4.103544235,-1.53276372,1
95,1217,0.6357498169,2.999653816,1
95,1281,1.346009254,7.249398232,1
95,1345,-0.2591790557,4.603255272,1
95,1409,-2.977590561,8.995093346,1
95,1473,-4.90709734,9.5060215,1
95,1537,-6.579174995,12.20150566,1
95,1601,-7.975955963,13.62748718,1
95,1665,-8.711790085,17.29470634,1
95,1729,-9.858991623,21.72677612,1
95,1793,-12.66681004,22.47154617,1
95,1857,-16.39366913,24.73345375,1
95,1921,-16.39156723,25.83981133,1
95,1985,-4.864378929,30.80465698,1
159,65,-2.711150408,-13.02137756,1
159,129,-4.27350235,-12.97001839,1
159,193,-3.501128435,-13.15571213,1
159,257,-3.148915768,-13.32230091,1
159,321,NaN,NaN,2
159,385,-6.74378109,-22.94322968,1
159,449,-2.599284172,-6.796292305,1
159,513,-3.167128086,-5.301330566,1
159,577,NaN,NaN,2
159,641,-5.461656094,-9.972888947,1
159,705,-5.741817474,-7.669504166,1
159,769,-6.745155811,-7.31025219,1
159,833,-7.339298725,-6.397947788,1
159,897,-6.26790905,-5.316605568,1
159,961,-2.022708893,-3.380358219,1
159,1025,2.372419357,-2.023334265,1
159,1089,2.529565573,-2.112291574,1
159,1153,2.025816917,-0.9579219818,1
159,1217,2.442401409,0.8055169582,1
159,1281,6.890701771,5.335220814,1
159,1345,-0.6349052191,5.11670208,1
159,1409,-2.676702976,6.018318176,1
159,1473,-4.447251797,8.073378563,1
159,1537,-6.238365173,8.77737236,1
159,1601,-10.54389191,10.43704224,1
159,1665,-10.39789772,17.78961563,1
159,1729,-10.70449924,19.59966087,1
159,1793,-11.27401352,21.80831909,1
159,1857,-11.10658646,18.80015945,1
159,1921,-12.95065975,19.64096642,1
159,1985,-13.55226231,24.49674606,1
223,65,-3.384781361,-11.8597126,1
223,129,-2.67972374,-14.43234062,1
223,193,-1.561894655,-14.89665413,1
223,257,1.556252003,-15.60726738,1
223,321,-9.250257492,-21.50977707,1
223,385,-6.943723679,-23.34583282,1
223,449,-4.856114864,-5.216122627,1
223,513,-4.307237625,-5.052719116,1
223,577,-2.825917959,-9.284032822,1
223,641,-3.449534416,-9.959191322,1
223,705,-12.14298534,-15.85877991,1
223,769,-3.420983791,-8.033182144,1
223,833,-4.003810883,-7.48890543,1
223,897,-3.260122299,-5.73208952,1
223,961,-0.6852757931,-4.205625057,1
223,1025,1.770638108,-2.873523235,1
223,1089,2.477965832,-0.4559671879,1
223,1153,2.570898056,-1.361903906,1
223,1217,1.925834417,-1.628105283,1
223,1281,2.043698788,-0.2783789039,1
223,1345,-1.363926172,3.238568306,1
223,1409,-3.502241611,5.356611252,1
223,1473,-5.214917183,6.625669956,1
223,1537,-5.191524982,10.42956448,1
223,1601,-7.785999298,12.40820599,1
223,1665,-10.4170723,16.38925362,1
223,1729,-11.48012352,18.67757988,1
223,1793,-12.01173115,19.79227829,1
223,1857,-12.49492168,21.03352547,1
223,1921,-12.55583477,22.17536926,1
223,1985,NaN,NaN,2
287,65,-3.054608822,-12.92296696,1
287,129,-2.435914993,-14.85923958,1
287,193,-1.553913116,-15.40177441,1
287,257,-0.7271819115,-14.77192211,1
287,321,-4.193267822,-16.21009636,1
287,385,-4.227865219,-8.502132416,1
