PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 28, filenames: A:[28]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[29]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,3.668135643,-1.451518536,1
95,129,-0.3161046505,-3.10425663,1
95,193,0.6730060577,-1.666950226,1
95,257,0.983840704,-1.809836745,1
95,321,1.37370491,-1.510048389,1
95,385,0.6169266701,-0.1007893682,1
95,449,0.7608149052,-0.2682334781,1
95,513,0.2614488602,0.1579840481,1
95,577,0.4520251155,1.392023921,1
95,641,0.06393051147,0.4281133115,1
95,705,-0.3892941475,-0.3685939014,1
95,769,-0.7307555676,-0.04038530588,1
95,833,-1.029004693,1.805581212,1
95,897,-1.358920097,2.507168531,1
95,961,-0.8832734823,1.315448642,1
95,1025,0.459656775,1.595574498,1
95,1089,-0.3666751385,2.925003052,1
95,1153,-0.8714280128,1.688496351,1
95,1217,-0.2857630253,1.678163528,1
95,1281,1.169690371,0.1019518673,1
95,1345,1.041535854,-0.7121084929,1
95,1409,-0.6410548687,-0.6893520355,1
95,1473,0.8644664288,-0.4907675982,1
95,1537,0.7102211714,-0.2631244659,1
95,1601,-1.008474827,-1.442822576,1
95,1665,0.1147114038,-1.449634075,1
95,1729,0.2744450569,-0.6365311146,1
95,1793,0.2082703114,-1.557915688,1
95,1857,1.237514138,-0.3699344397,1
95,1921,1.261895418,-0.1975480318,1
95,1985,-0.5801901817,-0.6313537359,1
159,65,0.5741077662,-1.144809723,1
159,129,0.142262578,-1.703738093,1
159,193,0.2941592038,-1.451668262,1
159,257,0.02326205373,-0.495182991,1
159,321,-0.188043952,0.21873492,1
159,385,-0.3107488155,1.175993919,1
159,449,-1.01713717,0.5993570089,1
159,513,-1.329479933,0.6726534963,1
159,577,-1.019286871,0.6476128101,1
159,641,-1.052574158,0.0229600966,1
159,705,-1.485291481,-0.116983518,1
159,769,-1.029577732,-0.222101897,1
159,833,-0.6717607975,0.5142922997,1
159,897,-1.243659616,0.5394010544,1
159,961,-1.802596807,0.1354742646,1
159,1025,-1.79799962,1.32035017,1
159,1089,-1.019149661,1.432566404,1
159,1153,-0.1012080908,1.378065467,1
159,1217,0.118363291,1.279026985,1
159,1281,0.5722954869,0.2653755546,1
159,1345,2.28148222,-1.572524071,1
159,1409,0.1909229457,-1.337474346,1
159,1473,0.320401907,-1.492746115,1
159,1537,0.5709090233,-0.964763701,1
159,1601,0.7874720693,-0.2331001461,1
159,1665,1.057780981,-0.6552336216,1
159,1729,1.496620536,-0.8523967862,1
159,1793,0.6601166725,-1.121997952,1
159,1857,0.558170259,-1.527125478,1
159,1921,0.5248019099,-1.555595636,1
159,1985,0.1096310318,-1.349544764,1
223,65,-2.259983778,-0.2675802708,1
223,129,-0.7829241157,-1.025608897,1
223,193,-0.5835140944,-1.004319668,1
223,257,-1.185421944,-0.5044276118,1
223,321,-2.063036919,0.7509584427,1
223,385,-2.758490801,1.023470879,1
223,449,-1.123376489,0.4395156205,1
223,513,-0.5491757393,0.345708698,1
223,577,-0.6905500293,0.3752581477,1
223,641,-6.92346096,-1.551512241,1
