PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 5, filenames: A:[5]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[6]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,-3.216201782,8.759677887,1
95,129,3.657875538,11.53846264,1
95,193,7.148756981,10.71689034,1
95,257,5.674340725,10.37432957,1
95,321,3.882141113,10.29912567,1
95,385,2.849127293,10.56618309,1
95,449,5.921058655,10.05557251,1
95,513,7.812529564,8.931799889,1
95,577,8.33409977,7.717504501,1
95,641,9.26189518,8.15558815,1
95,705,11.7940855,6.849967003,1
95,769,19.03491974,7.116094589,1
95,833,21.86852074,6.874612331,1
95,897,20.82315254,5.03940773,1
95,961,23.7251606,2.062965631,1
95,1025,25.74492836,0.7064638138,1
95,1089,28.39979935,-1.202618122,1
95,1153,31.10047531,-3.759163618,1
95,1217,28.22123718,-6.604428291,1
95,1281,25.61698532,-5.857950687,1
95,1345,20.10695648,-7.807663918,1
95,1409,21.22917557,-6.327654362,1
95,1473,22.63579941,-7.959008217,1
95,1537,20.75678825,-8.261306763,1
95,1601,17.51789474,-8.427871704,1
95,1665,15.26629639,-8.57379055,1
95,1729,11.67564774,-8.919773102,1
95,1793,8.110770226,-6.054339409,1
95,1857,7.511091232,-6.259113789,1
95,1921,7.215137482,-1.841532707,1
95,1985,14.17555428,-4.186254501,1
159,65,0.5383749008,10.03068638,1
159,129,4.557166576,9.927392006,1
159,193,5.165154457,10.93089867,1
159,257,5.846079826,10.59292412,1
159,321,7.634285927,9.304950714,1
159,385,8.154205322,10.6723175,1
159,449,8.401025772,9.753430367,1
159,513,9.923500061,8.897080421,1
159,577,12.81672764,7.875197411,1
159,641,15.04250526,6.038374424,1
159,705,16.90503311,6.443071365,1
159,769,18.10321617,5.442664146,1
159,833,18.92553139,5.0660429,1
