PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 60, filenames: A:[60]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[61]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,-1.040094614,0.6772991419,1
95,129,-0.7291750908,1.511641264,1
95,193,0.26562047,1.309549332,1
95,257,-0.5808838606,0.1618866324,1
95,321,-1.84514308,-0.1147552729,1
95,385,-1.663546085,0.5886898637,1
95,449,-1.401345372,1.16247797,1
95,513,-0.352309376,1.493655086,1
95,577,0.4154309034,0.7943220139,1
95,641,0.5218681097,0.490095973,1
95,705,0.5212715864,-0.1176977158,1
95,769,-0.1365354657,0.1067157388,1
95,833,-1.258015156,-0.8600922823,1
95,897,-1.656515837,-1.994297504,1
95,961,-0.9560465813,-1.995362759,1
95,1025,-0.3192690611,-2.011037827,1
95,1089,0.252230525,-1.967627645,1
95,1153,-0.1950489581,-0.4688381553,1
95,1217,-1.151331425,-0.493699193,1
95,1281,-1.681939125,-0.3413137794,1
95,1345,-1.133822441,1.120492458,1
95,1409,-0.9742742777,2.309420824,1
95,1473,-0.7849627137,1.670108795,1
95,1537,-0.6476911306,0.6804125309,1
95,1601,-0.4658274949,-0.1760385036,1
95,1665,-0.523687005,-0.6246362925,1
95,1729,-0.316711247,-0.4192996025,1
95,1793,0.2186755538,-2.313999176,1
95,1857,1.794969082,-2.60281992,1
95,1921,2.47783947,-0.9407413006,1
95,1985,2.081253767,1.842764378,1
159,65,-1.402477503,1.450760722,1
159,129,0.01082651317,1.560582757,1
159,193,0.587343514,0.7662738562,1
159,257,-0.1592121273,0.2721664906,1
159,321,-1.187492847,-0.2550809979,1
159,385,-1.165531635,-0.01073330641,1
159,449,-1.319022417,-0.1468105018,1
159,513,-1.577420712,-0.2741048932,1
159,577,-0.7901027799,-1.057404518,1
159,641,-0.2650636137,-1.349067569,1
159,705,0.4185079038,-1.689339638,1
159,769,0.3161148429,-0.9842063785,1
159,833,1.160818338,-0.5328615904,1
159,897,0.8377125859,-0.5369355679,1
159,961,-0.4173797071,-1.593949795,1
159,1025,-0.8358482122,-2.095499277,1
159,1089,-0.7300055027,-1.090778589,1
159,1153,0.2532475293,-0.442094326,1
159,1217,0.1492602825,-0.6156839132,1
159,1281,-0.3212257028,-0.7881762981,1
159,1345,-0.9412925243,-0.7022274137,1
159,1409,-2.699700832,-0.1889489889,1
159,1473,-1.572536826,-0.5150859356,1
159,1537,-0.433098495,-1.418669224,1
159,1601,-0.2354390025,-0.7898930311,1
159,1665,-0.7944105864,-1.700326562,1
159,1729,-0.0738209486,-2.19562912,1
159,1793,0.5576637387,-2.345206022,1
159,1857,1.310272694,-2.442058325,1
159,1921,2.505922318,-1.588377237,1
159,1985,1.673704863,-0.6132206321,1
223,65,-0.4579800963,1.238216281,1
223,129,0.4628424644,0.6064395905,1
223,193,0.4158176184,0.06880781054,1
223,257,0.1050639376,-0.1192886233,1
223,321,-0.5746564865,-0.9406565428,1
223,385,-1.776753902,-0.4847312868,1
223,449,-0.9176240563,-0.583779335,1
223,513,-0.6694015265,-1.278483868,1
223,577,-0.6590194702,-2.212615967,1
223,641,-0.2213671803,-1.994592428,1
223,705,0.3498900831,-1.85361743,1
223,769,0.6187257171,-1.149149418,1
223,833,1.338376522,0.01727080345,1
223,897,1.488078117,0.02580332756,1
223,961,-1.138211131,-1.15685761,1
223,1025,-1.586630106,-0.9641609192,1
223,1089,-1.709488153,-0.3238478899,1
223,1153,-0.3360355496,0.4015649557,1
223,1217,0.1068945825,0.3539374471,1
223,1281,-0.3838814497,-0.9071882963,1
223,1345,-0.25142169,-2.969441891,1
223,1409,-0.4072655737,-2.529010534,1
223,1473,-0.6915003061,-2.393100977,1
223,1537,-0.5309025645,-2.408337593,1
223,1601,-0.136364311,-2.014395952,1
223,1665,-0.08918213099,-2.185152292,1
223,1729,0.4369975626,-1.817980528,1
223,1793,1.151979208,-2.816658497,1
223,1857,1.231932878,-2.4503901,1
223,1921,0.6773306131,-1.370703578,1
223,1985,0.4581273794,-1.651150703,1
287,65,0.3225852251,0.3978489041,1
287,129,-0.008080625907,-0.4098332524,1
287,193,-0.02970470488,-0.4986706972,1
287,257,0.3277395666,-0.7507445812,1
287,321,-0.2807526588,-0.7439443469,1
287,385,-0.8588626981,-0.6323314309,1
287,449,-0.2983483076,-0.5305829644,1
287,513,-0.4264082313,-2.102618217,1
287,577,-0.8830798268,-2.05875206,1
287,641,-0.7649769783,-2.162071228,1
287,705,-0.6147791147,-2.014867783,1
287,769,-1.380921364,-1.46865797,1
287,833,1.533925056,-0.7923705578,1
287,897,1.471578002,-0.358590126,1
287,961,0.5157231092,-0.2914899588,1
287,1025,-0.2443776727,-0.820738554,1
287,1089,-0.8045688272,-0.7665960193,1
287,1153,-0.861620903,0.0234734714,1
287,1217,-0.926168263,-0.1625296175,1
287,1281,-1.308838367,-1.012700438,1
287,1345,0.2255159616,-2.331833601,1
287,1409,0.1944625974,-2.997783661,1
287,1473,-0.7401465178,-2.889321327,1
287,1537,-1.519266367,-2.122175932,1
287,1601,-0.8804206848,-1.478123426,1
287,1665,0.2875113189,-1.321552038,1
287,1729,0.9461380243,-1.464311123,1
287,1793,1.395622253,-2.501342773,1
287,1857,1.179713607,-1.96825695,1
287,1921,0.7214113474,-2.213033199,1
287,1985,0.8934672475,-1.104426146,1
351,65,-0.4966514111,-0.5604177713,1
