PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 13, filenames: A:[13]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[14]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
351,1921,1.977652788,0.1350535452,1
351,1985,1.716476202,-0.375548631,1
415,65,-8.199169159,-3.550413847,1
415,129,-8.525840759,-3.264460087,1
415,193,-8.559211731,-2.990133524,1
415,257,-7.057991028,-1.665598512,1
415,321,-6.666526794,-0.9345338345,1
415,385,-6.264201641,-0.2142221034,1
415,449,-7.371697426,0.1285170317,1
415,513,-3.912235022,1.764970541,1
415,577,-2.873936415,2.393660069,1
415,641,-5.710938454,1.725964785,1
415,705,-0.8935254216,3.420528412,1
415,769,1.411447287,3.406576872,1
415,833,3.394868374,2.828380346,1
415,897,NaN,NaN,2
415,961,2.647921324,1.703711987,1
415,1025,5.071022987,1.910387516,1
415,1089,7.05092001,1.72961092,1
415,1153,4.352935314,1.255868077,1
415,1217,4.866805077,0.8499765396,1
415,1281,4.297063828,-0.1121755242,1
415,1345,2.868499517,-0.06649160385,1
415,1409,3.087750673,-0.3294475675,1
415,1473,3.016395569,-0.4435969591,1
415,1537,0.2516329288,4.254757881,1
415,1601,-1.846896887,2.249974966,1
415,1665,-0.5057754517,0.05140398443,1
415,1729,0.8440407515,3.353055239,1
415,1793,0.9407347441,0.1543355435,1
415,1857,1.739500284,-0.09242495894,1
415,1921,1.693752885,0.3506946862,1
415,1985,1.305850983,0.7011231184,1
479,65,-7.954900265,-1.813451529,1
479,129,-7.345506191,-3.637276888,1
479,193,-7.415303707,-3.197521448,1
479,257,-6.656626225,-1.505203009,1
479,321,-6.005426407,-0.7617546916,1
479,385,-5.547789097,-0.2762596011,1
479,449,-4.593363762,0.5160234571,1
479,513,-3.081191301,1.19764185,1
479,577,-1.818244457,2.182555199,1
479,641,-1.204714656,3.379549503,1
479,705,-0.6820271611,3.719494343,1
479,769,0.5459299684,3.025120974,1
479,833,1.971334815,2.128505945,1
479,897,1.50989747,1.478809714,1
479,961,-7.281423092,4.422661781,1
479,1025,4.173801422,1.794966936,1
479,1089,4.739548206,1.447929621,1
479,1153,4.478824615,0.5700041652,1
479,1217,3.926261663,-0.2854965329,1
479,1281,3.51945281,-1.254495263,1
479,1345,3.260689974,-0.85805583,1
479,1409,3.072531939,-1.194576859,1
479,1473,3.689972639,-1.661999822,1
479,1537,3.397635221,-1.333111525,1
479,1601,1.845400691,-0.3144975305,1
479,1665,1.313095212,-0.09717182815,1
479,1729,1.116236448,0.2970478237,1
479,1793,1.074416399,-0.05138580129,1
479,1857,1.592753768,-0.07112040371,1
479,1921,1.19512701,-0.01091763377,1
479,1985,1.365336776,1.163579941,1
543,65,-5.827851295,-0.1491191387,1
543,129,-5.811161995,-3.594435215,1
543,193,-6.881737709,-3.661802769,1
543,257,-6.127672672,-1.871311069,1
543,321,-5.193743706,-0.9429320097,1
543,385,-5.101410866,-0.6284556985,1
543,449,-4.408706665,-0.1604209542,1
543,513,-3.656804562,1.234830618,1
543,577,-2.70751071,1.856033802,1
543,641,-0.9951518774,2.633563519,1
543,705,-0.4222705364,3.839968681,1
543,769,-0.2431514263,3.677575111,1
543,833,-3.898909092,4.731352806,1
543,897,-8.097121239,5.26113224,1
543,961,-7.774136066,4.671917439,1
543,1025,5.988905907,1.070830703,1
543,1089,6.283937931,0.9351172447,1
543,1153,5.067847729,-0.1631405354,1
543,1217,4.543388844,-0.9361007214,1
543,1281,4.820018768,-1.594786882,1
543,1345,5.860861778,-1.318126321,1
543,1409,4.049175262,-1.226970792,1
543,1473,3.823860645,-1.636880875,1
543,1537,2.713690281,-1.70990777,1
543,1601,1.670612097,-0.9509051442,1
543,1665,1.665406823,-0.3606893718,1
543,1729,0.9895191193,0.2229131758,1
543,1793,1.03742969,0.279327035,1
543,1857,1.1984303,-0.2528758049,1
543,1921,0.9381747246,-0.3053699732,1
543,1985,1.134182215,0.4973213673,1
607,65,-4.008002281,-0.7752614021,1
607,129,-3.697843075,-7.510416985,1
607,193,-3.813391685,-5.475446701,1
607,257,NaN,NaN,2
