PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 11, filenames: A:[11]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[12]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,4.532599449,7.454913616,1
95,129,5.524553299,3.342367172,1
95,193,4.811412811,1.141283154,1
95,257,4.811432838,2.191613197,1
95,321,4.397617817,5.208539009,1
95,385,3.951596737,4.760765076,1
95,449,7.236698151,5.599377155,1
95,513,10.27405739,3.561367035,1
95,577,9.884123802,2.120351791,1
95,641,7.840183258,1.932130098,1
95,705,7.561336517,2.444078207,1
95,769,7.798994064,2.357145309,1
95,833,8.258728027,0.5635797977,1
95,897,7.667886734,-0.3886423111,1
95,961,6.206374168,0.4236412644,1
95,1025,5.510027885,1.847926378,1
95,1089,5.110157013,1.678148031,1
95,1153,6.818722248,-0.8183807135,1
95,1217,7.602900982,-1.182231545,1
95,1281,6.99740839,-1.420526266,1
95,1345,6.377915382,-0.9998044968,1
95,1409,6.152510643,-2.604239464,1
95,1473,5.92750597,-3.080753565,1
95,1537,3.774892807,-2.266657352,1
95,1601,4.680998802,-1.810183764,1
95,1665,4.645374775,-1.808457255,1
95,1729,4.940434456,-1.83639586,1
95,1793,5.365020275,-1.743650198,1
95,1857,4.23652935,-1.299168587,1
95,1921,4.188871861,-0.6673498154,1
95,1985,3.255493641,2.599677086,1
159,65,5.698394775,4.1208148,1
159,129,6.935213566,2.366426468,1
159,193,6.334869385,1.801534891,1
159,257,6.393930435,1.80782032,1
159,321,6.909678459,3.404032707,1
159,385,7.784673691,3.950290203,1
159,449,8.904195786,4.4307971,1
159,513,7.905583858,2.998853683,1
159,577,7.791374207,2.256654978,1
159,641,7.491283417,2.508608818,1
159,705,6.205528736,2.034071445,1
159,769,5.859725475,1.738244534,1
159,833,6.995400906,1.183404088,1
159,897,6.909440041,0.760763526,1
159,961,6.233848095,0.347690165,1
159,1025,5.660783291,-0.1731690168,1
159,1089,6.020770073,0.282273531,1
159,1153,6.662455559,0.1645208597,1
159,1217,7.035359383,-0.9156396389,1
159,1281,6.640691757,-1.970153928,1
159,1345,6.001284122,-2.645571232,1
159,1409,5.374542713,-3.270408869,1
159,1473,4.809494495,-3.211105347,1
159,1537,4.351634979,-2.039550304,1
159,1601,3.846458435,-1.927442551,1
159,1665,3.978718758,-2.938179016,1
159,1729,4.318776131,-2.357197046,1
159,1793,4.796684742,-2.479849577,1
159,1857,5.280538559,-2.604934931,1
159,1921,4.504366398,-2.250895023,1
159,1985,3.457104206,-1.378539801,1
223,65,5.70677948,1.962180138,1
223,129,6.046123505,1.831804514,1
223,193,6.660117626,2.12712574,1
223,257,10.12437248,0.438491106,1
223,321,7.665364742,2.138092279,1
223,385,NaN,NaN,2
223,449,7.154005051,2.926227331,1
223,513,6.505807877,2.114119053,1
223,577,6.797749519,1.989224434,1
223,641,14.26325035,1.030457973,1
223,705,3.57484436,-2.061053753,1
223,769,7.324232578,-0.2500884533,1
223,833,7.057976246,1.143698215,1
223,897,6.399002075,1.079211712,1
223,961,5.576014996,0.349121511,1
223,1025,5.474588871,-0.8906041384,1
223,1089,6.38086319,-0.5095770955,1
223,1153,7.352086544,-0.5860898495,1
223,1217,7.552512646,-1.310915112,1
223,1281,6.530765057,-2.383875847,1
223,1345,6.101641178,-2.676983595,1
223,1409,5.259428978,-3.570950508,1
223,1473,4.477677345,-3.321221828,1
223,1537,3.936713457,-0.9347684383,1
223,1601,3.336749554,-1.658281565,1
223,1665,3.002834797,-3.919282675,1
223,1729,4.051242828,-4.156923294,1
223,1793,5.151004791,-3.252764225,1
223,1857,4.954218388,-3.033120155,1
223,1921,5.026500225,-3.705001831,1
223,1985,4.259418964,-5.388546467,1
287,65,5.196152687,2.36107254,1
287,129,6.409830093,2.196570635,1
287,193,7.394134045,2.333816051,1
287,257,NaN,NaN,2
287,321,17.44820404,-2.331400871,1
287,385,7.432005405,0.227938652,1
287,449,6.536024094,0.1672902107,1
287,513,5.460455894,0.3342838287,1
287,577,5.861747742,0.2387804985,1
287,641,NaN,NaN,2
287,705,8.092861176,0.7691479921,1
287,769,9.450287819,1.253163815,1
287,833,7.507976532,1.977504253,1
287,897,6.675572872,1.740126133,1
287,961,6.069233894,0.1836510897,1
287,1025,6.402488708,-0.911580801,1
287,1089,6.792708874,-1.552324533,1
287,1153,7.186586857,-1.502792358,1
287,1217,7.304524422,-1.746353149,1
287,1281,7.174332619,-2.143889427,1
287,1345,6.957638741,-2.560502529,1
287,1409,5.96030426,-3.334133148,1
287,1473,4.846470833,-3.58398056,1
287,1537,4.252951622,-2.885265112,1
287,1601,3.553004503,-3.030815363,1
287,1665,3.341869593,-3.349194288,1
287,1729,3.936719418,-3.472290039,1
287,1793,5.199764252,-3.449120998,1
287,1857,4.238260269,0.7161846161,1
287,1921,5.271957397,-2.623904705,1
287,1985,5.199280262,-5.5254879,1
351,65,5.456820488,2.199616194,1
351,129,7.564415455,2.139482498,1
351,193,7.804317951,2.744224072,1
351,257,7.050888538,1.484029055,1
351,321,15.08743858,-3.368022442,1
351,385,14.81123829,-4.70252037,1
351,449,11.30014133,-1.474901915,1
351,513,5.25858736,-0.8646261692,1
351,577,5.4326334,-1.263333321,1
351,641,7.268268108,-0.8263272643,1
351,705,7.259109974,-0.006906151772,1
351,769,7.797207832,1.281267285,1
351,833,7.886669159,2.416281939,1
351,897,7.355232716,1.956373692,1
351,961,6.78984642,-0.3269730806,1
351,1025,7.343838215,-1.628403187,1
351,1089,7.764872551,-2.166908741,1
351,1153,9.10256958,-2.478539467,1
351,1217,8.729054451,-1.190962315,1
351,1281,7.578802586,-2.882508993,1
351,1345,7.575391293,-2.583786249,1
351,1409,7.196136951,-3.025463104,1
351,1473,6.072004318,-3.129168034,1
351,1537,4.796249866,-4.887943268,1
351,1601,3.795175076,-4.017517567,1
351,1665,3.927326679,-2.8277812,1
351,1729,4.92089653,-2.975949764,1
351,1793,5.709032536,-3.050923109,1
351,1857,6.144240379,-1.480429411,1
351,1921,5.415603161,-3.244275808,1
351,1985,5.380493641,-4.336772442,1
415,65,4.996811867,0.06271666288,1
415,129,5.607455254,1.719920516,1
415,193,6.068583488,2.380628347,1
415,257,5.719089985,1.003010988,1
415,321,6.126618862,-0.2692679167,1
415,385,6.183239937,-1.615900397,1
415,449,5.736414433,-2.128978252,1
415,513,5.262957573,-3.660058498,1
415,577,5.184174538,-3.739554644,1
415,641,5.283607006,-2.737614632,1
415,705,6.792987347,-1.420173645,1
415,769,7.069756508,-0.9850738645,1
415,833,7.882256508,-1.034941792,1
415,897,15.39286804,-1.431316614,1
415,961,7.736175537,-1.657290339,1
415,1025,6.904695511,-2.439777136,1
415,1089,7.623613834,-3.006826878,1
415,1153,8.995281219,-3.507189751,1
415,1217,7.771409988,-3.486447334,1
415,1281,7.844812393,-3.53671217,1
415,1345,7.680030823,-3.010650635,1
415,1409,7.345121384,-2.797801971,1
415,1473,6.480712414,-3.113723993,1
415,1537,5.551790714,-4.804046631,1
