PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 7, filenames: A:[7]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[8]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,-1.256739616,7.389975548,1
95,129,3.610783577,4.281249046,1
95,193,5.447995186,3.468277454,1
95,257,3.491776228,3.831371784,1
95,321,0.4788248539,6.362063408,1
95,385,-0.5641186237,6.589702129,1
95,449,3.17874527,6.908622742,1
95,513,7.022022247,6.589208603,1
95,577,8.789038658,5.996356964,1
95,641,9.306891441,4.734873772,1
95,705,13.86339378,4.685880184,1
95,769,15.37582397,4.436035156,1
95,833,15.67190933,3.939813614,1
95,897,17.97878265,1.750943422,1
95,961,20.18699646,-1.919531107,1
95,1025,20.91975212,-4.637979507,1
95,1089,22.45475578,-5.463574409,1
95,1153,26.95639038,-7.100333214,1
95,1217,24.3108387,-6.984048367,1
95,1281,23.45668793,-7.295389175,1
95,1345,24.36290359,-8.092868805,1
95,1409,21.72236443,-7.925871849,1
95,1473,19.92102432,-7.942500114,1
95,1537,18.46583366,-9.753410339,1
95,1601,16.08178711,-10.58009338,1
95,1665,15.76574802,-11.36512184,1
95,1729,13.34085846,-11.31918049,1
95,1793,10.65490627,-11.19147778,1
95,1857,9.631165504,-10.9357214,1
95,1921,11.30669975,-10.83136845,1
95,1985,19.54408646,-16.74869347,1
159,65,-0.0316054225,3.866664171,1
159,129,2.855047226,4.144417286,1
159,193,3.373878479,4.061987877,1
159,257,3.038065434,3.599987984,1
159,321,1.205228567,4.164946079,1
159,385,0.9002661705,3.142758369,1
159,449,2.557784557,4.784150124,1
159,513,5.430305481,4.664994717,1
159,577,8.000780106,3.642084599,1
159,641,10.9973793,2.112086296,1
159,705,17.74072647,-3.256174564,1
159,769,15.86474609,1.623350859,1
159,833,16.93338013,2.529363871,1
159,897,18.39333725,0.7644940615,1
159,961,20.39058113,-2.356755733,1
159,1025,21.09631538,-5.676891804,1
159,1089,22.08004379,-7.403243065,1
159,1153,25.19808769,-8.355194092,1
159,1217,23.98631859,-9.122550011,1
159,1281,22.71061325,-9.357626915,1
159,1345,23.14365196,-10.36300278,1
159,1409,22.04310989,-9.713500977,1
159,1473,20.73309135,-10.39031029,1
159,1537,18.57038116,-10.70537281,1
159,1601,16.62281227,-10.88232136,1
159,1665,14.49486542,-11.73513889,1
159,1729,13.10276985,-11.5361557,1
159,1793,11.79569054,-11.63683414,1
159,1857,11.38126373,-11.49141121,1
159,1921,11.24887848,-9.883750916,1
159,1985,12.42724037,-12.64493942,1
223,65,-0.1090636253,3.52110672,1
223,129,1.81523788,4.374162197,1
223,193,2.261829853,4.663006306,1
223,257,2.984714985,4.335678101,1
223,321,5.632744312,5.604084969,1
223,385,4.874573708,3.656255007,1
223,449,4.297712803,3.569123268,1
223,513,5.654400349,3.627194405,1
223,577,7.15560627,2.628582239,1
223,641,9.587733269,1.525513887,1
223,705,14.82674789,1.423565865,1
223,769,15.37233067,1.189005136,1
223,833,17.21768379,0.6657343507,1
223,897,19.16630936,-0.7466987371,1
223,961,21.26372719,-3.43255043,1
223,1025,23.60535049,-5.848928928,1
223,1089,26.10234451,-7.781322479,1
223,1153,25.5099678,-9.623413086,1
223,1217,23.12031746,-9.964367867,1
223,1281,27.28185272,-10.94458771,1
223,1345,25.35611916,-11.78907871,1
223,1409,21.02375984,-11.47432518,1
223,1473,18.94163704,-11.67059517,1
223,1537,16.48270988,-12.10086632,1
223,1601,14.53961182,-10.77584934,1
223,1665,13.32027245,-11.62459469,1
223,1729,12.95479774,-11.51254272,1
223,1793,12.3625555,-12.10607529,1
223,1857,11.8329401,-12.30314159,1
223,1921,10.96414852,-10.18266773,1
223,1985,9.296618462,-10.91786289,1
287,65,1.443409204,6.251207829,1
287,129,1.338015437,4.650527477,1
287,193,1.414784312,4.313241005,1
287,257,1.336837769,4.725090027,1
287,321,3.328394651,6.145237446,1
287,385,3.797938347,3.396475315,1
287,449,4.038038731,3.216411591,1
287,513,5.936927795,2.391066313,1
287,577,7.113556862,2.314930916,1
287,641,8.177213669,1.101431012,1
287,705,13.03770638,1.25460279,1
287,769,17.13059235,1.060098171,1
287,833,18.85199547,-0.6364068985,1
287,897,19.96694756,-2.247971535,1
287,961,21.84232903,-5.816353798,1
287,1025,23.94342422,-6.538954735,1
287,1089,25.73331451,-8.054973602,1
287,1153,26.93118858,-9.436011314,1
287,1217,28.69348907,-10.92076206,1
287,1281,27.40389633,-12.94113541,1
287,1345,11.40323257,-8.299585342,1
287,1409,10.64514732,-8.265561104,1
287,1473,17.24015999,-11.14901638,1
287,1537,15.69996548,-12.34378815,1
287,1601,10.70432663,-6.799946785,1
287,1665,11.94696522,-11.4141283,1
287,1729,11.79949951,-12.00004768,1
287,1793,10.52357578,-15.72855663,1
287,1857,10.09821224,-16.99671364,1
287,1921,10.069417,-12.10620022,1
287,1985,8.015901566,-11.14071274,1
351,65,2.503587723,5.600952148,1
351,129,1.663220525,5.243798256,1
351,193,1.241778255,5.119137287,1
351,257,1.467894077,5.332968712,1
351,321,0.5282433033,3.935725212,1
351,385,1.783272028,2.451745033,1
351,449,4.903214931,3.497778177,1
351,513,7.60028553,2.909729481,1
351,577,9.881448746,2.691787958,1
351,641,10.35851288,1.740641117,1
351,705,14.86555481,0.939915061,1
351,769,19.2519474,-0.02869078517,1
351,833,21.69797516,-1.478450418,1
351,897,20.40000534,-3.416330814,1
351,961,17.90010262,-9.720442772,1
351,1025,16.27667427,-8.262379646,1
351,1089,29.5389595,-9.675358772,1
351,1153,29.6252861,-11.28133202,1
351,1217,28.40904236,-13.26016521,1
351,1281,27.93073463,-14.21545601,1
351,1345,12.37785149,-10.02006912,1
351,1409,8.383350372,-8.981935501,1
351,1473,16.51571655,-7.921733856,1
351,1537,14.83272457,-12.85329437,1
351,1601,11.89657021,-12.41615486,1
351,1665,10.88613415,-12.47154522,1
351,1729,11.63171387,-14.42966938,1
351,1793,9.567907333,-16.98816299,1
351,1857,8.617085457,-17.46460342,1
351,1921,8.83486557,-12.70289516,1
351,1985,6.351733685,-12.52430439,1
415,65,0.01692330837,5.279050827,1
415,129,0.2731940746,5.29361248,1
