PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 4, filenames: A:[4]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[5]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,-6.999897003,12.62769413,1
95,129,2.608402491,6.510602474,1
95,193,6.653759956,6.131232262,1
95,257,6.420604706,7.738045216,1
95,321,6.552093506,6.725039482,1
95,385,4.298933029,8.880560875,1
95,449,4.56447649,8.867966652,1
95,513,7.991931438,7.919968605,1
95,577,10.21741676,9.743849754,1
95,641,11.34297943,9.78550148,1
95,705,13.70728302,8.719446182,1
95,769,16.1128273,5.596404552,1
95,833,16.61365509,4.305307865,1
95,897,17.50792313,3.419856071,1
95,961,21.11129761,3.707920074,1
95,1025,24.60374641,1.223765135,1
95,1089,26.49326134,-1.313723803,1
95,1153,29.99409866,-2.536912441,1
95,1217,35.32481384,-9.000404358,1
95,1281,33.34732819,-10.99133205,1
95,1345,28.59090424,-7.668872833,1
95,1409,29.06186104,-7.760885239,1
95,1473,23.90480804,-7.549886227,1
95,1537,20.42318535,-7.925444126,1
95,1601,15.80844879,-6.815546036,1
95,1665,14.136796,-6.51607275,1
95,1729,14.26325989,-7.168236732,1
95,1793,13.13860416,-7.244913101,1
95,1857,11.12202835,-7.477444172,1
95,1921,9.577739716,-4.429596901,1
95,1985,NaN,NaN,2
159,65,0.4929349422,10.61743641,1
159,129,4.71028471,6.799972534,1
159,193,5.637487411,6.054530144,1
159,257,6.965534687,6.579388618,1
159,321,8.813583374,6.406749725,1
159,385,7.142333984,7.182286263,1
159,449,7.053765297,8.522182465,1
159,513,8.636024475,7.865700722,1
159,577,10.41687584,8.964550018,1
159,641,13.08053493,7.238180161,1
159,705,16.02851486,4.77874279,1
159,769,16.73897171,3.647595406,1
159,833,17.71808815,3.742387295,1
159,897,19.53926086,2.810479164,1
159,961,23.91466713,2.789949417,1
159,1025,26.94582748,0.707508564,1
159,1089,31.34491348,-2.160826445,1
159,1153,33.89439392,-4.053061485,1
159,1217,31.10643578,-7.460254669,1
159,1281,29.33000565,-16.78347397,1
159,1345,28.63163567,-8.161634445,1
159,1409,25.80532455,-7.233252525,1
159,1473,22.48455811,-7.609762192,1
159,1537,19.69782066,-7.942464828,1
159,1601,15.75779343,-7.488023281,1
159,1665,14.63728237,-6.479233265,1
159,1729,14.75196934,-5.217544556,1
159,1793,13.26413631,-5.852732182,1
159,1857,10.94155788,-6.568487167,1
159,1921,8.603055954,-4.767446995,1
159,1985,5.086428642,0.9235155582,1
223,65,5.228952408,8.68400383,1
223,129,5.609928608,7.226813316,1
223,193,6.018493652,7.277242661,1
223,257,9.554944038,7.493639946,1
223,321,12.47829151,2.290822029,1
223,385,8.569643021,8.143462181,1
223,449,9.331871033,8.316255569,1
223,513,10.74088478,7.799923897,1
223,577,12.56369019,8.575903893,1
223,641,15.30559921,6.566952705,1
223,705,16.5763073,4.767692566,1
223,769,17.59578133,4.136959076,1
223,833,18.65689087,3.248749733,1
223,897,20.80731964,1.885126352,1
223,961,24.626791,1.317477465,1
223,1025,27.50440788,-0.5892674923,1
223,1089,30.31410789,-3.14311862,1
223,1153,30.50145149,-6.972428799,1
223,1217,32.96727371,-7.336253166,1
223,1281,27.48922157,-11.93183517,1
223,1345,29.16219711,-6.724705219,1
223,1409,25.23462105,-6.305048943,1
223,1473,21.72982788,-8.001213074,1
223,1537,21.65106964,-8.455683708,1
223,1601,22.92185593,-8.428771973,1
223,1665,18.0990181,-7.070384502,1
223,1729,14.3043623,-5.216487885,1
223,1793,12.79628944,-5.930146694,1
223,1857,10.62721252,-6.577775478,1
223,1921,8.573711395,-6.721286774,1
223,1985,4.932024956,-6.012403488,1
287,65,5.882685184,8.580096245,1
287,129,5.867404461,7.69263649,1
287,193,6.317028522,8.326554298,1
287,257,10.41100502,5.414832115,1
287,321,13.65551186,-0.8587312698,1
287,385,9.665483475,9.253266335,1
287,449,11.13574982,9.417145729,1
287,513,12.56260872,9.096968651,1
287,577,15.06762314,8.781056404,1
287,641,18.07016373,7.614265442,1
287,705,18.09150314,5.642675877,1
287,769,20.14276505,2.90763092,1
287,833,20.86218262,3.247524023,1
287,897,26.96447182,1.742871642,1
287,961,25.0729847,0.5029167533,1
287,1025,26.3000164,-0.9763542414,1
287,1089,27.63535881,-3.471586943,1
287,1153,35.9020462,-10.60773087,1
287,1217,32.76147079,-7.407997608,1
287,1281,30.27337837,-9.287415504,1
287,1345,28.81064606,-7.343734741,1
287,1409,26.47225571,-7.696330547,1
287,1473,22.90690994,-11.61107254,1
287,1537,19.823946,-7.598075867,1
287,1601,17.24357796,-10.56867123,1
287,1665,15.46121788,-8.050907135,1
287,1729,13.70719337,-7.223522186,1
287,1793,10.7022934,-7.249917507,1
287,1857,6.734400749,-10.62346172,1
287,1921,NaN,NaN,2
287,1985,6.114078999,-7.173887253,1
351,65,5.024889469,9.353124619,1
351,129,5.992567062,9.20545578,1
351,193,6.723462105,9.406027794,1
351,257,6.789608955,8.96911335,1
351,321,7.688896179,8.045463562,1
351,385,8.56148243,8.898691177,1
351,449,11.15682602,9.377394676,1
351,513,12.91407299,9.35449791,1
351,577,15.48671532,9.101799965,1
351,641,17.92903519,8.548160553,1
351,705,19.11194992,6.813398361,1
351,769,20.97095299,3.37586689,1
351,833,22.41936302,3.526523113,1
351,897,29.59730339,4.021592617,1
