PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 16, filenames: A:[16]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[17]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,-0.4833416939,4.503090382,1
95,129,-6.443718433,2.138932943,1
95,193,-4.08704567,2.933287859,1
95,257,-2.564423323,3.86976409,1
95,321,-1.241681814,4.779090881,1
95,385,-1.125079632,4.495490074,1
95,449,-0.9237177372,2.493556738,1
95,513,2.778987169,1.937975883,1
95,577,3.604259968,2.348290205,1
95,641,0.6161050797,4.230224609,1
95,705,-0.3240914345,4.848487854,1
95,769,-0.3742803335,5.585818291,1
95,833,-0.5726281404,6.212403774,1
95,897,-0.08447825909,5.120747089,1
95,961,-0.9425042868,3.261003017,1
95,1025,0.0002555400133,2.165249586,1
95,1089,-0.8997482061,1.06744957,1
95,1153,-2.084605932,2.088950396,1
95,1217,-0.9576179981,3.661695004,1
95,1281,0.243575424,3.56678772,1
95,1345,0.3401558101,2.555144787,1
95,1409,-0.02718424797,0.9271372557,1
95,1473,-0.9499776363,1.818130612,1
95,1537,0.1388118267,1.193736196,1
95,1601,0.0962536335,1.375204563,1
95,1665,0.6224193573,1.452400923,1
95,1729,0.6108076572,-0.2061852217,1
95,1793,0.3906301856,-0.4085842371,1
95,1857,-0.01843649149,1.372313738,1
95,1921,-0.6974737644,1.91001296,1
95,1985,-2.000441551,3.58733654,1
159,65,-3.857014656,1.811924934,1
159,129,-4.002776623,2.879772663,1
159,193,-3.502597809,3.28476429,1
159,257,-2.807825804,4.582037926,1
159,321,-2.851197243,4.556711674,1
159,385,-4.334661007,3.620445728,1
159,449,-3.849856615,3.031734467,1
159,513,-1.755451679,3.964856863,1
159,577,-1.285515308,4.38584137,1
159,641,-2.235300541,4.119215965,1
159,705,-2.180604458,3.555348873,1
159,769,-2.108097553,3.341121197,1
159,833,-1.022454977,3.584020615,1
