PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 6, filenames: A:[6]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[7]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,3.075553417,7.62229538,1
95,129,5.097832203,9.655274391,1
95,193,5.851489544,6.347210884,1
95,257,5.209053993,7.369279861,1
95,321,5.003325939,9.456964493,1
95,385,5.662395477,7.495522499,1
95,449,7.328187943,7.333171844,1
95,513,9.44972229,5.467477798,1
95,577,11.63333988,5.055357456,1
95,641,14.48621273,4.678477287,1
95,705,15.73143959,5.957194328,1
95,769,18.63333511,6.07732439,1
95,833,21.29553223,4.996944427,1
95,897,24.71977425,2.763847351,1
95,961,29.29982376,-2.138124466,1
95,1025,NaN,NaN,2
95,1089,NaN,NaN,2
95,1153,35.58817291,-6.654170036,1
95,1217,29.92182159,-7.159162998,1
95,1281,26.85189056,-7.68976593,1
95,1345,28.91334152,-10.44029713,1
95,1409,26.42982483,-13.64226151,1
95,1473,23.41318893,-14.36931419,1
95,1537,22.041605,-13.2829113,1
95,1601,20.00044441,-13.63941479,1
95,1665,18.15006256,-14.92606163,1
95,1729,16.47079659,-14.71639919,1
95,1793,14.56687355,-13.77321339,1
95,1857,12.65416527,-12.06601143,1
95,1921,11.60002899,-10.08620739,1
95,1985,15.14109993,-14.81218338,1
159,65,4.421445847,11.72882271,1
159,129,4.552209854,8.183815002,1
159,193,4.557039738,7.65968132,1
159,257,5.030051708,8.102308273,1
159,321,7.033816814,8.231455803,1
159,385,8.818996429,8.262044907,1
159,449,9.441748619,8.842404366,1
159,513,10.90424061,8.218931198,1
159,577,13.88970852,4.76029253,1
159,641,14.37457466,3.763724327,1
159,705,18.32388306,3.594276428,1
159,769,20.23567581,2.030632973,1
159,833,22.50897789,1.919725418,1
159,897,25.90910912,-0.4873145223,1
159,961,31.18403625,-3.208076954,1
159,1025,35.87176132,-4.772656918,1
159,1089,37.36698532,-8.224621773,1
159,1153,36.2197113,-9.12130928,1
159,1217,34.37759781,-10.63003922,1
159,1281,34.40377045,-11.86233902,1
159,1345,31.15837097,-13.19818497,1
159,1409,27.70976257,-14.89638996,1
159,1473,25.91744804,-16.3034935,1
159,1537,23.25769424,-15.51524639,1
159,1601,20.62905121,-15.43653965,1
159,1665,18.66379738,-15.01692581,1
159,1729,17.47757721,-14.53617096,1
159,1793,16.29521179,-13.62231445,1
159,1857,14.08941269,-11.80488873,1
159,1921,11.9775362,-9.029906273,1
