PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 1, filenames: A:[1]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[2]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,66.28461456,25.15269089,1
95,129,59.80578232,20.6412468,1
95,193,62.07556915,20.31162071,1
95,257,64.47944641,22.87946701,1
95,321,59.98687744,17.92529297,1
95,385,59.82783127,15.68722534,1
95,449,57.8793335,15.02326965,1
95,513,59.52410889,10.80693626,1
95,577,74.77845764,18.81885338,1
95,641,94.43161774,21.54260635,1
95,705,NaN,NaN,2
95,769,89.20424652,12.38510227,1
95,833,82.59494019,3.456954956,1
95,897,77.26985168,-1.489261627,1
95,961,78.84248352,-2.608962536,1
95,1025,83.31362915,-5.268695354,1
95,1089,88.80044556,-10.21413803,1
95,1153,95.95915222,-14.30600643,1
95,1217,95.0328064,-18.75347328,1
95,1281,NaN,NaN,2
95,1345,105.4204788,-27.21883583,1
95,1409,107.6712189,-30.39981079,1
95,1473,99.21511078,-34.99977875,1
95,1537,90.57740021,-41.6211586,1
95,1601,79.37023926,-38.42648697,1
95,1665,80.38058472,-33.44149017,1
95,1729,79.72681427,-37.23209763,1
95,1793,78.00559998,-40.78172684,1
95,1857,76.16314697,-41.3045578,1
95,1921,69.59075165,-46.02727509,1
95,1985,79.96766663,-46.36070251,1
159,65,62.28686905,25.54157066,1
159,129,57.87343597,22.16693497,1
159,193,59.29990768,22.13266182,1
159,257,NaN,NaN,2
159,321,76.23232269,23.51423073,1
159,385,NaN,NaN,2
159,449,62.47188568,18.29004478,1
159,513,58.75917053,14.6263504,1
159,577,82.86554718,14.17508698,1
159,641,89.00100708,12.39511967,1
159,705,84.30172729,9.967113495,1
159,769,82.0949173,4.623030663,1
159,833,80.36431122,-2.054887295,1
159,897,78.28652954,-8.111577988,1
159,961,85.37654114,-4.945905209,1
159,1025,101.0074692,-16.85123253,1
159,1089,NaN,NaN,2
159,1153,101.9865036,-15.14726734,1
159,1217,96.19814301,-21.0370369,1
159,1281,90.87625885,-25.33925056,1
159,1345,93.79850769,-28.37304115,1
159,1409,94.4006424,-26.87742996,1
159,1473,88.78605652,-34.63690948,1
159,1537,NaN,NaN,2
159,1601,83.98430634,-33.00679016,1
159,1665,NaN,NaN,2
159,1729,71.96042633,-35.27690125,1
159,1793,71.79359436,-38.39253616,1
159,1857,NaN,NaN,2
159,1921,74.32777405,-61.38648224,1
159,1985,70.95130157,-57.72738266,1
223,65,62.72792053,25.53944397,1
223,129,58.4740448,22.4178524,1
223,193,57.73593903,23.03532219,1
223,257,NaN,NaN,2
223,321,NaN,NaN,2
223,385,NaN,NaN,2
223,449,63.40768433,19.28170967,1
223,513,65.37820435,16.30744553,1
223,577,75.77978516,13.50281143,1
223,641,79.75025177,11.68922043,1
223,705,77.47819519,7.472125053,1
223,769,80.03914642,1.522383213,1
223,833,81.77126312,-0.1508456767,1
223,897,105.2079773,5.969919205,1
223,961,108.7735977,-5.058794498,1
223,1025,113.9190445,-12.74227238,1
223,1089,104.5730515,-12.29240894,1
223,1153,97.80213165,-18.75496483,1
223,1217,91.90659332,-24.49468231,1
223,1281,87.38169098,-28.22116852,1
223,1345,89.87406158,-31.09915543,1
223,1409,90.6673584,-33.65064621,1
223,1473,86.25051117,-38.25820923,1
223,1537,NaN,NaN,2
223,1601,NaN,NaN,2
223,1665,NaN,NaN,2
223,1729,67.33989716,-37.6265564,1
223,1793,72.22026062,-40.72618484,1
223,1857,NaN,NaN,2
223,1921,74.62052917,-66.6687851,1
223,1985,NaN,NaN,2
287,65,58.24838638,24.5559597,1
287,129,57.23246765,23.20333481,1
287,193,57.21445847,23.11420631,1
287,257,58.5150032,22.61535454,1
287,321,NaN,NaN,2
287,385,71.58255005,23.57540512,1
287,449,65.64566803,20.42668343,1
287,513,68.806633,17.65924644,1
287,577,74.30549622,14.14651203,1
287,641,77.383255,10.05594254,1
287,705,77.2665863,8.257849693,1
287,769,77.48873138,4.188149452,1
287,833,104.9081802,9.693086624,1
287,897,111.5172729,0.6901571751,1
287,961,115.443428,-1.435636044,1
287,1025,105.6784821,-3.370329857,1
287,1089,108.3205566,-14.48443317,1
287,1153,109.8716507,-18.66974831,1
287,1217,NaN,NaN,2
287,1281,NaN,NaN,2
287,1345,85.30805969,-35.37146378,1
287,1409,82.9598465,-38.58278656,1
287,1473,77.18578339,-40.733078,1
287,1537,71.11927032,-44.21756744,1
287,1601,67.21619415,-46.31258011,1
287,1665,66.16149902,-48.65555954,1
287,1729,67.41200256,-44.61076736,1
287,1793,NaN,NaN,2
287,1857,NaN,NaN,2
287,1921,NaN,NaN,2
287,1985,70.78694153,-60.74615479,1
351,65,53.93498611,24.28371239,1
351,129,55.93780518,23.47099304,1
351,193,56.9531517,23.34440804,1
351,257,57.88817596,23.26020813,1
351,321,59.72984695,23.30057907,1
351,385,62.56586075,24.03142548,1
351,449,66.11425018,21.43377876,1
351,513,70.01931763,18.78713226,1
351,577,76.38800812,16.5781498,1
351,641,82.47598267,11.22372723,1
351,705,85.07509613,8.077271461,1
351,769,NaN,NaN,2
351,833,105.1580276,6.67113018,1
351,897,103.9735184,-0.2510416508,1
351,961,NaN,NaN,2
351,1025,NaN,NaN,2
351,1089,NaN,NaN,2
351,1153,NaN,NaN,2
351,1217,104.2612839,-11.96746254,1
351,1281,NaN,NaN,2
351,1345,81.54004669,-40.39334869,1
351,1409,76.82401276,-42.62419128,1
351,1473,73.67539215,-42.91969299,1
351,1537,66.19567871,-45.64257812,1
351,1601,63.78939438,-48.27390671,1
351,1665,65.69669342,-50.54062271,1
351,1729,65.66990662,-52.57181168,1
351,1793,65.73910522,-53.60321045,1
351,1857,65.67642975,-57.41389465,1
351,1921,66.35083008,-60.85667801,1
351,1985,66.00699615,-61.06995392,1
415,65,53.26825333,25.24499321,1
415,129,NaN,NaN,2
