PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 8, filenames: A:[8]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[9]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,-1.68322897,5.985534668,1
95,129,0.9527254105,6.339874268,1
95,193,2.026115417,5.087508202,1
95,257,3.528639317,6.761447906,1
95,321,5.293444157,6.89653635,1
95,385,7.445765972,7.28531456,1
95,449,9.993450165,7.21415472,1
95,513,10.63474751,6.593429565,1
95,577,12.19789886,6.560067177,1
95,641,13.09446335,6.43666172,1
95,705,14.09093571,5.901210785,1
95,769,14.68072891,4.196983814,1
95,833,14.18764019,1.566322207,1
95,897,14.15814972,-0.8153898716,1
95,961,16.07143021,-1.79908967,1
95,1025,17.87626648,-2.613991976,1
95,1089,18.90089226,-2.938042402,1
95,1153,18.30604553,-3.383722782,1
95,1217,17.44408035,-3.43478775,1
95,1281,19.04402542,-4.553067207,1
95,1345,22.21132851,-9.887314796,1
95,1409,20.14596748,-12.48461914,1
95,1473,18.38075256,-9.96760273,1
95,1537,15.9331913,-8.438603401,1
95,1601,15.05049706,-7.22345829,1
95,1665,12.41387939,-7.404862404,1
95,1729,11.39659882,-7.753099442,1
95,1793,9.279867172,-8.841333389,1
95,1857,8.79589653,-10.10564709,1
95,1921,9.480020523,-9.533973694,1
95,1985,11.55802345,-8.215306282,1
159,65,2.973563433,5.425032616,1
159,129,3.565144539,6.423344135,1
159,193,4.159362793,6.357738018,1
159,257,4.859917641,6.208808422,1
159,321,5.971283436,7.0828228,1
159,385,6.987997055,6.449856281,1
159,449,8.380885124,6.385044575,1
159,513,8.755425453,6.40307951,1
159,577,9.599996567,5.097329617,1
159,641,11.47763157,3.760717392,1
159,705,14.61829567,3.850721121,1
159,769,14.82098389,3.793786287,1
159,833,15.1614666,2.571529388,1
159,897,16.1910553,0.5825449824,1
159,961,17.48931122,-1.612329006,1
159,1025,18.72850609,-4.28849268,1
159,1089,19.56777382,-5.346801758,1
159,1153,20.15285873,-6.270812988,1
159,1217,21.42935562,-7.062123299,1
159,1281,21.23832512,-7.561231136,1
159,1345,20.78702164,-9.105775833,1
159,1409,18.77694702,-9.116930008,1
159,1473,17.03950691,-7.803709984,1
159,1537,15.04477024,-8.069760323,1
159,1601,13.34718037,-7.395316124,1
159,1665,11.70721436,-8.43016243,1
159,1729,10.72490501,-7.735217094,1
159,1793,10.98650837,-9.474766731,1
159,1857,11.35541153,-10.07352352,1
159,1921,10.09491539,-10.13101864,1
159,1985,8.900593758,-9.401883125,1
223,65,4.46417141,7.991951466,1
223,129,4.804757118,6.981667519,1
223,193,5.082240105,6.438028812,1
223,257,5.833823204,4.510902882,1
223,321,16.29279137,7.383246899,1
223,385,14.06060219,11.06590652,1
223,449,7.395499229,6.315871239,1
223,513,9.352285385,5.74937582,1
223,577,11.71829605,4.547904015,1
223,641,13.88526058,2.692601919,1
223,705,15.54686832,2.675712109,1
223,769,16.1426487,3.732084513,1
223,833,16.53802872,2.678935766,1
223,897,17.47060013,0.7290027738,1
223,961,18.50940895,-2.122872591,1
223,1025,19.31406212,-4.815878868,1
223,1089,20.43024635,-5.485423565,1
223,1153,21.20293427,-7.225897789,1
223,1217,21.59930992,-10.11970901,1
223,1281,22.11528015,-10.00976562,1
223,1345,20.61799812,-10.21940517,1
223,1409,18.81843567,-8.650898933,1
223,1473,17.01483536,-8.349773407,1
223,1537,14.73049831,-8.805811882,1
223,1601,12.44179058,-8.171463966,1
223,1665,11.62777615,-9.093019485,1
223,1729,11.09675407,-9.488862991,1
223,1793,11.50237465,-9.938150406,1
223,1857,11.59238052,-9.586936951,1
223,1921,9.475111961,-10.00983715,1
223,1985,7.126926899,-11.30674648,1
287,65,4.681954384,10.76757812,1
287,129,4.285494804,7.587961674,1
287,193,4.265368938,6.968131065,1
287,257,4.929338932,5.449366093,1
287,321,15.72755432,7.34901619,1
287,385,14.84477043,8.073496819,1
287,449,7.273660183,6.476539612,1
287,513,8.76613903,5.27833271,1
287,577,10.91008282,4.762636185,1
287,641,15.09708118,2.871520996,1
287,705,17.04621696,1.014734745,1
287,769,15.90227318,2.336940765,1
287,833,17.26859093,2.151238441,1
287,897,18.22102547,0.2955806851,1
287,961,19.19437408,-2.770320177,1
287,1025,19.25178719,-5.28668499,1
287,1089,20.67214394,-6.697487831,1
287,1153,21.67255974,-8.136088371,1
287,1217,21.82018089,-12.28965378,1
287,1281,21.74949265,-11.10894012,1
287,1345,19.63609695,-10.1984148,1
287,1409,17.9797821,-9.606431961,1
287,1473,16.70549583,-9.723958969,1
287,1537,14.11450195,-11.64908123,1
287,1601,12.07595539,-9.458421707,1
287,1665,11.69489098,-10.11018181,1
287,1729,12.2717886,-11.2965126,1
287,1793,10.64163399,-9.869636536,1
287,1857,8.822200775,-7.860082626,1
287,1921,9.100625992,-10.7081356,1
287,1985,7.300819874,-11.41032887,1
351,65,6.124635696,7.430902481,1
351,129,2.963695526,7.610266685,1
351,193,2.259114504,7.929623604,1
351,257,3.526754379,8.160943031,1
351,321,5.79598093,8.031766891,1
351,385,5.383735657,7.075334549,1
351,449,6.078427315,6.830592632,1
351,513,8.991070747,6.077906609,1
351,577,11.3170681,5.353877544,1
351,641,14.83108044,3.029808521,1
351,705,15.61858749,3.138427019,1
351,769,17.17015457,2.1261127,1
351,833,18.18338776,0.7931654453,1
351,897,18.04232407,-0.8812448978,1
