PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 33, filenames: A:[33]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[34]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,-2.282610893,0.3656511307,1
95,129,0.9025113583,-0.1189154387,1
95,193,2.139846087,0.05711352825,1
95,257,1.583164215,0.3162468672,1
95,321,0.5349451303,0.6624020338,1
95,385,-1.530790806,2.096069336,1
95,449,-1.886731863,2.069661856,1
95,513,-1.207110882,1.551671505,1
95,577,-1.250015497,0.8175309896,1
95,641,-1.163304806,0.7629233599,1
95,705,-0.3264998198,2.081165791,1
95,769,1.562746167,2.174482107,1
95,833,0.873767972,-0.3334933817,1
95,897,0.1948265135,-1.729585648,1
95,961,1.161929369,-1.776045561,1
95,1025,0.001725196838,0.133687973,1
95,1089,0.3444834948,0.8126699924,1
95,1153,1.590535164,-1.234691858,1
95,1217,2.797560692,-0.4542070627,1
95,1281,2.664580584,-0.1506434083,1
95,1345,1.757310152,0.06593024731,1
95,1409,0.5045316815,-1.666040063,1
95,1473,-0.3300868273,-1.581958771,1
95,1537,-0.1081726253,-1.377303839,1
95,1601,0.7293021083,-1.22439599,1
95,1665,0.2409064174,-0.3279057741,1
95,1729,-0.04749619961,1.163466334,1
95,1793,-0.1417550445,0.6100438833,1
95,1857,-0.03424316645,-1.319785833,1
95,1921,0.2228538394,-1.448003531,1
95,1985,0.4555128217,-0.5375802517,1
159,65,0.162191987,-0.9498084784,1
159,129,0.9095051289,-1.218562365,1
159,193,0.3266624212,-1.096225023,1
159,257,0.3249391615,-0.8989841938,1
159,321,-0.211596489,0.4347156286,1
159,385,-1.05247879,0.3837503195,1
159,449,-1.088195562,0.3326749206,1
159,513,-1.163381219,0.3294760883,1
159,577,-1.389155865,0.09486030042,1
159,641,-1.411459327,0.027572155,1
159,705,-1.5410496,-0.02387785912,1
159,769,-0.3161135912,-0.415974319,1
159,833,-0.3097459078,-0.651645124,1
159,897,-0.2966271341,-0.7228841782,1
159,961,0.7636072636,-0.7964549065,1
159,1025,-0.223521471,-0.2910907865,1
159,1089,-0.3551977873,-0.5261731148,1
159,1153,-0.2072504759,-0.4148682356,1
159,1217,1.23593998,-0.424839735,1
159,1281,3.310753822,-0.05643862486,1
159,1345,1.373427272,-0.2468588352,1
159,1409,0.8340232372,-0.09795501828,1
159,1473,0.4231183827,0.3316646218,1
159,1537,-0.04558223486,-0.3740586042,1
159,1601,0.222817108,-1.035912275,1
159,1665,0.7024624348,-1.276650071,1
159,1729,0.1609284282,-1.010001302,1
159,1793,0.8751888275,-1.428280473,1
159,1857,1.138845921,-1.600959539,1
159,1921,0.8109244108,-1.687406421,1
159,1985,0.3399640322,-1.764806509,1
223,65,1.386213183,-1.286792755,1
223,129,0.3052051067,-1.798495173,1
223,193,-0.4219018221,-1.800438643,1
223,257,0.6272574067,-1.846654415,1
223,321,1.235529304,-1.668412209,1
223,385,0.5062484145,-1.936987877,1
223,449,-0.1628980041,-2.114965916,1
223,513,-1.190631151,-1.008569717,1
223,577,-1.59032023,-0.675809741,1
223,641,-8.597947121,-3.795143127,1
223,705,-7.619977474,-4.132910728,1
223,769,-2.866728306,-0.7990336418,1
223,833,-0.9450159073,-0.5871537924,1
223,897,-0.1535598338,-0.677330792,1
223,961,-0.01091355085,-0.3659081161,1
223,1025,-0.5191245675,-0.7296258807,1
223,1089,-0.5677643418,-0.5680165887,1
223,1153,-0.7361870408,-0.310130477,1
223,1217,-1.459697008,-0.615804255,1
223,1281,-0.3240202069,-0.5977975726,1
223,1345,0.2600777447,-0.09372729063,1
223,1409,0.6558185816,0.9738752842,1
223,1473,1.060971498,0.3947023153,1
223,1537,0.5737870932,-0.7535675168,1
223,1601,0.1619472802,-0.7648684382,1
223,1665,0.2060955763,-1.526220441,1
