PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 18, filenames: A:[18]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[19]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,-7.459640503,0.2397223711,1
95,129,-3.811941147,2.612576962,1
95,193,-3.544007063,4.013224125,1
95,257,-3.647207975,3.313491344,1
95,321,-3.808657169,1.600975156,1
95,385,-2.748040676,1.559228182,1
95,449,-1.329077005,0.6800724268,1
95,513,1.357190371,2.47482419,1
95,577,0.0005009174347,3.539853096,1
95,641,-1.265664935,3.687703133,1
95,705,0.3800323009,3.209689617,1
95,769,1.839849949,1.987279892,1
95,833,1.560677767,1.540782809,1
95,897,0.2084183097,1.84314847,1
95,961,-1.635150909,2.576871395,1
95,1025,-3.354535103,1.93218112,1
95,1089,-1.548149347,2.493274927,1
95,1153,-1.47136116,3.90075016,1
95,1217,-3.33280921,2.588306189,1
95,1281,-3.292435169,1.320114136,1
95,1345,-3.134457111,1.35836339,1
95,1409,-2.824265003,0.7278395891,1
95,1473,-1.270515084,0.1132238805,1
95,1537,0.03641659021,0.2944144309,1
95,1601,-0.2303413153,0.5215659738,1
95,1665,-0.05234777927,1.428761959,1
95,1729,-0.6633322239,1.436476469,1
95,1793,0.7438306808,-0.05654788017,1
95,1857,1.01136148,-0.4167568684,1
95,1921,0.1574791968,-0.7076780796,1
95,1985,-0.5719003677,-1.970302105,1
159,65,-6.283697128,0.09478926659,1
159,129,-3.961971045,1.363254547,1
159,193,-2.960984945,1.930361032,1
159,257,-3.192921162,1.93793416,1
159,321,-3.573997021,1.525532961,1
159,385,-3.458755255,2.345609188,1
159,449,-2.968712807,1.924432635,1
159,513,-1.857284784,2.277424812,1
159,577,-1.291091323,2.973366499,1
159,641,-1.124858141,3.578378916,1
159,705,-0.8296075463,3.430539608,1
159,769,-0.762126565,2.141524792,1
159,833,-0.9530970454,2.137063026,1
159,897,-1.07725668,1.953744769,1
159,961,-1.350225687,0.9417284727,1
159,1025,-2.43298769,0.8802018166,1
159,1089,-1.69988203,0.9137157202,1
159,1153,-2.052366972,2.202750683,1
159,1217,-2.503631592,1.904389381,1
159,1281,-2.37686801,1.694310546,1
159,1345,-1.618271351,3.008736134,1
159,1409,-1.299438953,1.682108402,1
159,1473,-0.6675428152,0.9160807729,1
159,1537,-0.04574425519,-0.107835874,1
159,1601,0.2767623663,-0.6583141088,1
159,1665,0.2160365433,-0.2925170064,1
159,1729,0.01314675808,-0.04266059399,1
159,1793,-0.1171661615,-0.1295330524,1
159,1857,0.03352564573,-0.3042202592,1
159,1921,0.3942620456,-0.7300314903,1
159,1985,0.3918931484,-1.697008252,1
223,65,-4.842195511,0.01575785875,1
223,129,-3.797586679,0.2915409505,1
223,193,-2.993653297,0.8255847692,1
223,257,-2.568195581,1.393250227,1
223,321,-3.265550613,1.487793922,1
223,385,-4.740185261,2.246133804,1
223,449,-5.782407761,2.180069923,1
223,513,-2.468450546,1.905785799,1
223,577,-1.662544131,2.407375336,1
223,641,-1.729060411,3.526117802,1
223,705,-6.31561327,4.648194313,1
223,769,-1.872163415,1.897976637,1
223,833,-1.313132286,1.959292173,1
223,897,-0.958411634,1.591439843,1
223,961,-1.135986686,0.6798801422,1
223,1025,-4.140389442,0.8949597478,1
223,1089,-2.570417404,1.492580891,1
223,1153,-2.976263762,3.661263466,1
223,1217,-1.661716461,3.159772396,1
223,1281,0.5050524473,2.267035961,1
223,1345,-0.5584600568,1.60418272,1
223,1409,-0.08866840601,0.8480727673,1
223,1473,-0.254760921,0.6820249557,1
223,1537,-0.9764931202,0.3088775873,1
223,1601,0.06446877122,-0.2530339956,1
223,1665,-0.5360306501,-1.603006124,1
223,1729,-0.8588103056,-1.785428762,1
223,1793,-0.5899546146,-0.1197091341,1
223,1857,-0.06898576021,-0.426803261,1
223,1921,0.4445836246,-0.4849923551,1
223,1985,0.09060889482,-1.647943497,1
287,65,-4.012886047,0.2485003471,1
287,129,-4.064491749,-0.1444196105,1
287,193,-3.832648039,0.0714828968,1
287,257,-3.603957176,0.903771162,1
287,321,-6.385532379,2.83049798,1
287,385,-4.716767311,3.097691298,1
287,449,-4.213225365,2.344777107,1
287,513,-2.539925575,1.837095737,1
