PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 1, filenames: A:[1]MAX_Pos0020_TgUtrmcherry_K4K8Mutant.avi & B:[2]MAX_Pos0020_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-1.880568743,-1.747115374,1
24,37,-0.5891823769,-2.766734123,1
24,53,-0.138231039,-14.21739864,1
24,69,-4.082369804,-3.80412674,1
24,85,-1.963127136,-3.806984901,1
24,101,-1.618204594,-4.438082218,1
24,117,-0.6890490055,-5.609178543,1
24,133,-0.6654959321,-6.082799911,1
24,149,6.444674492,-14.66439056,1
24,165,-0.3213174343,-8.763589859,1
24,181,-1.670606136,-6.751130104,1
24,197,0.9703891277,-6.43642664,1
24,213,0.07802200317,-5.015879154,1
24,229,-0.7696526051,-6.053990364,1
24,245,-1.778829575,-6.378097057,1
24,261,-2.703825712,-6.458731174,1
24,277,-5.422064781,-7.370555878,1
24,293,-4.201325417,-7.794679642,1
24,309,-10.33442974,-8.795453072,1
24,325,-2.499086142,-9.554824829,1
24,341,-1.18638134,-3.415621758,1
24,357,-1.36350596,-3.707742929,1
24,373,-0.6882860661,-2.055162191,1
24,389,2.145280361,-1.001837492,1
24,405,3.917897701,-0.9751207829,1
24,421,4.06575489,-2.403367281,1
24,437,1.683473349,-0.8087425232,1
24,453,4.321594238,14.80552483,1
24,469,-0.2035338283,7.758467674,1
24,485,2.348948956,11.63136864,1
24,501,-2.176079273,-5.188725948,1
24,517,1.732444286,-0.1022229195,1
24,533,0.0001890659332,4.405220032,1
24,549,-2.530648708,5.751089096,1
24,565,1.052428246,14.30391407,1
24,581,-3.895567417,11.1630888,1
24,597,1.071810722,3.070275307,1
24,613,-0.5067715645,0.3553733826,1
24,629,-3.354698896,7.475343227,1
24,645,-2.001556396,6.749424934,1
24,661,-1.066798091,3.671458244,1
24,677,-0.805924058,4.192499638,1
24,693,-0.8437097669,6.011947632,1
24,709,-0.9000413418,3.766883373,1
24,725,-0.8233635426,9.090846062,1
24,741,-8.214688301,11.95658588,1
24,757,6.394055843,11.54101562,1
24,773,5.404392242,6.571261406,1
24,789,-2.613659859,3.853133202,1
24,805,6.027519703,9.314396858,1
24,821,1.574601173,15.66658211,1
24,837,0.1595059931,12.76081753,1
24,853,2.076122761,9.036234856,1
24,869,6.188059807,6.137705803,1
24,885,3.50652504,5.499193192,1
24,901,4.403965473,5.032130241,1
