PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 9, filenames: A:[9]MAX_Pos0020_TgUtrmcherry_K4K8Mutant.avi & B:[10]MAX_Pos0020_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,2.915487766,-7.646080494,1
24,37,2.653976917,2.015716553,1
24,53,0.6689808369,1.249447107,1
24,69,0.08831129968,0.9555834532,1
24,85,-0.7187260985,0.7168929577,1
24,101,-0.9586420655,-0.6746163368,1
24,117,-0.5950825214,-0.5665280819,1
24,133,-0.7836949825,2.608043194,1
24,149,0.05173489451,-0.1827691793,1
24,165,0.6795238256,-0.1316043735,1
24,181,1.121139407,-0.5505763888,1
24,197,1.163733125,-1.473765492,1
24,213,0.8771193027,-1.345319748,1
24,229,0.1650525331,-1.0008111,1
24,245,0.0633585453,-0.7382588983,1
24,261,8.555607796,1.150845051,1
24,277,1.119394541,0.1215262413,1
24,293,1.82755661,-2.875049829,1
24,309,3.279621124,-2.444604635,1
24,325,3.917545319,-2.137815714,1
24,341,2.693666458,-1.691437721,1
24,357,1.882183075,-1.313062906,1
24,373,0.4084267616,-0.6656386852,1
24,389,0.3530784845,0.3139948845,1
24,405,-2.509696007,-1.24810195,1
24,421,-0.8717101812,-2.887434483,1
24,437,0.6611615419,-2.570858002,1
24,453,0.4839494228,-1.051158905,1
24,469,0.504847765,-1.472787023,1
24,485,0.535943985,-2.165205479,1
24,501,0.1366040111,-2.344786167,1
24,517,0.2105478048,-2.449373007,1
24,533,-0.6046776772,0.4819538593,1
24,549,0.223506093,-2.018310547,1
24,565,1.775147676,-8.508948326,1
24,581,-2.528361082,-2.949818134,1
24,597,-2.901303291,-2.002043009,1
24,613,-5.761257172,-1.657695532,1
24,629,-6.963896751,-0.7899824381,1
24,645,-5.338282585,3.817000389,1
24,661,-3.930589676,-2.127725124,1
24,677,-2.814038754,-2.270430088,1
24,693,-2.494471788,-2.81043005,1
24,709,-3.760522604,-3.123438358,1
24,725,-4.921327591,-1.530086279,1
24,741,-3.141986847,0.2070178986,1
24,757,-5.482880116,-1.061288834,1
24,773,-10.27363777,-1.863327026,1
24,789,-7.245092392,-9.66817379,1
24,805,-4.392246246,-0.9776498079,1
24,821,-2.904588699,-0.09946483374,1
24,837,-1.567877173,0.5251727104,1
24,853,-0.9433621168,0.4417412281,1
24,869,-5.991869926,2.897913218,1
24,885,1.32100296,3.875501156,1
24,901,-3.067539215,2.483161449,1
24,917,-1.350079536,3.048453331,1
24,933,1.509117126,2.022527695,1
24,949,1.451232314,3.107497692,1
24,965,-0.587859273,3.239590168,1
24,981,-6.416941643,4.576408386,1
24,997,-5.838457584,5.497991562,1
24,1013,-7.493357658,12.23550415,1
24,1029,-1.166715622,6.515137672,1
24,1045,-2.048197746,5.713614464,1
24,1061,0.01730424166,3.103549957,1
24,1077,0.694345355,3.89337492,1
24,1093,1.850928307,7.996751785,1
24,1109,2.350015402,7.017548561,1
24,1125,1.817107677,5.627455235,1
24,1141,0.8326365948,4.415092468,1
24,1157,1.101094007,3.791833878,1
24,1173,1.728540897,3.496973515,1
24,1189,2.026689053,1.923665881,1
24,1205,2.385671377,0.7250079513,1
24,1221,3.118636608,0.06924498081,1
24,1237,3.087044001,-0.2010732889,1
24,1253,2.549866676,-0.351832062,1
24,1269,0.9027173519,0.989860177,1
24,1285,-1.583418727,3.587111473,1
40,21,-1.404823542,1.680421829,1
40,37,-1.088601351,1.140598416,1
40,53,0.3426164985,0.4518073797,1
40,69,-0.0132278204,-0.3507020473,1
40,85,-0.06563140452,-0.1564748287,1
40,101,-0.04453149438,-0.2548404336,1
40,117,-0.1172799021,-0.05274729431,1
40,133,-0.1984300464,1.565921664,1
40,149,0.01618020236,0.1526134908,1
40,165,0.4858368635,0.249696672,1
40,181,0.8864253163,-0.5254491568,1
40,197,1.315371037,-0.8856062889,1
40,213,1.528738379,-1.080728292,1
40,229,1.450035691,-1.480986834,1
40,245,1.545739174,-1.433780074,1
40,261,1.336818576,-0.7390748262,1
40,277,0.5942628384,-0.0200881362,1
40,293,0.9142221212,-1.042108536,1
40,309,1.238716125,-1.027767062,1
40,325,1.238458753,-0.639485538,1
40,341,0.1135196686,-0.2047632933,1
40,357,-0.6058920622,0.4700251222,1
40,373,-2.251848698,1.095950484,1
40,389,-1.269770384,-0.5915595889,1
40,405,-1.931167483,-1.461431861,1
40,421,-0.7651614547,-1.80830729,1
40,437,-0.2701449096,-2.348982811,1
40,453,7.921220779,-5.325381279,1
40,469,1.62985456,-1.249174595,1
40,485,-6.321685791,-4.58228302,1
40,501,-1.084163666,-3.66045332,1
40,517,0.03439903259,-3.853387833,1
40,533,-1.04013443,-1.941522598,1
40,549,-3.721138,6.040999413,1
40,565,-6.660196304,5.273263454,1
40,581,-4.460141182,-0.9153772593,1
40,597,-4.290199757,-2.041904926,1
40,613,-4.173126221,-1.445631146,1
40,629,-2.96143055,-0.5980923176,1
40,645,-2.324351788,-0.4225064516,1
40,661,-1.851936936,-1.329538107,1
40,677,-4.098481178,0.5009152889,1
40,693,-3.906321526,-1.880771279,1
40,709,5.200680733,2.595313549,1
40,725,-1.234879494,0.7405054569,1
40,741,-2.904971838,1.581590056,1
40,757,-4.351793289,0.111007452,1
40,773,-5.23925972,-1.165263295,1
40,789,-4.670676231,-1.447984934,1
40,805,-2.765336514,-0.4535374045,1
40,821,-1.266991496,0.4919848442,1
40,837,0.05567121506,-5.895952225,1
40,853,-9.330093384,-1.850994349,1
40,869,-2.377545118,1.46832633,1
40,885,-2.24163866,3.707849026,1
40,901,-2.348565102,4.166935921,1
40,917,-1.656804085,3.35752368,1
40,933,2.444936991,1.96760869,1
40,949,-0.1817681193,1.880973816,1
40,965,-0.6834719181,2.503484726,1
40,981,-3.919862509,3.063851357,1
40,997,-3.908096313,4.182766914,1
40,1013,-0.878000319,6.280078888,1
40,1029,-0.6398762465,4.715073586,1
40,1045,-0.1316715479,4.640929222,1
40,1061,0.3545686603,3.191727877,1
40,1077,0.652746439,3.154816151,1
40,1093,0.7457325459,5.293295383,1
40,1109,1.327490568,5.990252018,1
40,1125,1.171028018,5.216392994,1
40,1141,0.7250669003,4.698791027,1
40,1157,0.938798666,3.719924927,1
40,1173,1.221984506,2.413202286,1
40,1189,1.350828648,1.416925788,1
40,1205,1.562730789,0.7677432299,1
40,1221,1.625192642,0.2431440055,1
40,1237,1.206885576,0.02633406222,1
40,1253,0.9179953337,-0.2216472626,1
40,1269,0.7809252143,-1.260319948,1
40,1285,0.02269142866,-2.702875614,1
56,21,-1.970535398,2.094991684,1
56,37,-1.130726576,0.8454111814,1
56,53,-0.9834617972,0.422724694,1
56,69,-1.074995518,-0.4330784082,1
56,85,0.5677015185,-0.704665184,1
56,101,0.4811632633,-0.5326728821,1
56,117,-0.4120433331,-1.098104715,1
56,133,0.07913193107,0.2420873195,1
56,149,0.2715543211,0.3387985826,1
56,165,0.0737863481,-0.517870605,1
56,181,0.208958149,-1.235503674,1
56,197,0.8476155996,-0.8738363981,1
56,213,1.406369567,-0.7125746012,1
56,229,2.342871189,-0.9648476839,1
56,245,3.116146564,-2.87039566,1
56,261,1.833488822,-1.098280549,1
56,277,0.9106030464,-0.8396580219,1
56,293,0.4343625307,-0.7098469734,1
56,309,0.4310877323,-0.158395648,1
56,325,0.5075548887,-0.2195590138,1
56,341,-0.3314181566,0.3961592317,1
56,357,-0.3995625377,0.7528473139,1
56,373,0.2131096423,0.8069194555,1
56,389,-0.2709121704,-0.7276773453,1
56,405,-0.8302929997,-1.564020991,1
56,421,0.3457410932,-0.6968650222,1
56,437,-0.07875871658,1.057314038,1
56,453,1.099924326,-0.7285163999,1
56,469,1.321184516,-0.9899364114,1
56,485,0.2873305082,-0.1745138168,1
56,501,-0.03955942392,-1.253394961,1
56,517,-0.3162274957,-3.371963978,1
56,533,-0.2331469059,-3.981226921,1
56,549,-1.899449825,-4.11689043,1
56,565,-2.449626923,-3.614237785,1
56,581,-3.955406189,-0.8940495253,1
56,597,-4.349728107,-0.6501280069,1
56,613,-3.226569414,-1.027820945,1
56,629,-3.629232407,-1.042191267,1
56,645,-4.033989906,-1.112636805,1
56,661,-2.642121315,7.323455811,1
56,677,-1.962013245,-0.4910501242,1
56,693,-3.53090167,-2.622087479,1
56,709,-3.515930176,-2.972173691,1
56,725,-0.5565751791,1.365402818,1
56,741,-0.5340721607,1.015003562,1
56,757,-3.498180389,5.404668808,1
56,773,-8.619664192,0.45890221,1
56,789,-1.774255991,-0.2623903155,1
56,805,-0.9550180435,-0.06386262178,1
56,821,-1.676478386,1.704140186,1
56,837,3.795773029,-7.053514004,1
56,853,-9.279797554,-2.049463272,1
56,869,-1.181041837,2.044569016,1
56,885,-2.029390335,3.70835948,1
56,901,-1.922648072,3.283664942,1
56,917,3.949531555,-0.1382834911,1
56,933,0.1686604619,0.8241481781,1
56,949,-0.3875231147,2.231072664,1
56,965,-0.5058680177,2.864458799,1
56,981,-0.1616635323,3.915204287,1
56,997,-0.1256215423,6.119729996,1
56,1013,-0.823792398,4.810190201,1
56,1029,-0.326369673,3.884065866,1
56,1045,0.6618663073,4.028745651,1
56,1061,0.4426311553,2.764380932,1
56,1077,0.2398900688,2.718274355,1
56,1093,0.2521858513,3.476499557,1
56,1109,1.027370095,4.244579792,1
56,1125,0.1730405688,5.070388794,1
56,1141,0.05606687069,5.002714157,1
56,1157,0.4391775131,3.713764429,1
56,1173,0.8108041286,2.352736473,1
56,1189,0.6073148847,1.227702737,1
56,1205,0.4796044827,0.9333729148,1
56,1221,0.6142399311,0.1071003675,1
56,1237,0.507989049,-0.07961112261,1
56,1253,0.79142344,-0.1610886455,1
56,1269,1.734856844,-2.057584286,1
56,1285,0.6407929659,-5.015523911,1
72,21,-4.048461914,1.978940129,1
72,37,-2.397551775,3.920419216,1
72,53,-2.116059542,0.1994915903,1
72,69,-1.151528716,-0.3553469181,1
72,85,0.543387413,-0.6025048494,1
72,101,0.7793585062,-0.6847878098,1
72,117,0.1251039207,-0.6408196688,1
72,133,0.3633599281,-0.1106687784,1
72,149,1.201362729,-0.1935566962,1
72,165,0.8748768568,-0.5683524013,1
72,181,-1.771487713,-3.141627789,1
72,197,0.5920951366,-0.2793721557,1
72,213,7.734872341,-0.6032170653,1
72,229,7.867268085,-1.126685977,1
72,245,2.834192038,-3.655922174,1
72,261,2.049832821,-1.130302668,1
72,277,0.8359274864,-1.284326077,1
72,293,0.6305823326,-1.745189548,1
72,309,0.8242240548,-0.8513935208,1
72,325,0.808814466,-0.6383764744,1
72,341,0.5073872805,-0.1629799008,1
72,357,-0.006663620472,0.2581478059,1
72,373,-0.2075098455,0.9038141966,1
72,389,-0.2836835384,-0.08562779427,1
72,405,0.03596535325,-0.7968380451,1
72,421,0.3167276382,-1.057051182,1
72,437,1.262682438,-0.1215679049,1
72,453,1.710413218,-0.1551915407,1
72,469,1.288291693,-0.6771162152,1
72,485,0.8016512394,-0.4707481861,1
72,501,0.6440636516,-1.357258916,1
72,517,-0.08088567853,-4.010355949,1
72,533,-1.413766861,-2.999840021,1
72,549,-2.486837387,-2.600518227,1
72,565,-2.88822794,-2.692914963,1
72,581,-3.944848776,-1.624947548,1
72,597,2.995481968,-1.800864339,1
72,613,-3.338510513,-1.038452387,1
72,629,-3.640892982,-0.9990338087,1
72,645,-3.367231369,-0.3609030843,1
72,661,-0.8593592644,0.341052115,1
72,677,-5.086140633,-2.384447575,1
72,693,2.558495045,2.868497372,1
72,709,2.708948135,2.713093758,1
72,725,-0.6227738857,0.9583258629,1
72,741,-0.1048486233,0.4656908512,1
72,757,3.078783274,-0.05051928759,1
72,773,-1.03339386,-0.2606822252,1
72,789,2.189412594,0.4305255413,1
72,805,-0.1721432209,-0.8672200441,1
72,821,-2.272132158,1.429671407,1
72,837,-0.5326043963,0.413826406,1
72,853,-0.990170002,1.262510657,1
72,869,3.191118002,4.076560974,1
72,885,-0.8798430562,2.821567535,1
72,901,-1.186014652,2.11944437,1
72,917,-0.9945963025,1.115724802,1
72,933,-1.175094366,2.308591366,1
72,949,-1.398144007,3.459594011,1
72,965,0.2499004006,2.543015957,1
72,981,0.9105092287,2.72141099,1
72,997,-0.1632728577,1.580454826,1
72,1013,-0.09729574621,3.123104811,1
72,1029,-0.1927684546,4.145965576,1
72,1045,2.191306353,3.444360971,1
72,1061,2.054182529,2.583651543,1
72,1077,0.5958025455,2.316478729,1
72,1093,0.644461453,3.817585945,1
72,1109,0.6491882801,4.670640945,1
72,1125,-0.3069779873,4.957689285,1
72,1141,-0.4037037492,4.317809105,1
72,1157,-0.06488698721,3.603164911,1
72,1173,0.2557190061,3.00281477,1
72,1189,0.2837084532,2.693104029,1
72,1205,-0.1762185097,1.215524793,1
72,1221,-0.440766573,0.2851330042,1
72,1237,-0.2931848764,0.1442959905,1
72,1253,0.3448312879,-0.1750131547,1
72,1269,1.215909004,-1.580878258,1
72,1285,1.649384737,-4.295795441,1
88,21,-0.4272497892,-0.1565205157,1
88,37,-0.3535824418,-0.4319859147,1
88,53,-0.3344533443,0.08045747876,1
88,69,-0.715169549,0.08606125414,1
88,85,0.1537720859,-0.0992127955,1
88,101,0.7471899986,-0.3475285172,1
88,117,0.8038386703,-0.2461081147,1
88,133,0.9585903883,-0.4030784667,1
88,149,1.078086138,-0.4522586465,1
88,165,0.7787829041,0.4112856388,1
88,181,1.077116489,-0.1971147954,1
88,197,1.113687634,0.4226329625,1
88,213,1.47761929,0.4825853705,1
88,229,2.739084244,-0.8924723864,1
88,245,1.844323993,-1.430415034,1
88,261,1.646164179,-0.7698915005,1
88,277,0.9458196163,-1.586150527,1
88,293,-0.1768010855,-2.809890747,1
88,309,0.5089782476,-1.385784149,1
88,325,1.115998268,-0.7722511292,1
88,341,0.8336540461,-0.4890102744,1
88,357,0.02280624211,0.07864511013,1
88,373,-0.7125372291,-0.03636789322,1
88,389,-0.468192786,-0.2503332496,1
88,405,0.3097780347,-0.5304332972,1
88,421,0.1329038143,-0.6468698382,1
88,437,0.9720677733,0.1155368164,1
88,453,1.266365647,-0.02505218983,1
88,469,1.541688204,-0.9693664908,1
88,485,1.407107472,-0.6965060234,1
88,501,1.149621487,-2.87217021,1
88,517,0.8305006027,-4.847156525,1
88,533,-1.910659432,-1.066023827,1
88,549,-3.482890129,-2.861134768,1
88,565,-3.616578579,-3.510705471,1
88,581,-4.121786118,-2.052178144,1
88,597,-3.729793549,-1.322812557,1
88,613,-4.439558983,-1.532667041,1
88,629,-4.76174736,-1.268500328,1
88,645,-4.048446178,2.174321175,1
88,661,-0.09250354767,0.4799962342,1
88,677,3.141617775,-7.769937992,1
88,693,-1.618780494,0.8728947639,1
88,709,-1.318959832,1.066948056,1
88,725,-0.4158542156,0.3583801985,1
88,741,1.100856781,3.02008462,1
88,757,1.902285576,2.542583942,1
88,773,-0.5972354412,-1.487419963,1
88,789,-5.565321445,8.016245842,1
88,805,-1.870943546,-8.492042542,1
88,821,-0.4097260833,0.6043931246,1
88,837,-0.8241693974,0.3586441278,1
88,853,-0.7180089355,0.2166448832,1
88,869,-0.9520943165,3.021001339,1
88,885,-1.066871166,3.704679251,1
88,901,-0.7991942167,2.257718563,1
88,917,-0.4192001224,2.606382132,1
88,933,-0.6110759974,2.86453867,1
88,949,-1.705720425,4.022037506,1
88,965,0.1827248037,2.927580595,1
88,981,3.696690559,-4.71206665,1
88,997,0.1956135035,2.998133659,1
88,1013,0.01569974422,3.68991065,1
88,1029,-0.05165523291,4.237809181,1
88,1045,0.1496305168,3.476041317,1
88,1061,-0.2023773789,2.561861277,1
88,1077,-0.5355584621,1.656995058,1
88,1093,-0.6942722797,2.021340609,1
88,1109,-0.3442340493,3.489483595,1
88,1125,-0.2119351029,4.250158787,1
88,1141,-0.7273752689,3.554549694,1
88,1157,-0.5788240433,3.333013296,1
88,1173,-0.3288315237,3.148740053,1
88,1189,-0.2633918524,1.768187642,1
88,1205,-0.4821206331,1.075928211,1
88,1221,-0.8287085891,0.6385258436,1
88,1237,-0.5238634944,0.1144071594,1
88,1253,0.174608171,-0.6652579308,1
88,1269,0.8480035663,-1.596247196,1
88,1285,0.4725879431,-2.109135389,1
104,21,0.2949752808,-0.3311319351,1
104,37,0.1300766468,-0.2073256671,1
104,53,-0.03135579824,-0.3731839657,1
104,69,-0.1631730795,0.02151662111,1
104,85,0.1339160651,0.4824902415,1
104,101,1.257833362,0.247050941,1
104,117,2.696102142,-0.07547301054,1
104,133,1.583048582,-0.0993193686,1
104,149,1.307240725,-0.04167085886,1
104,165,9.659918785,2.221226215,1
104,181,1.290518284,-0.2110446692,1
104,197,1.550143242,-0.2684948742,1
104,213,1.720462322,-0.3788180947,1
104,229,0.7743377686,-0.9441095591,1
104,245,1.584146261,-2.142147064,1
104,261,0.9885306358,-1.782266736,1
104,277,0.6134648323,-1.856539011,1
104,293,1.129044175,-3.087005138,1
104,309,1.737078905,-2.490303755,1
104,325,1.38527143,-1.679834366,1
104,341,1.24882865,-1.014416218,1
104,357,0.53977561,-0.8297585845,1
104,373,-0.4338579774,-1.077622414,1
104,389,0.01113438606,-1.388632655,1
104,405,0.678416729,-0.2856635749,1
104,421,0.1976969242,0.3259982765,1
104,437,-1.64933455,0.1098567396,1
104,453,5.378473282,-1.997882128,1
104,469,3.086074114,-1.261667967,1
104,485,1.562123775,-0.6618779898,1
104,501,1.050172567,-1.643741727,1
104,517,0.5669599771,-4.17499733,1
104,533,-0.6649609208,-2.177072048,1
104,549,-2.1947999,-3.753026247,1
104,565,-3.319858789,-4.383935452,1
104,581,-3.428727388,-2.33855629,1
104,597,-3.677301884,-1.928696632,1
104,613,-3.813243389,-2.289473295,1
104,629,-3.651276827,-2.48749876,1
104,645,-3.192834377,1.991583109,1
104,661,0.05739235878,0.5995516181,1
104,677,0.03796470165,5.989144802,1
104,693,-1.685985208,-0.3476035893,1
104,709,-2.686738253,-0.4183829427,1
104,725,-7.638838768,-3.942095995,1
104,741,0.1133358479,3.004581213,1
104,757,1.577452421,2.917668343,1
104,773,-0.01128757,1.860366821,1
104,789,-0.2045544982,-0.07035452127,1
104,805,-3.624780893,-8.42575264,1
104,821,-1.079655766,0.7434768677,1
104,837,-1.183274269,2.15920639,1
104,853,-1.218985558,3.058203697,1
104,869,-1.508330822,3.712183952,1
104,885,-1.786752462,2.630113125,1
104,901,-0.880571425,1.863479614,1
104,917,-0.3510206342,2.46303916,1
104,933,-0.3659240901,2.736624479,1
104,949,-8.17129612,-1.920957804,1
104,965,-6.860136986,-2.784018993,1
104,981,1.004603863,3.317290783,1
104,997,-0.3523457646,4.037227154,1
104,1013,-0.4950734675,4.626281738,1
104,1029,-0.02284443378,4.331372261,1
104,1045,-0.4066636562,3.635039091,1
104,1061,-0.6777615547,4.133504868,1
104,1077,-1.049582601,1.6954,1
104,1093,-1.246230125,1.989718437,1
104,1109,-1.111038089,3.148667336,1
104,1125,-0.4487024546,3.79929781,1
104,1141,-0.3987896442,3.695090294,1
104,1157,-0.915392518,3.623417139,1
104,1173,-0.7719984055,3.257225275,1
104,1189,-0.9158309698,1.677590251,1
104,1205,-1.779774427,0.7882820368,1
104,1221,-0.9841305614,0.1918656826,1
104,1237,-1.007364154,-0.2686917782,1
104,1253,-0.6548639536,-1.382615447,1
104,1269,0.1139552295,-1.069421053,1
104,1285,0.1502369642,-0.1784038544,1
120,21,0.5510403514,0.7237930298,1
120,37,0.5122640133,0.5209956765,1
120,53,0.2650056779,0.2782546878,1
120,69,0.2286953926,0.3060606718,1
120,85,0.1682985425,0.8507220745,1
120,101,0.1025704741,0.4510086775,1
120,117,0.3256800473,0.164721027,1
120,133,0.3900156915,0.7090782523,1
120,149,0.2551317811,0.3710076213,1
120,165,0.09962069988,0.1392547339,1
120,181,0.709498167,-0.3197596073,1
120,197,1.478733659,-0.7790250182,1
120,213,2.380115509,-0.4681205153,1
120,229,2.171817303,-0.9712786674,1
120,245,1.517421603,-1.86357522,1
120,261,0.9712491035,-2.119229317,1
120,277,0.2789816856,-1.659379005,1
120,293,2.946656227,-1.351067305,1
120,309,2.607070208,-3.629711151,1
120,325,2.196195841,-2.795549393,1
120,341,1.677427292,-1.539776683,1
120,357,0.7185554504,-1.007607102,1
120,373,-0.2827944756,-2.165616512,1
120,389,3.630138636,-2.620285511,1
120,405,-1.782679677,-9.150550842,1
120,421,1.695236444,0.5214093328,1
120,437,0.8912832737,1.104333282,1
120,453,2.430983305,1.00734818,1
120,469,2.838711739,0.2938401699,1
