PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 6, filenames: A:[6]MAX_Pos0020_TgUtrmcherry_K4K8Mutant.avi & B:[7]MAX_Pos0020_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,4.296149254,2.672380924,1
24,37,1.284633398,2.652421474,1
24,53,-0.5810802579,1.436839581,1
24,69,-0.4631750882,0.9290171862,1
24,85,0.1929610968,0.9034250379,1
24,101,0.4800206423,0.3114726543,1
24,117,0.3036720753,-0.1845461726,1
24,133,-1.228807449,-9.097384453,1
24,149,0.1202886701,-0.163051635,1
24,165,-0.8235943317,0.1418030262,1
24,181,-0.3731424809,-0.4402894974,1
24,197,0.8736577034,1.110255003,1
24,213,1.158747315,0.9730887413,1
24,229,-0.08713614941,0.7812414765,1
24,245,-0.5578041673,0.2490741014,1
24,261,-0.7943348885,3.649659634,1
24,277,2.54479599,2.976200104,1
24,293,4.888866901,1.89245832,1
24,309,4.489658356,2.19126606,1
24,325,3.932223797,1.104425907,1
24,341,2.506159306,0.1542100906,1
24,357,4.667311668,-7.65390873,1
24,373,1.405591011,-2.413948059,1
24,389,-0.7748194933,0.8146615028,1
24,405,-2.568155766,0.5886107683,1
24,421,-3.653407574,0.1101372838,1
24,437,-5.125495911,-1.095253944,1
24,453,-2.468976259,0.07041954994,1
24,469,-2.106393099,1.91495657,1
24,485,-2.366267443,3.775000572,1
24,501,-4.443566322,4.017763138,1
24,517,-8.236297607,2.974436283,1
24,533,-7.572442055,1.104004741,1
24,549,-6.50333643,-0.4326255918,1
24,565,-6.779498577,0.08827167749,1
24,581,-6.750137329,-0.9342310429,1
24,597,-5.883656502,-0.689691782,1
24,613,-5.062643528,0.196752131,1
24,629,-4.29910326,-0.4239156246,1
24,645,-4.317974091,0.3932765722,1
24,661,-4.567434311,2.382265806,1
24,677,-6.363688469,5.174986839,1
24,693,-3.876308918,1.436963081,1
24,709,-0.7834384441,1.747220755,1
24,725,1.018520355,0.2512313128,1
24,741,-6.508187294,3.827089548,1
24,757,-1.476578951,2.086039543,1
24,773,3.746475935,-6.851618767,1
24,789,2.305118322,-6.815899372,1
24,805,-4.562262058,1.881857157,1
24,821,3.61924243,8.777263641,1
24,837,-0.3438019753,3.782143116,1
24,853,0.09784328938,11.31746006,1
24,869,-1.395200968,3.632852554,1
24,885,-0.8492418528,2.758148432,1
24,901,-0.5062921047,0.4800235033,1
24,917,-0.8754920363,4.910090446,1
24,933,-4.931921482,-2.682088375,1
24,949,-0.8556749821,1.517276525,1
24,965,-2.123955965,2.224512577,1
24,981,-2.697314262,-2.423520088,1
24,997,1.992750168,1.468991756,1
24,1013,2.987300158,3.506023645,1
24,1029,-0.7634859085,7.394583702,1
24,1045,-2.778191566,2.267448664,1
24,1061,-0.4361735582,2.438034534,1
24,1077,-0.04995286465,1.94221127,1
24,1093,-1.254921079,5.045583725,1
24,1109,-0.03645086288,4.38994503,1
24,1125,-1.020264983,4.091143608,1
24,1141,-1.123960614,4.089202881,1
24,1157,-1.655232549,2.776633024,1
24,1173,-1.466453671,1.817036629,1
24,1189,-0.7433739901,1.398000717,1
24,1205,0.2688339949,1.080917835,1
24,1221,1.154114485,-2.240351677,1
24,1237,1.706952333,-3.413980484,1
24,1253,1.828597069,-4.741828918,1
24,1269,5.298160553,-3.707316399,1
24,1285,4.655365944,-2.589377403,1
40,21,7.324791908,7.987783909,1
40,37,-2.623039484,0.3424986601,1
40,53,-0.09281557798,3.041891098,1
40,69,0.6447964907,1.087731838,1
40,85,0.5728130341,0.9214189053,1
40,101,0.445320487,1.151078463,1
40,117,-0.5740276575,8.929677963,1
40,133,0.4098235965,-8.365280151,1
40,149,0.4936692715,0.1957404464,1
40,165,-3.058498383,4.666965961,1
40,181,1.069580197,-0.6765397787,1
40,197,1.178633451,1.530617714,1
40,213,1.266145229,1.308654547,1
40,229,9.913566589,-1.149478197,1
40,245,3.956935406,-6.62075901,1
40,261,2.224332333,2.195332527,1
40,277,1.794898033,1.724681735,1
40,293,1.920537949,1.084298491,1
40,309,1.962551117,1.414620876,1
40,325,1.604862452,1.740739822,1
40,341,1.080378532,0.6135510206,1
40,357,-0.586275816,0.6411805153,1
40,373,-2.024363041,-0.08121171594,1
40,389,-3.191675663,0.06321394444,1
40,405,-3.364605427,0.8585035801,1
40,421,-3.318197727,0.5677289367,1
40,437,-3.184355497,0.5017434359,1
40,453,-2.519043922,0.5552213192,1
40,469,-2.178939342,0.8266634941,1
40,485,-1.445849895,2.849149466,1
40,501,-2.78717041,2.910084248,1
40,517,-4.23562336,0.913546741,1
40,533,-4.949602127,1.257360578,1
40,549,-7.819768429,1.167921543,1
40,565,-7.931260586,-0.04916086793,1
40,581,-5.794443607,-2.038448572,1
40,597,-5.720279694,-0.3392264843,1
40,613,-5.567567825,0.1826468706,1
40,629,-5.555384159,0.6915078759,1
40,645,-4.900364876,1.144364595,1
40,661,-4.444132328,-0.1686406136,1
40,677,-3.716550589,0.2473151684,1
40,693,-2.599826574,-0.1699601412,1
