PIVlab, ASCII chart output - 17-Jul-2025
FRAME: 3, filenames: A:[3]MAX_Pos0020_TgUtrmcherry_K4K8Mutant.avi & B:[4]MAX_Pos0020_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
24,21,-0.5576504469,-0.2544100285,1
24,37,-0.8118625879,-1.439674854,1
24,53,-0.5228734016,-1.581140995,1
24,69,0.07754707336,-1.310805321,1
24,85,-0.3200410008,-0.4033036232,1
24,101,-0.5594468713,-0.396653533,1
24,117,0.1458070278,-0.2071948051,1
24,133,9.420538902,-1.271800995,1
24,149,-2.400823116,-3.652693748,1
24,165,1.791149378,-8.428804398,1
24,181,-1.924180627,-2.296965122,1
24,197,5.235737801,-5.911160946,1
24,213,-0.707069993,-2.225940943,1
24,229,-1.655222654,-1.99042058,1
24,245,-0.3259623051,-3.145657301,1
24,261,0.4899871349,-3.003872395,1
24,277,0.7720918059,-2.628286123,1
24,293,-0.1236278415,-2.796812773,1
24,309,-1.763094425,-2.34633112,1
24,325,-1.954937696,-2.687991619,1
24,341,0.7839827538,-1.047297478,1
24,357,2.623325586,0.4634215832,1
24,373,2.900190592,-2.408532143,1
24,389,-6.784690857,3.254782438,1
24,405,1.403699756,-0.7400151491,1
24,421,0.6401916742,-0.2284716964,1
24,437,-0.7703478336,1.235204339,1
24,453,-2.279305935,1.236243129,1
24,469,-2.979212284,0.4135606289,1
24,485,-4.068642616,0.6205651164,1
24,501,-3.98084116,0.9412077665,1
24,517,-3.272381544,-0.6602611542,1
24,533,-2.765694618,0.7568202019,1
24,549,-1.713487625,-0.2126464844,1
24,565,-3.295911074,1.173595667,1
24,581,-4.097924232,3.234904528,1
24,597,-3.720083237,4.304883957,1
24,613,-3.674480915,5.225944519,1
24,629,-3.384533644,5.874545097,1
24,645,-11.8903141,5.845793724,1
24,661,-5.235843658,1.873418808,1
24,677,-5.117219925,2.36503315,1
24,693,-4.449682236,2.528134584,1
24,709,-1.83035481,2.895621538,1
24,725,-2.502897263,2.641720057,1
24,741,-0.4074745178,-4.553525925,1
24,757,0.1138453484,0.309709549,1
24,773,3.609041452,1.371919632,1
24,789,4.520604134,2.522681713,1
24,805,3.245149136,8.442651749,1
24,821,-3.350944519,-0.4685001373,1
24,837,8.503079414,2.032920599,1
24,853,9.736886024,1.531443119,1
24,869,1.078499556,-2.78357935,1
24,885,-0.3733987808,0.7945766449,1
24,901,-3.287321806,10.17470169,1
24,917,-6.386131287,8.895484924,1
24,933,-6.068179131,-0.04853487015,1
24,949,4.591475964,0.7367544174,1
24,965,7.533833027,10.18722153,1
24,981,-5.580997944,-1.165385246,1
24,997,-0.334100008,3.978104591,1
24,1013,-0.576310277,8.085012436,1
24,1029,7.942103386,3.855591536,1
24,1045,9.468578339,4.060338974,1
24,1061,1.801636338,5.66973877,1
24,1077,1.758180857,5.08545351,1
24,1093,1.95250392,6.171252728,1
24,1109,1.795990467,5.996258259,1
24,1125,1.717496395,3.354250431,1
24,1141,2.684156656,0.5280100107,1
24,1157,2.636318684,-0.3655474186,1
24,1173,1.41940093,0.02980041504,1
24,1189,0.5275359154,-0.04463732243,1
24,1205,1.418983698,-3.329535246,1
24,1221,-7.017879963,-3.889045477,1
24,1237,0.9435079098,-3.024171352,1
24,1253,2.788915157,-2.702524424,1
24,1269,1.989179373,-3.117296457,1
24,1285,-0.8672008514,-5.178105354,1
40,21,-0.6217949986,-1.297927141,1
40,37,-0.2699589729,-0.3918867111,1
40,53,-0.1627872288,-0.2636373043,1
40,69,-0.03979665041,-0.6630833149,1
40,85,0.3265309334,-0.5236303806,1
40,101,0.1788292825,-0.1413626671,1
40,117,0.06814242899,-1.223954678,1
40,133,0.3804357946,-3.477231503,1
40,149,7.13064146,-0.0319814682,1
40,165,-5.218028069,-10.02963066,1
40,181,-0.5131288767,-2.897182465,1
40,197,-0.06997939944,-1.864305735,1
40,213,-0.09272581339,-2.485512733,1
40,229,-0.7953376174,-3.059086084,1
40,245,0.8018698692,-3.028689623,1
40,261,1.149271011,-2.240020037,1
40,277,1.156374574,-3.048325062,1
40,293,0.8188233376,-3.045202732,1
40,309,0.7209976912,-2.602271795,1
40,325,1.106775045,-2.338668346,1
40,341,1.023570776,-1.175937176,1
40,357,2.548586369,-2.182794571,1
40,373,2.008433819,-3.725086689,1
40,389,2.416647911,-5.041140079,1
40,405,2.32993722,-6.315310478,1
40,421,1.725599408,-0.9589880705,1
40,437,0.005550861359,-0.01064021885,1
40,453,-0.8372744322,0.5177593827,1
40,469,-1.88880372,0.3144047856,1
40,485,-2.052521944,0.5935764313,1
40,501,-3.324395657,0.4795902967,1
40,517,-3.374229431,-0.3309203386,1
40,533,-3.083397388,-1.288814664,1
40,549,-2.144781113,0.9305177927,1
40,565,-2.878959656,2.04548502,1
40,581,-2.44026947,2.906810284,1
40,597,-3.012648106,3.878901958,1
40,613,-4.311163425,5.000123978,1
40,629,-5.27726078,4.367445946,1
40,645,-4.72133112,3.53835392,1
40,661,-4.374109268,3.032307863,1
40,677,-3.634827614,4.019478798,1
40,693,-2.937893391,2.732774973,1
40,709,-2.049492359,2.384507895,1
40,725,-0.2014508247,-0.3972079754,1
40,741,-3.728084564,4.972873688,1
40,757,-9.241985321,8.811977386,1
40,773,2.703215837,-2.380134106,1
40,789,-0.8552009463,6.614823818,1
40,805,-0.2872700989,1.997954845,1
40,821,-5.518485069,2.372825146,1
40,837,-5.602438927,2.912090778,1
40,853,-5.029875755,-2.285524845,1
40,869,-4.071203232,-0.7367920876,1
40,885,1.386442423,-0.8856892586,1
40,901,0.2607964277,6.335144997,1
40,917,-0.7138000727,7.010420799,1
40,933,-0.08105611801,5.825724602,1
40,949,6.018730164,6.181919098,1
40,965,-3.090203762,12.58640385,1
40,981,-4.825433731,9.253567696,1
40,997,-0.02722108364,5.650082588,1
40,1013,0.4086444974,4.337553978,1
40,1029,1.222904563,3.971713066,1
40,1045,1.395830274,4.324206829,1
40,1061,1.970313549,9.35650444,1
40,1077,0.8430731297,5.605431557,1
40,1093,0.711271286,5.275476456,1
40,1109,1.180250525,4.966314793,1
40,1125,1.635694861,3.434995174,1
40,1141,1.636155605,1.469258666,1
40,1157,0.6779460907,0.01236355305,1
40,1173,0.9371520877,0.5471951365,1
40,1189,0.9556838274,0.2945582867,1
40,1205,1.062584281,-2.773398876,1
40,1221,-1.254734159,-10.50616264,1
40,1237,1.829809904,-3.418181896,1
40,1253,2.428340435,-3.220729589,1
40,1269,2.346686125,-3.767947435,1
40,1285,0.6875457764,-3.332317829,1
56,21,-0.3625957966,-0.8989371061,1
56,37,0.008388355374,0.3232940733,1
56,53,0.135475859,0.8414441347,1
56,69,0.05707901716,0.05063158274,1
56,85,0.06215384603,-0.9123568535,1
56,101,0.3612223566,-1.04634285,1
56,117,-0.1395519525,-1.852803707,1
56,133,0.01490560174,-2.338035345,1
56,149,-0.5539906025,-2.216086864,1
56,165,-1.330699801,-2.54328084,1
56,181,-1.088220596,-3.372298717,1
56,197,-1.643760681,4.649065971,1
56,213,0.0504155159,-3.637245655,1
56,229,1.216054678,-4.418533802,1
56,245,-0.7905112505,-11.93843651,1
56,261,1.613502502,-1.586006403,1
56,277,1.197022319,-2.422038078,1
56,293,1.005246401,-2.794340849,1
56,309,1.424125791,-2.165501595,1
56,325,1.963412285,-2.366338015,1
56,341,3.062983751,-3.998275518,1
56,357,4.560626984,-3.293113708,1
56,373,0.0178501606,-0.01678872108,1
56,389,-3.751135111,4.80789423,1
56,405,2.367452145,-2.179845572,1
56,421,0.9411613345,-0.9628767967,1
56,437,0.4279096127,-0.576628685,1
56,453,-0.3811528087,-0.4017268419,1
56,469,-1.077525973,0.4012627006,1
56,485,-1.800327301,1.404339552,1
56,501,-1.850015402,1.023472548,1
56,517,-2.643145323,0.4200624228,1
56,533,-2.905560017,-1.044287682,1
56,549,-1.3574301,0.9299943447,1
56,565,-1.10269773,1.920546293,1
56,581,-1.591781259,2.266343832,1
56,597,-2.548435926,2.982999325,1
56,613,-3.83690834,5.26682663,1
56,629,-4.694484711,4.213973045,1
56,645,-4.605526447,3.499712467,1
56,661,-3.843154907,3.43189764,1
56,677,-3.390185833,3.842298508,1
56,693,-2.825817347,3.26314497,1
56,709,-2.287307739,2.738750696,1
56,725,-3.586705685,5.161099434,1
56,741,-0.798763752,-0.2720193863,1
56,757,-2.785965443,5.208541393,1
56,773,4.456459045,-1.381890774,1
56,789,-3.328380585,2.121792316,1
56,805,0.249612689,2.12708807,1
56,821,2.38290453,7.28752327,1
56,837,-5.597347736,11.40171623,1
56,853,8.434323311,5.772053242,1
56,869,2.974333525,6.061860085,1
56,885,-3.516468048,-2.932775021,1
56,901,-4.521994591,9.970225334,1
56,917,-4.396398067,9.789414406,1
56,933,0.4556400776,4.860772133,1
56,949,3.8910954,1.213410378,1
56,965,8.388252258,-1.244897366,1
56,981,1.603726506,4.53246069,1
56,997,1.480093479,3.865358353,1
56,1013,1.587155819,-4.956652164,1
56,1029,1.447698593,3.771087646,1
56,1045,1.402740479,4.59500885,1
56,1061,1.338883638,6.870815277,1
56,1077,1.04453218,6.408151627,1
56,1093,0.7327357531,5.24089241,1
56,1109,1.341061831,4.723017216,1
56,1125,1.557847261,4.107180595,1
56,1141,1.5954175,2.580331326,1
