PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 9, filenames: A:[9]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-4.40446949,5.1506567,1
47,65,-5.169987679,-17.42429543,1
47,97,-2.89906168,-19.30101585,1
47,129,-3.702456474,-20.15466881,1
47,161,-3.465096951,-15.98683929,1
47,193,-1.830362439,-10.15046883,1
47,225,-2.834737539,-9.535720825,1
47,257,-6.586514473,-9.067195892,1
47,289,-0.3901348114,-11.01137829,1
47,321,0.7442755699,-10.62454605,1
47,353,-0.5048115253,-7.799192429,1
47,385,-1.7251122,-7.677419662,1
47,417,-2.157708645,-12.33758163,1
47,449,-3.121212482,-14.82207775,1
47,481,-15.4869833,-17.68484879,1
47,513,-4.355548859,-5.475343704,1
47,545,-4.857988358,-4.741954803,1
47,577,-18.02402115,-7.770404816,1
47,609,-5.593868732,-2.445991039,1
47,641,-3.013942957,-1.105259895,1
47,673,-4.209980965,-4.568292618,1
47,705,-7.535154343,-9.471487045,1
47,737,-7.277388573,-8.077408791,1
47,769,-5.37496233,-4.935369492,1
47,801,12.76803017,-2.032057762,1
47,833,-7.120986462,-0.2587995529,1
47,865,0.1997108459,0.457555294,1
47,897,-6.898252964,-6.224750042,1
47,929,-11.96197605,-8.23783493,1
47,961,-6.199930191,-6.405264378,1
47,993,-8.999723434,-7.508248329,1
47,1025,-10.25461292,-7.194541931,1
47,1057,-14.3237114,12.4743309,1
47,1089,-10.24246979,-5.287740707,1
47,1121,-16.00568199,-22.47450256,1
47,1153,-7.404433727,-6.762539387,1
47,1185,-5.296185493,-4.22764492,1
47,1217,-5.354979515,-3.899465561,1
47,1249,-6.015482903,-5.407593727,1
47,1281,-6.506841183,-7.331033707,1
47,1313,-6.460934639,-6.749526978,1
47,1345,-6.978017807,-6.460391045,1
47,1377,-8.128710747,-5.04213047,1
47,1409,-8.217151642,-5.584397316,1
47,1441,-9.807748795,-7.557032585,1
47,1473,-10.88531494,-9.671635628,1
47,1505,-6.760647297,-7.597789288,1
47,1537,-3.468869686,-4.830617428,1
47,1569,-4.406873703,-3.900230885,1
47,1601,-6.080310822,-3.470579624,1
47,1633,-8.821837425,-2.998230934,1
47,1665,7.564673424,-11.93155479,1
47,1697,-9.250102997,-1.169068336,1
47,1729,-7.988985062,-6.655216217,1
47,1761,-2.647854805,-8.017459869,1
47,1793,-6.228350639,-8.817650795,1
47,1825,-7.360887527,-0.7063426971,1
47,1857,-22.92131615,-9.742925644,1
47,1889,-3.30237484,-0.5089447498,1
47,1921,-1.024091244,0.3479191363,1
47,1953,0.5014853477,-0.819237709,1
47,1985,0.6518222094,-0.04024034739,1
47,2017,0.05295944214,0.2677130699,1
79,33,15.19193077,-0.170625329,1
79,65,-2.326313972,-11.43140984,1
79,97,-5.588304996,-11.70247078,1
79,129,-7.86273098,-17.05130959,1
79,161,-15.52740479,-4.722198963,1
79,193,-4.677771091,-13.3203125,1
79,225,17.20029831,-11.12056541,1
79,257,-3.093350172,-8.624871254,1
79,289,-2.936429501,-8.123495102,1
79,321,-0.9079136848,0.2214164734,1
79,353,-3.693539619,-10.50096226,1
79,385,-3.444892406,-12.36984444,1
79,417,-3.979836702,-13.07127285,1
79,449,-4.168519974,-13.84594727,1
79,481,-19.92218208,-18.29436874,1
79,513,-3.240846157,-7.872964859,1
79,545,-0.0428185463,0.1306877136,1
79,577,-5.447694302,-6.84703064,1
79,609,-5.563004971,-6.131568909,1
79,641,-5.316977501,-4.126785278,1
79,673,-6.063537598,-6.178013325,1
79,705,-7.312126637,-9.650323868,1
79,737,-7.413440704,-9.091822624,1
79,769,-7.12511301,-7.258588314,1
