PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 39, filenames: A:[39]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi & B:[40]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-20.18268394,12.6496582,1
47,65,-0.861617744,-3.710381269,1
47,97,2.204935074,-5.810330391,1
47,129,3.343153954,-7.49200058,1
47,161,23.05748749,-0.3186545372,1
47,193,3.810302734,-7.283952236,1
47,225,2.663290024,-4.750676632,1
47,257,3.289453268,-2.700793266,1
47,289,0.9932001829,-1.47210598,1
47,321,1.163100839,-4.088739395,1
47,353,0.1593513489,-7.745990753,1
47,385,-2.110927582,-7.366189003,1
47,417,-2.449458122,-7.902572632,1
47,449,0.1450417042,-6.44731617,1
47,481,0.4505562782,-7.585243225,1
47,513,-0.7943742275,-7.10018158,1
47,545,-14.60589981,-25.44165421,1
47,577,-0.1730680466,-9.893652916,1
47,609,6.703079224,7.100349426,1
47,641,12.78723907,3.534005165,1
47,673,-3.496287584,-7.546544552,1
47,705,-20.00585175,2.586069107,1
47,737,-2.257216692,-6.901184082,1
47,769,-1.06000042,-7.14572525,1
47,801,-13.32448483,-7.661149979,1
47,833,-13.38141346,-5.337841988,1
47,865,0.4560644627,0.3611655235,1
47,897,-1.676906586,-0.8211474419,1
47,929,-2.757832766,-1.354906321,1
47,961,-21.23052216,-5.257590294,1
47,993,-0.3560204506,0.2798056602,1
47,1025,-0.8166791201,-0.8410096169,1
47,1057,-3.801390409,-3.96178484,1
47,1089,-6.077966213,-7.308555603,1
47,1121,-5.716737747,-10.35523033,1
47,1153,-6.673829079,-6.535165787,1
47,1185,-10.00623131,9.267546654,1
47,1217,-2.15849185,0.4355988503,1
47,1249,-1.065035939,-0.5620839596,1
47,1281,-1.086364269,-3.259572506,1
47,1313,-2.015144348,-3.552710533,1
47,1345,-2.04627347,-2.824536324,1
47,1377,-2.433632374,-1.97367835,1
47,1409,-2.33631444,-0.08031368256,1
47,1441,-1.593748331,0.769712925,1
47,1473,-1.139463305,-0.1124405861,1
47,1505,-0.9653142691,-0.5024837255,1
47,1537,-1.064074039,-2.484559059,1
47,1569,1.655719757,-5.066657066,1
47,1601,1.710024118,-6.20796299,1
47,1633,-1.039908409,-8.43429184,1
47,1665,0.9431765079,0.2912032604,1
47,1697,1.282651901,0.1761302948,1
47,1729,-0.3718099594,0.09532403946,1
47,1761,-0.8430178165,-0.4943833947,1
47,1793,-0.3590532541,-0.2506533861,1
47,1825,-0.8674479723,0.4945451617,1
47,1857,-0.7690765858,0.50151968,1
47,1889,-0.6609315872,0.2127295732,1
47,1921,-0.5782333016,-0.003889083862,1
47,1953,0.1238898337,-0.572722435,1
47,1985,0.5384990573,-0.440587461,1
47,2017,-0.3192218542,0.06155538559,1
79,33,-3.905016899,10.74617577,1
79,65,-0.5673494935,-0.1305957586,1
79,97,1.09489274,-5.476616859,1
79,129,1.342140198,-5.900403976,1
79,161,1.008619547,-2.376804352,1
79,193,1.812194467,-8.174104691,1
79,225,0.2085310221,-4.837118149,1
79,257,-0.4704540968,-3.317680836,1
79,289,-1.850057602,-4.809797287,1
79,321,-2.498992443,-5.399083614,1
79,353,-1.560430765,-6.688471317,1
79,385,-1.15530014,-6.275338173,1
79,417,-0.8570747375,-6.766851425,1
79,449,0.03192257881,-7.624298096,1
79,481,-0.08954358101,-7.690773964,1
79,513,-0.6684560776,-7.469217777,1
79,545,-1.382505417,-7.531530857,1
79,577,-2.275425196,-9.130976677,1
79,609,4.69482708,10.53743839,1
79,641,15.53031826,1.439624786,1
79,673,-1.965660334,-4.275408745,1
79,705,11.08459949,-15.61021519,1
79,737,-1.103247643,-8.700031281,1
79,769,0.4436175823,-7.136572838,1
79,801,0.4085485935,-0.06498479843,1
79,833,0.1719102859,-0.1614899635,1
79,865,-0.473092556,-0.6184034348,1
79,897,-1.69446063,-1.309296131,1
79,929,-2.982547522,-1.303051949,1
79,961,-2.719591141,-1.412999153,1
79,993,-1.484195232,-3.251550674,1
79,1025,-2.031814575,-4.070218086,1
79,1057,-3.399316549,-6.104477882,1
79,1089,-4.609697342,-6.196814537,1
79,1121,-5.580089092,-6.324542999,1
79,1153,-4.836881638,-4.465408802,1
79,1185,-2.911514521,-1.463374853,1
79,1217,-1.267053843,-0.4417539835,1
79,1249,-0.8623123765,-0.73139292,1
79,1281,-0.841362834,-2.303336382,1
79,1313,-3.624849319,-2.397500038,1
79,1345,-4.193648338,-2.123780966,1
79,1377,-4.214353085,-2.124787569,1
79,1409,-3.102793217,-1.077257156,1
79,1441,-1.516044736,-0.5520296693,1
79,1473,-0.7345567346,-0.1456928849,1
79,1505,-0.4294176698,-0.4431318045,1
79,1537,-0.6952872872,-0.8698102236,1
79,1569,-0.3056578934,-0.8111028671,1
79,1601,-0.006010442972,-6.295146465,1
79,1633,-8.059955597,-19.01201057,1
79,1665,-2.090415001,5.289602757,1
79,1697,-1.338053942,-1.114927292,1
