PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 13, filenames: A:[13]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi & B:[14]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-5.696922302,2.636389732,1
47,65,-4.327639103,-5.720359325,1
47,97,-5.228363991,-9.59728241,1
47,129,-5.665705681,-9.92353344,1
47,161,-12.93337059,-10.91177845,1
47,193,-11.65370274,-13.10742569,1
47,225,-1.337478399,-9.851629257,1
47,257,-1.124187827,-10.95384407,1
47,289,3.80367589,1.419713974,1
47,321,-4.12501049,-9.153827667,1
47,353,-2.937669754,-7.27352047,1
47,385,-1.315471172,-9.643155098,1
47,417,0.9472174644,-7.116675377,1
47,449,0.3613796234,-6.009353638,1
47,481,-6.699871063,4.305953979,1
47,513,-4.877928734,-7.19007206,1
47,545,-5.334577084,-7.93129921,1
47,577,-3.624219418,-8.865467072,1
47,609,-3.881183624,-5.654432774,1
47,641,-4.704949379,-4.241091728,1
47,673,-5.402890205,-4.98829937,1
47,705,-7.434344769,-5.595503807,1
47,737,-27.36189079,-5.32847929,1
47,769,-5.989805222,-9.051970482,1
47,801,-6.805961609,-6.22705555,1
47,833,-8.26404953,-9.330504417,1
47,865,-11.95574951,-3.799953938,1
47,897,-10.39303112,-3.53065896,1
47,929,-6.992740631,-5.034458637,1
47,961,-4.665915489,-7.441968441,1
47,993,-3.02106142,-5.48992157,1
47,1025,-3.201593399,-5.198192596,1
47,1057,-2.969749928,-5.594532967,1
47,1089,-2.565677404,-5.186801434,1
47,1121,-4.604410172,-6.773274422,1
47,1153,-4.716896057,-7.540845871,1
47,1185,-5.748760223,-6.493610382,1
47,1217,-4.614742279,-6.32567215,1
47,1249,-7.0154953,-4.000716209,1
47,1281,-8.460612297,-0.6809511185,1
47,1313,-23.83975601,-0.5520339012,1
47,1345,-17.10381889,-3.266551018,1
47,1377,-9.111489296,-4.923401356,1
47,1409,-0.6956062317,12.56999207,1
47,1441,-5.812066078,-4.519402504,1
47,1473,-25.84644318,-3.442487717,1
47,1505,-11.55641365,-16.10129929,1
47,1537,-11.49431992,-13.897089,1
47,1569,-22.7466507,-6.867384911,1
47,1601,-0.7489449978,0.01986354589,1
47,1633,-0.4714375734,0.4295008183,1
47,1665,-0.6116499901,-0.7353428006,1
47,1697,-0.3358273506,-0.1126063168,1
47,1729,-1.180172682,0.3939580321,1
47,1761,-1.408640862,0.5947300196,1
47,1793,-0.9974796772,0.01516795158,1
47,1825,-0.9525692463,0.298366785,1
47,1857,-0.3798544407,0.1500874758,1
47,1889,-0.2587726414,-0.2254025042,1
47,1921,-0.1791318357,-0.2884347737,1
47,1953,-0.6159971952,-0.6589488387,1
47,1985,-0.4543806911,-0.4241838157,1
47,2017,-0.1782827377,0.08120632172,1
79,33,-10.00784683,11.60871315,1
79,65,-2.200656176,-8.387958527,1
79,97,-4.050126553,-12.97302341,1
79,129,-3.184318066,-12.70385838,1
79,161,-3.363967419,-10.43546391,1
79,193,-1.644908905,-8.54592514,1
79,225,-1.508089781,-9.568704605,1
79,257,5.422920704,-4.625210762,1
79,289,7.398976803,-26.3334198,1
79,321,-5.947290897,-11.57361603,1
79,353,-4.596842289,-8.08542347,1
79,385,-4.566587448,-8.849155426,1
79,417,-4.050960064,-9.770151138,1
79,449,-3.944550037,-10.56036091,1
79,481,-4.879606247,-8.805681229,1
