PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 3, filenames: A:[3]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi & B:[4]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-26.0020771,92.30584717,1
47,65,-25.41869354,4.978088379,1
47,97,-27.62149811,-28.48035431,1
47,129,-34.85250092,-28.78369713,1
47,161,-34.57805634,-37.38529968,1
47,193,-38.41970825,-10.38300323,1
47,225,-15.45899582,-11.73638153,1
47,257,-9.711553574,-19.0966568,1
47,289,-11.93480682,-30.98310089,1
47,321,-23.25803375,-20.23765755,1
47,353,-22.62146759,-18.4709301,1
47,385,-29.39431953,-19.45724678,1
47,417,-29.76146698,-18.07575035,1
47,449,-20.89976311,-14.85761261,1
47,481,-35.7958107,-20.86676788,1
47,513,-30.89858437,-20.21537971,1
47,545,-28.29348373,-10.58535767,1
47,577,-15.67246246,-9.766944885,1
47,609,-40.96823883,-20.58718491,1
47,641,-11.46336937,-21.05207062,1
47,673,-12.10720253,-17.71899414,1
47,705,-9.737033844,-13.06343555,1
47,737,-4.346817017,-0.03936672211,1
47,769,-23.21099854,-12.01986504,1
47,801,-25.06422806,-10.70736217,1
47,833,-28.48482132,-12.55482101,1
47,865,-26.41153145,-10.57740784,1
47,897,-25.15260696,-10.04130936,1
47,929,-20.73684692,-11.63593864,1
47,961,-20.84141922,-10.9153862,1
47,993,-33.09729767,-23.38306427,1
47,1025,-21.93255806,-1.548051834,1
47,1057,-20.84905243,-4.514558792,1
47,1089,-13.18769264,-28.47865295,1
47,1121,-17.14525414,-10.16397953,1
47,1153,-15.81195641,-4.769972801,1
47,1185,-0.7305173874,-2.742484093,1
47,1217,-10.21492672,-8.340843201,1
47,1249,2.07806015,-10.38925266,1
47,1281,-6.630386829,-5.415092468,1
47,1313,-12.41803932,-21.19937706,1
47,1345,0.6649122238,-8.973639488,1
47,1377,-1.078011751,-9.617394447,1
47,1409,-2.303952456,-7.358371735,1
47,1441,-3.527747393,-4.983649254,1
47,1473,-5.722702026,-28.31832123,1
47,1505,-4.856009483,-7.657960892,1
47,1537,-4.705840588,-11.96301365,1
47,1569,-1.315710068,-16.76291656,1
47,1601,21.51922989,-23.6086998,1
47,1633,1.627529144,-10.33568764,1
47,1665,-1.667551994,-7.147806168,1
47,1697,-1.367606044,-7.515645981,1
47,1729,-1.330002069,-7.927688599,1
47,1761,-0.6597799063,-11.59483337,1
47,1793,-0.192453742,-29.14051056,1
47,1825,17.41393852,-11.93804359,1
47,1857,-0.6516526937,-9.882349014,1
47,1889,2.196616173,-12.19065285,1
47,1921,0.0327282548,-2.363901138,1
47,1953,16.63769341,-23.1275177,1
47,1985,10.32505417,-1.117447972,1
47,2017,-7.888672829,0.6878051758,1
79,33,-20.81711388,37.60133362,1
79,65,-34.41348267,-5.256875038,1
79,97,-10.31455231,-27.55557632,1
79,129,-14.39476776,-33.44584274,1
79,161,-15.7233696,-31.3755722,1
79,193,-18.91191101,-12.06726456,1
79,225,-14.68095589,-17.31181145,1
79,257,-26.99962425,-34.97129059,1
79,289,-30.68918419,-42.20238495,1
79,321,-17.9229908,-15.39538574,1
79,353,-28.99999237,-20.74628258,1
79,385,-29.20778847,-20.14301491,1
79,417,-29.2202816,-18.71618843,1
79,449,-19.32915306,-16.09841156,1
79,481,-18.524786,-12.88699341,1
79,513,-28.41602516,-19.76851463,1
79,545,-26.28371239,-14.77841663,1
79,577,-27.09402847,-12.54136658,1
79,609,-34.80987549,-26.66023254,1
79,641,-24.94775391,-13.43435192,1
79,673,-24.20059204,-12.51458549,1
79,705,-23.67375755,-4.573407173,1
79,737,-25.53272629,-4.429227829,1
79,769,-24.62321472,-11.92566967,1
79,801,-24.86084938,-11.13168907,1
79,833,-27.37717628,-11.04796982,1
79,865,-23.66316032,-10.23301029,1
79,897,-21.88962746,-9.078187943,1
79,929,-22.19872475,-13.30290222,1
79,961,-21.56966972,-9.486689568,1
79,993,-20.94303894,-8.201491356,1
79,1025,-20.64708138,-8.916110039,1
79,1057,-20.5751152,-9.345985413,1
79,1089,-15.92655563,-9.138794899,1
79,1121,-11.40178871,-12.15383339,1
79,1153,-14.67728901,-11.05312347,1
79,1185,-12.43606186,-9.702041626,1
79,1217,-10.46293354,-8.055503845,1
79,1249,-9.055695534,-6.621723175,1
79,1281,-7.573275566,-8.32583046,1
79,1313,-6.172636986,10.81657314,1
79,1345,-3.620064259,-28.4726181,1
79,1377,0.8515896797,-27.30689812,1
79,1409,-3.964711666,-3.337254524,1
79,1441,-2.925897837,-2.030765533,1
79,1473,-0.1305539608,-6.278474808,1
79,1505,-1.694324493,-7.503216743,1
79,1537,-2.790643692,-10.33066177,1
79,1569,0.8914440274,-11.24288368,1
79,1601,-0.1011931896,-10.80995178,1
79,1633,-1.239780784,-8.826658249,1
79,1665,-1.84037292,-8.030990601,1
79,1697,-0.06177696586,-9.987488747,1
79,1729,-0.1056241989,-9.271970749,1
