 ,Area,X,Y,Perim.,Major,Minor,Angle
1,1232.161,238.325,27.518,139.718,42.193,37.182,163.820
2,843.523,282.888,24.464,115.157,38.008,28.257,12.789
3,818.497,410.454,37.942,116.457,39.550,26.350,151.048
4,1485.365,324.930,41.013,157.587,56.840,33.273,4.819
5,1089.366,448.722,43.745,134.864,48.107,28.832,148.120
6,1298.407,396.605,61.184,163.862,57.591,28.705,126.202
7,753.724,188.513,52.312,113.441,36.322,26.421,28.675
8,930.378,281.478,52.345,119.422,36.624,32.345,176.761
9,1232.161,364.289,61.620,142.855,48.317,32.470,109.619
10,1369.068,215.057,65.637,151.851,48.694,35.798,61.902
11,1408.815,251.827,65.660,149.719,47.688,37.614,108.535
12,1442.674,435.126,73.369,149.130,46.673,39.356,128.854
13,1463.284,299.452,81.773,155.455,45.686,40.780,132.647
14,1332.265,335.010,77.935,145.282,46.307,36.631,118.837
15,706.616,495.985,74.447,109.299,37.999,23.677,131.326
16,1302.823,474.769,87.680,162.857,62.816,26.407,113.918
17,1235.106,172.574,82.310,136.164,41.207,38.163,44.693
18,718.393,393.713,92.343,107.167,36.119,25.324,127.411
19,1606.079,238.091,108.701,158.125,55.804,36.645,99.028
20,1133.530,202.849,104.505,137.291,42.051,34.321,108.318
21,1636.993,369.317,109.156,164.745,53.534,38.934,138.452
22,2217.007,278.383,115.900,195.702,54.518,51.777,149.407
23,1505.975,140.693,107.737,159.597,48.152,39.821,127.258
24,1202.719,508.093,112.657,146.409,50.446,30.356,115.266
25,1118.808,424.798,112.766,140.306,50.455,28.233,120.019
26,1467.700,458.292,114.980,155.871,53.766,34.757,125.645
27,1332.265,328.022,118.924,141.139,42.827,39.608,2.594
28,1651.715,174.551,129.342,159.303,49.201,42.744,73.637
29,741.947,407.792,130.577,114.741,39.489,23.922,136.324
30,1352.875,125.337,143.216,144.449,46.303,37.202,80.516
31,1149.723,93.129,141.583,135.281,45.805,31.959,62.766
32,1098.199,217.346,141.090,130.306,43.398,32.220,162.133
33,1288.102,363.988,147.585,144.987,46.142,35.544,114.236
34,828.802,538.678,150.460,130.722,48.851,21.602,110.027
35,1329.321,459.096,161.668,168.299,65.929,25.672,113.212
36,1077.589,518.921,157.904,153.861,60.299,22.754,119.759
37,1729.737,400.889,164.154,172.614,56.458,39.009,114.385
38,1785.677,288.713,158.436,162.684,49.036,46.366,30.084
39,1024.593,484.593,162.618,142.855,56.405,23.128,115.173
40,2025.632,331.016,165.530,181.681,57.035,45.220,101.775
41,843.523,434.308,160.545,124.275,46.534,23.080,110.691
42,1553.083,251.006,168.967,162.146,57.165,34.592,102.965
43,1578.109,155.410,174.774,160.725,58.060,34.608,105.762
44,1076.117,65.586,170.566,133.859,46.292,29.598,81.624
45,2476.100,201.090,175.915,208.841,65.686,47.996,160.575
46,900.935,560.764,181.622,138.418,52.204,21.974,100.731
47,1327.849,94.251,184.686,149.302,51.592,32.770,72.173
48,1099.671,124.059,187.529,131.555,45.316,30.897,83.382
