 ,Area,X,Y,Perim.,Major,Minor,Angle
1,818.497,266.974,21.584,111.309,37.121,28.074,18.092
2,1118.808,223.865,29.919,151.018,44.563,31.966,167.051
3,786.110,391.315,25.954,114.446,38.720,25.850,139.541
4,974.541,427.966,29.015,129.422,45.638,27.188,154.459
5,1498.615,310.221,36.139,160.725,54.624,34.931,1.934
6,541.739,373.488,37.049,95.328,35.371,19.501,137.636
7,1207.135,354.968,51.721,144.033,49.412,31.105,132.727
8,953.931,271.607,49.877,121.015,38.314,31.701,161.532
9,1339.626,419.990,58.675,152.734,50.169,33.998,134.707
10,1439.730,244.190,64.939,153.983,50.124,36.571,128.934
11,733.114,479.493,57.376,110.304,38.557,24.209,137.599
12,1397.038,206.290,67.335,151.140,46.084,38.598,72.200
13,1285.158,458.352,70.366,163.446,63.013,25.968,119.620
14,756.668,175.526,57.930,113.563,36.265,26.566,21.774
15,534.378,393.063,62.154,101.603,35.504,19.164,133.026
16,1326.377,330.396,72.432,147.586,47.948,35.221,121.757
17,1451.507,295.902,77.997,153.739,48.806,37.867,141.766
18,758.140,385.242,81.943,112.903,39.432,24.480,131.104
19,1279.269,165.057,88.990,140.723,41.771,38.994,21.350
20,1186.526,495.036,93.924,142.561,50.538,29.893,127.405
21,1519.224,365.958,100.492,165.872,54.900,35.234,132.371
22,1491.254,448.654,102.293,156.166,55.719,34.077,127.643
23,1083.478,417.083,100.614,149.597,51.970,26.545,119.216
24,1648.770,238.561,107.905,166.705,57.241,36.674,111.710
25,2214.063,279.133,113.392,196.413,56.081,50.267,119.469
26,1154.139,201.575,105.460,136.580,43.449,33.821,132.850
27,1330.793,327.858,114.459,138.418,42.536,39.835,6.234
28,1567.804,136.106,117.769,166.289,50.568,39.476,149.603
29,640.371,484.111,122.967,123.026,46.913,17.380,118.595
30,812.608,404.495,122.792,116.162,39.573,26.146,132.810
31,684.534,99.480,123.787,115.695,33.803,25.784,40.902
32,787.582,531.838,129.124,133.027,50.739,19.764,119.080
33,1715.016,177.126,132.971,162.024,47.314,46.152,18.959
34,1082.006,512.238,136.705,146.165,56.639,24.323,125.344
35,1277.797,364.286,139.593,142.977,46.283,35.152,110.744
36,1372.013,455.697,150.451,172.441,67.250,25.976,120.337
37,1171.805,222.590,142.006,135.575,44.718,33.364,160.375
38,984.846,480.493,148.864,141.017,56.177,22.321,121.796
39,880.326,431.483,152.290,128.295,48.274,23.219,117.083
40,1729.737,398.919,160.034,171.142,55.710,39.532,106.330
41,1423.537,125.678,154.151,152.440,45.062,40.222,57.513
42,1768.012,295.166,157.437,165.283,50.630,44.462,103.283
43,1910.807,335.843,162.079,177.538,59.099,41.167,107.429
44,1170.333,91.440,157.752,133.565,44.680,33.351,75.864
45,789.054,556.408,162.470,128.123,50.681,19.823,106.569
46,1556.027,260.340,168.693,163.273,60.607,32.689,109.188
47,368.029,506.202,160.603,82.017,28.686,16.335,111.949
48,1601.663,164.469,177.597,164.156,58.191,35.045,119.398
49,2512.903,211.141,177.702,208.719,66.917,47.813,161.149
50,429.858,540.392,169.531,92.018,36.088,15.166,113.346
51,560.876,525.877,178.011,101.724,34.619,20.628,122.461
52,1208.608,69.255,187.189,140.845,50.390,30.539,111.224
53,500.520,371.169,176.247,86.992,27.337,23.312,123.144
54,1230.689,432.118,189.489,141.900,47.504,32.986,152.662
55,1130.585,132.778,192.376,135.281,39.196,36.726,68.940
56,1080.533,496.529,187.760,128.712,41.234,33.365,158.329
57,1380.845,101.768,203.067,161.263,57.682,30.480,94.678
58,839.106,467.637,194.451,131.311,48.880,21.857,128.619
59,1664.964,308.102,203.616,166.705,54.687,38.765,136.021
60,422.497,559.498,197.429,88.708,32.297,16.656,113.857
61,950.987,47.820,207.996,122.437,43.040,28.133,96.624
62,2069.796,355.740,210.806,186.240,58.186,45.291,141.386
63,665.397,390.516,202.362,101.846,34.099,24.846,99.104
64,805.248,547.143,211.926,126.579,48.330,21.214,112.811
65,456.356,522.611,204.290,85.865,26.130,22.237,96.813
66,1479.477,423.370,219.619,161.435,57.189,32.938,136.676
67,1319.016,234.961,214.204,143.688,46.697,35.964,26.633
68,1726.793,276.454,223.266,165.283,58.611,37.512,117.523
69,1426.481,160.668,225.398,155.404,52.443,34.633,90.102
70,1906.391,196.139,232.690,180.259,60.079,40.402,98.622
71,903.879,460.867,222.770,117.289,39.319,29.269,120.991
72,1233.634,500.268,225.617,137.585,43.152,36.399,118.614
73,886.214,129.449,229.035,112.852,37.268,30.277,76.840
74,1352.875,78.163,233.061,152.612,44.943,38.327,158.792
75,943.627,532.581,235.951,124.742,42.150,28.505,105.028
76,934.794,573.250,241.379,132.021,48.633,24.473,107.571
77,1519.224,398.253,244.833,154.866,50.115,38.598,122.687
78,1848.978,45.885,257.311,174.279,55.130,42.702,108.318
79,2000.606,323.148,261.110,212.323,81.720,31.170,125.132
80,1673.796,354.424,253.077,163.029,55.402,38.467,130.604
81,1629.633,244.262,250.645,158.420,55.434,37.430,177.823
82,827.329,492.856,256.097,145.038,56.592,18.614,122.548
83,301.784,555.609,248.121,77.997,23.532,16.329,119.662
84,1894.614,439.467,262.916,180.970,53.381,45.190,49.810
85,803.776,106.547,257.301,107.583,33.795,30.283,134.025
86,996.623,520.463,268.051,127.290,46.615,27.222,101.372
87,1111.448,478.796,270.162,144.743,55.333,25.575,124.268
88,1548.666,153.487,267.509,171.731,52.578,37.503,141.857
89,905.352,590.862,272.664,130.722,47.862,24.085,79.165
90,1289.574,85.808,278.590,158.004,46.531,35.287,127.875
91,2259.699,295.315,282.397,193.032,65.420,43.979,134.546
92,1096.727,549.111,275.415,136.286,44.819,31.156,67.543
93,2013.855,199.195,283.848,173.690,55.782,45.966,126.831
94,2352.442,385.316,289.738,194.575,60.984,49.115,7.168
95,1232.161,128.868,289.154,141.017,45.000,34.863,114.758
96,2225.840,249.076,292.369,195.702,63.230,44.821,148.117
97,686.006,571.025,290.863,119.594,41.706,20.943,93.505
98,1124.697,28.805,299.495,139.423,48.036,29.811,90.690
99,986.318,470.689,298.352,127.757,43.774,28.689,127.328
100,1046.675,62.299,303.002,132.732,49.220,27.076,121.405
101,1840.146,436.309,308.153,177.173,58.582,39.995,149.799
102,1710.599,502.321,318.741,188.595,68.449,31.819,84.201
103,853.828,172.217,307.346,114.446,39.206,27.729,140.781
104,1135.002,528.507,318.567,139.251,52.291,27.636,78.979
105,684.534,98.431,308.552,102.019,32.081,27.168,27.589
106,1330.793,556.515,323.918,157.293,55.862,30.332,91.904
107,2202.286,329.802,324.054,197.296,55.682,50.358,84.887
108,612.400,584.779,324.012,114.985,45.469,17.149,91.807
109,727.226,52.116,327.041,106.872,38.589,23.995,130.252
110,2141.929,218.745,330.949,192.981,63.541,42.920,165.220
111,2409.855,279.891,336.081,197.296,61.252,50.094,159.037
112,914.184,389.010,336.427,136.235,44.928,25.908,86.714
113,1688.518,421.412,345.963,174.868,61.207,35.125,125.255
114,1339.626,172.075,342.025,153.739,50.751,33.608,120.772
115,1082.006,24.244,343.384,143.444,45.728,30.127,91.802
116,1414.704,89.534,344.617,161.313,51.335,35.088,153.152
117,965.708,474.879,342.018,131.727,40.915,30.052,76.243
118,619.761,450.623,341.808,101.136,33.637,23.460,95.769
119,1114.392,569.906,366.554,167.710,64.799,21.897,81.480
120,1373.485,530.116,363.508,167.416,55.751,31.368,75.703
121,740.475,48.770,360.568,104.446,33.132,28.456,96.992
122,431.330,588.498,361.452,94.272,38.370,14.313,78.396
123,1483.893,216.163,369.196,156.166,53.334,35.425,141.897
124,2035.937,313.475,378.890,181.853,56.244,46.089,101.946
125,840.578,483.595,372.837,125.991,43.733,24.472,77.938
126,1790.094,263.937,376.836,168.004,57.949,39.331,143.640
127,1692.934,73.466,387.192,173.741,60.778,35.466,94.269
128,1433.841,391.524,375.222,153.983,53.585,34.070,136.368
129,778.750,504.522,377.347,114.690,41.775,23.735,80.029
130,581.486,549.437,375.875,100.425,38.159,19.402,73.667
131,1139.418,457.728,385.119,148.125,41.692,34.797,97.453
132,1332.265,109.924,381.752,149.424,48.990,34.625,131.748
133,990.734,187.045,381.584,126.996,42.416,29.740,153.588
134,1242.466,39.382,392.439,148.713,54.014,29.288,120.940
135,766.973,427.090,383.793,106.111,32.817,29.757,67.763
136,803.776,146.053,381.990,111.259,38.213,26.781,171.315
137,1642.882,150.721,414.385,168.126,46.984,44.521,170.453
138,1984.413,243.543,412.999,173.568,55.102,45.854,150.375
139,2473.156,357.742,383.876,231.441,76.760,41.023,115.216
140,1787.149,195.611,415.796,176.411,52.151,43.632,150.362
141,594.735,534.090,412.711,121.259,48.821,15.511,75.435
142,694.839,516.862,411.934,113.980,41.120,21.515,84.790
143,515.241,549.927,412.157,101.846,41.313,15.879,71.261
144,1364.652,291.883,417.953,143.149,47.152,36.850,128.547
145,708.088,491.671,412.160,114.985,38.290,23.546,55.151
146,824.385,410.763,412.421,116.162,36.024,29.137,138.071
147,906.824,562.764,428.392,140.723,51.695,22.335,76.636
148,1348.459,103.910,418.830,145.038,45.393,37.823,171.622
149,2028.576,454.973,424.587,211.683,52.712,48.999,87.629
150,1295.462,331.692,420.848,140.845,42.723,38.608,38.239
151,1614.912,386.924,434.388,168.837,52.899,38.869,102.830
152,884.742,423.349,440.789,118.711,39.049,28.848,61.652
153,1742.986,494.799,450.095,177.345,60.132,36.906,61.991
154,556.460,80.480,437.542,95.572,30.652,23.114,137.148
155,476.966,360.618,436.877,100.131,33.580,18.085,101.959
156,1994.718,184.773,457.896,183.447,62.843,40.414,139.479
157,1442.674,267.573,450.249,148.297,44.841,40.964,23.013
158,2162.539,129.547,453.682,188.301,58.023,47.454,172.448
159,1369.068,225.140,452.212,144.155,44.553,39.125,120.837
160,663.925,537.335,448.535,113.441,36.692,23.039,82.068
161,1978.524,303.794,464.874,179.721,61.948,40.665,55.307
162,1597.246,346.822,463.753,160.725,49.429,41.143,122.417
163,588.847,520.309,464.791,107.877,36.437,20.576,99.290
164,728.698,56.725,459.588,103.979,33.652,27.571,75.252
165,1716.488,455.750,475.963,189.133,63.245,34.556,61.199
