Time (hpf),Area,Label
4.5,606.45312,08042021000
4.585138888888889,591.5281729729729,08042021000
4.670277777777778,584.1722164948454,08042021000
4.755416666666667,591.0435431472081,08042021000
4.8405555555555555,594.3294438775511,08042021000
4.925694444444445,610.718014778325,08042021000
5.010833333333333,609.5984251207728,08042021000
5.095972222222223,619.6191788990826,08042021000
5.181111111111111,624.4771040723982,08042021000
5.26625,624.4927991071428,08042021000
5.351388888888889,627.2985107296138,08042021000
5.436527777777778,645.8519106382977,08042021000
5.5216666666666665,655.222270042194,08042021000
5.606805555555556,660.4715975609756,08042021000
5.691944444444444,669.2550080645161,08042021000
5.777083333333334,677.0386613545817,08042021000
5.862222222222222,703.1888825910933,08042021000
5.947361111111111,698.5192265625,08042021000
6.0325,715.2638470588234,08042021000
6.117638888888889,723.0316860465116,08042021000
6.2027777777777775,720.4052397003746,08042021000
6.287916666666667,740.321312267658,08042021000
6.373055555555556,740.321312267658,08042021000
6.458194444444445,745.7443079710145,08042021000
6.543333333333333,754.9861678832118,08042021000
6.628472222222222,742.8393156028369,08042021000
6.713611111111112,763.0150072463767,08042021000
6.79875,763.6817355072465,08042021000
6.8838888888888885,763.6817355072465,08042021000
6.969027777777778,784.4533690036901,08042021000
7.054166666666667,800.7929104477612,08042021000
7.139305555555556,812.0128164794007,08042021000
7.224444444444444,831.383306818182,08042021000
7.309583333333333,852.1402499999999,08042021000
7.394722222222223,865.818905511811,08042021000
7.479861111111111,888.1827831325302,08042021000
7.5649999999999995,889.0298134920636,08042021000
7.650138888888889,899.0713427419356,08042021000
7.735277777777778,903.4461532258064,08042021000
7.820416666666667,888.5613385826772,08042021000
7.905555555555556,874.6147392996108,08042021000
7.990694444444444,894.9763784860558,08042021000
8.075833333333334,886.0293686274509,08042021000
8.160972222222222,880.8812451361867,08042021000
8.246111111111112,886.0293686274509,08042021000
8.33125,860.0910456273765,08042021000
8.41638888888889,855.6940415094341,08042021000
8.501527777777778,855.0349850187266,08042021000
8.586666666666666,814.7504802867385,08042021000
8.671805555555554,799.3643741258742,08042021000
8.756944444444445,791.5113275862068,08042021000
8.842083333333333,794.3590965517241,08042021000
8.927222222222223,763.8334503311258,08042021000
