Time,ControlMean,ControlStd,MOmean,MOstd
0.26,175.99433333333334,10.1242495249991,166.14157142857144,27.51523034278155
0.52,165.14933333333335,14.183798143578384,158.45228571428575,21.64787913210824
0.78,145.75955555555558,23.561172122847985,146.0273571428571,21.382417214708852
1.04,142.60944444444445,25.300262726396568,135.7955,22.872644299468305
1.3,143.297,24.86396590338002,133.64149999999998,23.216418496861838
1.56,137.44677777777778,16.353242775790694,130.91585714285713,17.710639001366797
1.82,134.88766666666663,8.703982728230416,128.5945714285714,13.60750388947366
2.08,135.0168888888889,8.356251637672164,128.00000000000003,13.04204648709046
2.34,135.72155555555554,8.789532854621408,127.53099999999999,12.840062310707731
2.6,136.37533333333332,9.042627199363393,127.19964285714286,12.780794065467042
2.8600000000000003,137.04233333333332,9.259770131536138,127.2172857142857,12.793724222828784
3.12,137.35500000000002,9.713703722061942,127.01385714285713,12.664366448860376
3.38,138.02466666666666,10.002387381687097,127.01571428571428,12.530585634635708
3.64,138.53311111111108,10.339297154754814,126.98414285714286,12.411881208038086
3.9000000000000004,138.9201111111111,10.579132609313115,127.08757142857144,12.432989536564667
4.16,139.24155555555555,10.66577879753863,127.14714285714287,12.472062985827522
4.42,139.63644444444446,10.797502953215217,127.24564285714284,12.31650586238497
4.68,139.99633333333335,10.886088512919189,127.44242857142858,12.382562524512824
4.94,140.58388888888888,11.165928606897012,127.66192857142855,12.405496157891845
5.2,140.97311111111108,11.041315576249104,127.87685714285715,12.456360852748185
5.46,141.51322222222223,11.175203898490595,128.21407142857143,12.51158585622762
5.720000000000001,142.09577777777776,11.274193390982965,128.38664285714285,12.516630277966435
5.98,142.67144444444443,11.427940527118524,128.63328571428573,12.561149204867316
6.24,142.93166666666667,11.418110030415138,128.88342857142857,12.602980348848817
6.5,143.67066666666665,11.431423096010402,129.16349999999997,12.637567926905195
6.76,143.87244444444445,11.530292047097422,129.3989285714286,12.727645239872174
7.0200000000000005,144.66177777777776,11.634031476451387,129.65664285714286,12.727079917624149
7.28,145.20822222222222,11.687698374100465,130.0335714285714,12.947397679590651
7.54,145.8996666666667,11.656459239408855,130.30614285714287,12.85160837548105
7.800000000000001,146.4455555555556,11.623446468344454,130.61192857142856,12.91560404795182
8.06,146.89522222222223,11.654929360363441,130.91292857142858,13.041879052083855
8.32,147.562,11.74711394343309,131.21221428571428,13.056866218740304
8.58,147.94877777777776,11.905112597141501,131.64064285714284,13.196062624927954
8.84,148.63722222222225,11.837038187896857,132.00292857142855,13.501338290619751
9.1,148.92877777777778,11.877142452606442,132.34292857142856,13.541685838625881
9.36,149.69133333333335,11.863891922786372,132.80021428571428,13.676810813399086
9.620000000000001,150.34500000000003,12.122738231200993,133.0835,13.792093354786385
9.88,150.67055555555555,12.312320966424117,133.54471428571426,14.074708433562519
10.14,151.35411111111114,12.497799490260894,133.8962857142857,14.137706312394185
10.4,151.91555555555553,12.571150341698262,134.2305714285714,14.393394922246632
10.66,152.46266666666668,12.839920084555734,134.61507142857144,14.535149949908552
10.92,152.889,12.894873296521121,135.10392857142855,14.682692685434027
11.18,153.53100000000003,12.935673302065792,135.4812142857143,14.900179227966026
11.440000000000001,154.2458888888889,13.198883475038876,135.93157142857146,14.988472769404616
11.700000000000001,154.78122222222223,13.526549693742451,136.27807142857145,15.33263903043945
11.96,155.4138888888889,13.633855340001915,136.7173571428571,15.487680595544052
12.22,156.003,13.690490349143815,137.18200000000002,15.836244093850032
12.48,156.75288888888886,14.080508059366204,137.7295714285714,16.01594285487471
12.74,157.2431111111111,14.312884579554686,138.30371428571428,16.27864554486983
13.0,158.0317777777778,14.727373136651792,138.62678571428572,16.492607387980883
13.26,158.59733333333332,14.923611835685834,139.17299999999997,16.730373947660926
13.52,159.40477777777775,15.157608179669873,139.82485714285716,17.057134476547358
13.780000000000001,160.19766666666663,15.69114501876775,140.27,17.33751227005437
14.040000000000001,160.57533333333333,15.894288666757692,140.824,17.724034456877234
14.3,161.2664444444444,16.352265348406362,141.283,17.94910923774691
14.56,161.91722222222222,16.545757420477425,141.96914285714283,18.377675458700054
14.82,162.65422222222222,16.97573058338009,142.377,18.518317715170568
15.08,163.37333333333333,17.28649339159848,142.99292857142856,18.893607813469185
15.34,164.15722222222223,17.685622520867547,143.5102857142857,19.246771986968806
15.600000000000001,164.53966666666668,17.838633592415206,144.05728571428568,19.36877404641875
15.860000000000001,165.46299999999997,18.292899369245248,144.66242857142856,19.902528610758
16.12,166.0811111111111,18.590238349105242,145.26985714285715,20.31629890315775
16.38,166.81633333333335,19.14079366751082,145.88207142857144,20.680904288961443
16.64,167.477,19.463111399088614,146.35735714285713,20.78957628444444
16.900000000000002,168.01900000000003,19.618315331456078,147.16985714285713,21.162214540669087
17.16,168.6428888888889,19.889700620306783,147.8415,21.598427058303503
17.42,169.0268888888889,20.505654485447256,148.34492857142854,21.93168929219051
17.68,170.06255555555552,20.899450514366862,148.89907142857143,22.31237406995847
17.94,170.4391111111111,21.285499625824794,149.51657142857144,22.785346483820586
18.2,171.44266666666664,21.935805114013935,150.18392857142857,22.974215271735414
18.46,172.028,22.22069570368029,150.80528571428573,23.53849923735451
18.72,172.68055555555554,22.440882301485736,151.42564285714283,24.01059437476698
18.98,173.5146666666666,23.048017162244374,152.10192857142857,24.266204057331272
19.240000000000002,173.88277777777776,23.385855225269907,152.71078571428572,24.65703144042449
19.5,174.87022222222222,23.952808018072062,153.28835714285717,25.11817138080131
19.76,175.41344444444445,24.286466611451235,153.8534285714286,25.425483146734848
20.02,176.23033333333333,24.513387757169205,154.5337857142857,25.74984019694816
20.28,176.95222222222225,24.86170007942953,155.1022142857143,26.107151631520903
20.54,177.59199999999998,25.405276280506943,155.6845,26.517354847479464
20.8,178.09888888888892,25.609729784875142,156.42392857142858,26.853186680978286
21.060000000000002,178.8372222222222,26.121053189494393,157.06349999999998,27.31461933719221
21.32,179.52722222222224,26.30302724773447,157.607,27.628283592827735
21.580000000000002,180.31488888888887,26.925070797160387,158.21964285714284,27.874993436532588
21.84,181.0186666666667,27.084663971414603,158.76,28.188829444100218
22.1,181.38766666666666,27.18832258321372,159.34107142857144,28.54187911389229
22.36,182.01333333333332,27.404761553018076,159.76314285714284,28.76236451847931
22.62,182.64977777777779,27.87265596632808,160.4799285714286,29.103642566485647
22.880000000000003,183.62411111111115,28.125730044626565,161.31071428571428,29.630153170686906
23.14,183.9876666666667,28.689514116175307,161.7545714285714,29.89765145748859
23.400000000000002,184.58633333333333,29.000750882999185,162.23092857142862,30.221701194114246
23.66,185.3183333333333,29.534994697439473,162.7309285714286,30.614425951698664
23.92,186.0388888888889,29.789381629643525,163.39664285714284,30.939990531458395
24.18,186.5901111111111,30.176378990655166,164.00328571428574,31.08786029586967
24.44,187.24033333333333,30.754382520581064,164.4662857142857,31.34474259955971
24.7,188.00188888888889,31.292355138256458,165.09392857142856,31.768310293804884
24.96,188.63500000000002,31.71008089621413,165.63100000000003,32.13578967221971
25.220000000000002,189.21466666666666,32.234689823232365,166.07485714285713,32.41371032858327
