x - $\beta=0.005$,y - $\beta=0.005$,x - $\beta=0$,y - $\beta=0$
0.0,10542.6348574094,0.0,10542.6348574094
0.9999999999990905,10290.845810291357,0.9999999999990905,10166.757655724534
1.999999999998181,10128.668444030569,1.999999999998181,9899.721574048279
2.9999999999972715,10002.8908014982,2.9999999999972715,9684.749716717168
3.999999999996362,9888.74911542912,3.999999999996362,9493.945662923274
4.9999999999954525,9776.854502623552,4.9999999999954525,9314.677640700713
5.999999999994543,9663.736618903582,5.999999999994543,9133.161166060832
6.9999999999936335,9532.661774801672,6.9999999999936335,8916.568326614099
7.999999999992724,9364.15485956904,7.999999999992724,8706.971259237383
8.999999999991815,9185.359989339602,8.999999999991815,8468.491403297987
9.999999999990905,8987.39444444154,9.999999999990905,8189.712697460316
10.999999999989996,8721.122867269092,10.999999999989996,7881.612158944481
11.999999999989086,8438.90558932582,11.999999999989086,7583.564583832165
12.999999999988177,8166.949977152399,12.999999999988177,7294.717651342624
13.999999999987267,7903.772990366444,13.999999999987267,7014.18720227899
14.999999999986358,7648.611188566079,14.999999999986358,6741.208126181737
15.999999999985448,7400.753555492032,15.999999999985448,6460.305053530494
16.99999999998454,7159.4057384880725,16.99999999998454,6175.986545342486
17.99999999998363,6925.557296809042,17.99999999998363,5901.985133461887
18.99999999998272,6700.532179796952,18.99999999998272,5632.319881977281
19.99999999998181,6484.157012055279,19.99999999998181,5367.7232529676985
20.9999999999809,6273.74871758651,20.9999999999809,5107.617136657005
21.99999999997999,6067.641424552305,21.99999999997999,4860.403550388059
22.99999999997908,5863.067310373532,22.99999999997908,4624.286298408289
23.999999999978172,5662.060762357898,23.999999999978172,4400.262548124883
24.999999999977263,5462.7677791203605,24.999999999977263,4180.914594838861
25.999999999976353,5266.67003188841,25.999999999976353,3965.8361551747657
26.999999999975444,5073.222732879454,26.999999999975444,3754.865008886438
27.999999999974534,4882.240736437612,27.999999999974534,3549.623246950796
28.999999999973625,4697.571155890357,28.999999999973625,3351.4014323716983
29.999999999972715,4523.665530621074,29.999999999972715,3158.09419415961
30.999999999971806,4353.552518546116,30.999999999971806,2969.673866705387
31.999999999970896,4186.818891993724,31.999999999970896,2786.1534459569957
32.99999999996999,4023.3096798623446,32.99999999996999,2607.5774156347616
33.99999999996908,3865.1988202368375,33.99999999996908,2434.0103353131562
34.99999999996817,3711.696227565175,34.99999999996817,2265.5280784144998
35.99999999996726,3561.8128187295515,35.99999999996726,2102.211512912647
36.99999999996635,3415.431115384912,36.99999999996635,1944.1420041651
37.99999999996544,3272.465219278587,37.99999999996544,1791.3983631823212
38.99999999996453,3132.8537610033527,38.99999999996453,1644.0559222077718
39.99999999996362,2996.5529858041555,39.99999999996362,1502.3090881862445
40.99999999996271,2863.5316163019743,40.99999999996271,1369.094460004475
41.9999999999618,2733.76707391697,41.9999999999618,1243.633603216149
42.99999999996089,2607.2426792297047,42.99999999996089,1124.9154414441437
43.99999999995998,2483.945563855814,43.99999999995998,1015.1243423416745
44.99999999995907,2363.8651037767995,44.99999999995907,913.4928262075409
45.99999999995816,2247.137424575514,45.99999999995816,818.3393038902432
46.999999999957254,2134.1665891426383,46.999999999957254,730.083524807007
47.999999999956344,2024.3482519905083,47.999999999956344,650.0539971224498
48.999999999955435,1917.6630541959312,48.999999999955435,577.4850854113465
49.999999999954525,1814.032427645172,49.999999999954525,511.016707632225
50.999999999953616,1713.4742998110596,50.999999999953616,449.9677470749011
51.999999999952706,1615.9827238800935,51.999999999952706,393.8199494436849
52.9999999999518,1521.540515823639,52.9999999999518,342.1514908091631
53.99999999995089,1430.148821171606,53.99999999995089,294.5915235877037
54.99999999994998,1341.7993944059126,54.99999999994998,250.81919049203862
55.99999999994907,1256.462544539012,55.99999999994907,210.55780389159918
56.99999999994816,1174.1087414009962,56.99999999994816,174.43320620071609
57.99999999994725,1094.7155480931979,57.99999999994725,146.8099098377861
58.99999999994634,1018.2610065089539,58.99999999994634,125.35219073458575
59.99999999994543,944.9437092667213,59.99999999994543,107.52267117390875
60.99999999994452,875.5046419738792,60.99999999994452,92.50234520214144
61.99999999994361,809.3591633001342,61.99999999994361,79.71860371960793
62.9999999999427,747.463449316565,62.9999999999427,68.73422700271476
63.99999999994179,689.2899614379276,63.99999999994179,59.21428877848666
64.99999999994088,634.2577669527382,64.99999999994088,50.900936727644876
