x - $F_{\mathrm{YSL}}$=0.1425µN,y - $F_{\mathrm{YSL}}$=0.1425µN,x - $F_{\mathrm{YSL}}$=0.285µN,y - $F_{\mathrm{YSL}}$=0.285µN,x - $F_{\mathrm{YSL}}$=0.57µN,y - $F_{\mathrm{YSL}}$=0.57µN,x - $F_{\mathrm{YSL}}$=1.14µN,y - $F_{\mathrm{YSL}}$=1.14µN,x - _child8,y - _child8
-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,0,150
-1.8966666666666,0.5829684427706704,-1.8966666666666,0.7272563330835778,-1.8966666666666,1.0163186186864877,-1.8966666666666,1.596160423871607,1,150
-1.7933333333331838,0.784911605824417,-1.7933333333331838,1.1566885625087586,-1.7933333333331838,1.9042302991916198,-1.7933333333331838,3.368470703418899,,
-1.6899999999997677,1.0668899736050326,-1.6899999999997677,1.7132135292108026,-1.6899999999997677,2.97758769188641,-1.6899999999997677,5.334647960075078,,
-1.5866666666663516,1.3843473892850349,-1.5866666666663516,2.3170277135622084,-1.5866666666663516,4.061055336010087,-1.5866666666663516,7.230784320234225,,
-1.4833333333329353,1.7137636633798947,-1.4833333333329353,2.9129669576923165,-1.4833333333329353,5.069408731156164,-1.4833333333329353,9.030343919882535,,
-1.3799999999996115,2.038379886573022,-1.3799999999996115,3.470494270398356,-1.3799999999996115,6.00289006545225,-1.3799999999996115,10.795973580188173,,
-1.276666666666448,2.348190105955651,-1.276666666666448,3.984151532542207,-1.276666666666448,6.891627827372362,-1.276666666666448,12.599374851502283,,
-1.1733333333332845,2.639323506401192,-1.1733333333332845,4.461138314812013,-1.1733333333332845,7.763613968523469,-1.1733333333332845,14.490584267265477,,
-1.0700000000001209,2.9123615958066753,-1.0700000000001209,4.913492611036887,-1.0700000000001209,8.636220634052895,-1.0700000000001209,16.501739084887305,,
-0.9666666666669572,3.169993235555156,-0.9666666666669572,5.3513815954675765,-0.9666666666669572,9.523376525047656,-0.9666666666669572,18.65609537666082,,
-0.8633333333337938,3.414935959308504,-0.8633333333337938,5.781750419036459,-0.8633333333337938,10.437099344957483,-0.8633333333337938,20.972418020566924,,
