x - t=10s,y - t=10s,x - t=30s,y - t=30s,x - t=50s,y - t=50s,x - t=70s,y - t=70s,x - t=90s,y - t=90s
0.0,5.507283045821935,0.0,11.321187294980462,0.0,16.974313281767657,0.0,22.695951763406047,0.0,27.236103081095035
1.0,1.9640802637625001,1.0,5.2545294348999025,1.0,7.82693829444316,1.0,10.550859188976062,1.0,13.195445819741419
2.0,0.6206386333307128,2.0,2.518966400593371,2.0,4.125023736568752,2.0,6.006404359155772,2.0,7.95945372733531
3.0,0.3371883666355148,3.0,1.097094030615191,3.0,1.948032812468505,3.0,3.0464980579871703,3.0,4.321975278580283
4.0,0.3815972733332604,4.0,0.6751669560424325,4.0,1.066750745759946,4.0,1.6332885079596273,4.0,2.3851958483239217
5.0,0.328930223108621,5.0,0.5743078900801997,5.0,0.7402575806416124,5.0,1.0028027696823036,5.0,1.3915760015031227
6.0,0.371555629400548,6.0,0.5935694572864093,6.0,0.7268447639131841,6.0,0.8629554048449,6.0,1.0411129298182622
7.0,0.35604843660259206,7.0,0.528942461714781,7.0,0.6348884825208891,7.0,0.7413891591755948,7.0,0.9247582480840728
8.0,0.362153433186226,8.0,0.5237149804319058,8.0,0.6231182659274053,8.0,0.7213829258467308,8.0,0.8951925586803559
9.0,0.3380357540293023,9.0,0.5492937491180143,9.0,0.6585712753213565,9.0,0.7537127592234595,9.0,0.8397585953349708
