x - β=0.005,y - β=0.005,x - β=0,y - β=0
0.0,0.43397790701907024,0.0,0.33554980544214386
1.0,0.15456323225324403,1.0,0.09837360384784702
2.0,0.04080724058388992,2.0,0.020140690159181615
3.0,0.019200589974932892,3.0,0.006312338693324847
4.0,0.02096712503127095,4.0,0.004430620821921756
5.0,0.0187268144389688,5.0,0.004110447557117507
6.0,0.019001719818326396,6.0,0.004434435678532056
7.0,0.018411105659561635,7.0,0.00452197597472545
8.0,0.01816898957318475,8.0,0.004448004798079535
9.0,0.017865107407554353,9.0,0.004516668071030596
