x - $F_{\mathrm{YSL}}$=0.1425µN,y - $F_{\mathrm{YSL}}$=0.1425µN,x - $F_{\mathrm{YSL}}$=0.285µN,y - $F_{\mathrm{YSL}}$=0.285µN,x - $F_{\mathrm{YSL}}$=0.57µN,y - $F_{\mathrm{YSL}}$=0.57µN,x - $F_{\mathrm{YSL}}$=1.14µN,y - $F_{\mathrm{YSL}}$=1.14µN
-2.0,0.046107887147936094,-2.0,0.0756797626967654,-2.0,0.13486144745809522,-2.0,0.2535108840814014
-1.8966666666666,0.056180094826158225,-1.8966666666666,0.09619503939164302,-1.8966666666666,0.17679069098299488,-1.8966666666666,0.34604607118043856
-1.7933333333331838,0.05953628045007527,-1.7933333333331838,0.106904646490617,-1.7933333333331838,0.20821625899265647,-1.7933333333331838,0.4396940103738552
-1.6899999999997677,0.06201404605219531,-1.6899999999997677,0.11737405959883855,-1.6899999999997677,0.24578367340410232,-1.6899999999997677,0.5516129643081319
-1.5866666666663516,0.06470182566196822,-1.5866666666663516,0.13049551926022948,-1.5866666666663516,0.2932940306087997,-1.5866666666663516,0.6895155284916824
-1.4833333333329353,0.06844867843737903,-1.4833333333329353,0.14772769567317526,-1.4833333333329353,0.3493953470628767,-1.4833333333329353,0.8517466517252257
-1.3799999999996115,0.07371478137972061,-1.3799999999996115,0.16932653498425243,-1.3799999999996115,0.41148501664440895,-1.3799999999996115,1.0250250245800996
-1.276666666666448,0.0806380558119309,-1.276666666666448,0.1946743300120275,-1.276666666666448,0.47865397953411853,-1.276666666666448,1.204963600702335
-1.1733333333332845,0.0891961487534249,-1.1733333333332845,0.22294530580036265,-1.1733333333332845,0.5532277531910947,-1.1733333333332845,1.3903817667198217
-1.0700000000001209,0.09919354974328717,-1.0700000000001209,0.25341068438461406,-1.0700000000001209,0.6353468092108083,-1.0700000000001209,1.5807488200688014
-0.9666666666669572,0.11045943306188175,-0.9666666666669572,0.2855890219103744,-0.9666666666669572,0.7227769693588466,-0.9666666666669572,1.7757430829027356
-0.8633333333337938,0.12281605790929746,-0.8633333333337938,0.3190633587120208,-0.8633333333337938,0.8130303744265341,-0.8633333333337938,1.9762953076052683
-0.7600000000006302,0.1361144348401724,-0.7600000000006302,0.35356836857093815,-0.7600000000006302,0.905036167978132,-0.7600000000006302,2.1831253541834115
-0.6566666666674665,0.1502412376078309,-0.6566666666674665,0.3888969850383583,-0.6566666666674665,0.9984399619186237,-0.6566666666674665,2.3942690557396817
-0.5533333333343029,0.1650968295476624,-0.5533333333343029,0.4251744181617301,-0.5533333333343029,1.093110026497411,-0.5533333333343029,2.6086864403399117
-0.4500000000011395,0.1805577862016001,-0.4500000000011395,0.4629209182817594,-0.4500000000011395,1.1889680850985216,-0.4500000000011395,2.826254106252546
-0.34666666666797585,0.1965519604964562,-0.34666666666797585,0.5024474668101334,-0.34666666666797585,1.2859801860043845,-0.34666666666797585,3.0467394143291227
-0.24333333333481222,0.21302784466244282,-0.24333333333481222,0.5438673372361122,-0.24333333333481222,1.3841143687274353,-0.24333333333481222,3.27055828458373
-0.1400000000016488,0.2299535787494092,-0.1400000000016488,0.5868876518168927,-0.1400000000016488,1.4835158758858618,-0.1400000000016488,3.49616711102523
-0.03666666666848517,0.24725563058324795,-0.03666666666848517,0.6310526495501008,-0.03666666666848517,1.583577243899662,-0.03666666666848517,3.724697180878359
0.06666666666467824,0.2648643141183223,0.06666666666467824,0.6758790488344134,0.06666666666467824,1.6843037464428343,0.06666666666467824,3.9553504305496436
0.1699999999978421,0.282741657125965,0.1699999999978421,0.7211623095267803,0.1699999999978421,1.7859123402670318,0.1699999999978421,4.186989877224118
0.2733333333310055,0.30082773109667305,0.2733333333310055,0.7666710733664475,0.2733333333310055,1.8895713850938427,0.2733333333310055,4.41890543165113
0.3766666666641689,0.3190574197529104,0.3766666666641689,0.8123088407027018,0.3766666666641689,1.9929777403392974,0.3766666666641689,4.648038399304513
0.4799999999973328,0.33740401572870593,0.4799999999973328,0.8581907435572141,0.4799999999973328,2.098086251473085,0.4799999999973328,4.869391884465748
0.5833333333304962,0.35584393511273993,0.5833333333304962,0.9052775300347562,0.5833333333304962,2.204831694249837,0.5833333333304962,5.084632811784692
0.6866666666636596,0.37436603031966675,0.6866666666636596,0.9509902403962958,0.6866666666636596,2.3118762889229973,0.6866666666636596,5.286231990243242
0.7899999999968235,0.3929568451573921,0.7899999999968235,0.9966845589895634,0.7899999999968235,2.420837647838932,0.7899999999968235,5.468791777644681
0.8933333333299869,0.41161456746099045,0.8933333333299869,1.0424270062314114,0.8933333333299869,2.528748072407303,0.8933333333299869,5.631160719676062
0.9966666666631503,0.43033889453082524,0.9966666666631503,1.0881290399909962,0.9966666666631503,2.6371507112385557,0.9966666666631503,5.777507379928401
1.0999999999963141,0.4491406628556677,1.0999999999963141,1.1338608440021796,1.0999999999963141,2.746059810613611,1.0999999999963141,5.910847270860484
1.2033333333294776,0.4686680419856317,1.2033333333294776,1.1801962456358908,1.2033333333294776,2.858333650244205,1.2033333333294776,6.029705716473018
1.306666666662641,0.4876309517509976,1.306666666662641,1.2255823472487333,1.306666666662641,2.9692079816579473,1.306666666662641,6.134755120301435
1.4099999999958048,0.5066996458708654,1.4099999999958048,1.271029237483483,1.4099999999958048,3.080965928217816,1.4099999999958048,6.222979650420976
1.5133333333289682,0.5258487086629984,1.5133333333289682,1.316360672210867,1.5133333333289682,3.193099389054228,1.5133333333289682,6.292778953810904
1.6166666666621317,0.5451397973029224,1.6166666666621317,1.3622662417502531,1.6166666666621317,3.305769668181455,1.6166666666621317,6.342700143091213
1.7199999999952955,0.5644697361811245,1.7199999999952955,1.4117345147944997,1.7199999999952955,3.417543633444842,1.7199999999952955,6.373228353221846
1.823333333328459,0.583154085329861,1.823333333328459,1.4568550236806452,1.823333333328459,3.529935361886577,1.823333333328459,6.386095578029381
1.9266666666616223,0.6018329358226442,1.9266666666616223,1.5017927468573649,1.9266666666616223,3.64085946829709,1.9266666666616223,6.38113772680123
2.0299999999951233,0.6203884213213846,2.0299999999951233,1.547874278258405,2.0299999999951233,3.75195244110961,2.0299999999951233,6.354158728081373
2.133333333329297,0.6386862420598399,2.133333333329297,1.5930091483425053,2.133333333329297,3.859601204125852,2.133333333329297,6.30610645392956
2.2366666666634716,0.6570615904903984,2.2366666666634716,1.637378219829898,2.2366666666634716,3.9645966232873295,2.2366666666634716,6.230864878919104
2.3399999999976453,0.6749536162208454,2.3399999999976453,1.683829555135419,2.3399999999976453,4.06727603182665,2.3399999999976453,6.129425128540389
