x - _child0,y - _child0,x - t=10s,y - t=10s,x - t=30s,y - t=30s,x - t=50s,y - t=50s,x - t=70s,y - t=70s,x - t=90s,y - t=90s
0,0,0.0,0.8154888864036476,0.0,-0.040484140789089906,0.0,-1.8343424960832486,0.0,-1.8374517045500625,0.0,-3.6770030934607973
1,0,1.0,-0.5673536135733326,1.0,-0.6446138404787085,1.0,-1.3236559531263214,1.0,-1.8924366712051501,1.0,-2.418553529772737
,,2.0,0.06250565399488628,2.0,0.2695138432005235,2.0,0.3128117614919028,2.0,0.33767593446726085,2.0,0.39888115443937355
,,3.0,0.23486956665712683,3.0,0.37183801173230935,3.0,0.4858090443087768,3.0,0.6131691576522678,3.0,0.763323330918614
,,4.0,0.3314748884765036,4.0,0.42537950207696684,4.0,0.5219090617710308,4.0,0.6398714527635628,4.0,0.7710072994072978
,,5.0,0.28457777432370224,5.0,0.43519391545300457,5.0,0.47528616084915204,5.0,0.5618797293106288,5.0,0.675534537956351
,,6.0,0.32890251799674686,6.0,0.46744700438208964,6.0,0.5193206328953552,6.0,0.5648432946304911,6.0,0.630541869741601
,,7.0,0.31063757928229774,7.0,0.40289419565393514,7.0,0.43226957638592833,7.0,0.46544621382589957,7.0,0.5757326922310277
,,8.0,0.3168410635828865,8.0,0.3947814045344641,8.0,0.4164134030856754,8.0,0.4424848601937388,8.0,0.548057223653797
,,9.0,0.29043805525213506,9.0,0.4086800970711667,9.0,0.4338787967640635,9.0,0.4517642195785073,9.0,0.4710098733084909
