x - $T=4.7$h,y - $T=4.7$h,x - $T=5.4$h,y - $T=5.4$h,x - $T=6.0$h,y - $T=6.0$h,x - $T=6.6$h,y - $T=6.6$h,x - $T=7.2$h,y - $T=7.2$h,x - $T=7.7$h,y - $T=7.7$h,x - $T=8.3$h,y - $T=8.3$h,x - $T=9.1$h,y - $T=9.1$h
8.46625,0.015585099709571662,14.190975,0.0015667798181994875,29.84705,0.002736329729921519,34.849325,0.0013489291576466863,36.949075,0.0019041033343550832,34.32425,0.0009928202959274635,45.5781,0.0014541764286338196,46.202925,0.00135117575328082
10.54275,0.01714360968052883,18.070925,0.004700339454598462,35.58715,0.008208989189764558,42.777975000000005,0.004046787472940059,46.697225,0.0028561550015326247,45.24275,0.001737435517873061,56.0503,0.003393078333478912,57.054775,0.001080940602624656
12.61925,0.038962749273929155,21.950875,0.010967458727396412,41.32725,0.009121099099738397,50.706625,0.008093574945880118,56.445375000000006,0.005712310003065249,56.161249999999995,0.001985640591854927,66.52250000000001,0.004362529285901458,67.906625,0.0035130569585301316
14.69575,0.02337764956435749,25.830825,0.016451188091094616,47.06735,0.017330088289502953,58.63527500000001,0.012140362418820176,66.19352500000001,0.004522245419093323,67.07974999999999,0.0029784608877823898,76.9947,0.003393078333478912,78.75847500000002,0.003242821807873968
16.772250000000003,0.03740423930297199,29.710774999999998,0.021934917454792823,52.807449999999996,0.018242198199476794,66.563925,0.009105271814115133,75.941675,0.008806477921392261,77.99825,0.003474871035746122,87.46690000000001,0.006059068452640914,89.61032500000002,0.0035130569585301316
18.848750000000003,0.05922337889637232,33.59072499999999,0.024285087182092054,58.547549999999994,0.01915430810945063,74.492575,0.013489291576466863,85.68982500000001,0.008806477921392261,88.91675,0.006949742071492244,97.9391,0.005331980238324004,100.46217500000002,0.00540470301312328
20.925250000000002,0.05766486892541515,37.47067499999999,0.033685766091288975,64.28765000000001,0.015049813514568355,82.421225,0.01686161447058358,95.43797500000001,0.009996542505364187,99.83524999999999,0.007446152219455975,108.41130000000001,0.0072708821431690975,111.31402500000003,0.002161881205249312
23.001750000000005,0.042079769215843485,41.350624999999994,0.026635256909391284,70.02775000000001,0.016417978379529116,90.34987500000001,0.009779736392938476,105.18612500000002,0.011662632922924885,110.75375,0.006949742071492244,118.8835,0.007028519405063461,122.16587500000003,0.006485643615747936
25.078250000000004,0.05143082904158648,45.230574999999995,0.02350169727299231,75.76785000000001,0.015961923424542192,98.278525,0.012140362418820176,114.93427500000001,0.009520516671775416,121.67224999999999,0.01067281818122023,129.3557,0.00920978404801419,133.017725,0.008377289670341084
27.154750000000003,0.03428721936105766,49.11052499999999,0.02350169727299231,81.50795000000001,0.011401373874672995,106.207175,0.009779736392938476,124.68242500000001,0.010234555422158573,132.59074999999999,0.008687177589365304,139.8279,0.008967421309908553,143.86957500000003,0.007566584218372592
29.231250000000003,0.02026062962244316,52.99047499999999,0.014101018363795386,87.24805,0.008665044144751477,114.13582500000001,0.008093574945880118,134.43057500000003,0.00785442625421472,143.50925,0.009183587737329036,150.30010000000001,0.007513244881274733,154.721425,0.007026113917060263
31.307750000000006,0.026494669506271825,56.87042499999999,0.013317628454695642,92.98815,0.0072968792797907175,122.06447500000002,0.005395716630586745,144.17872500000001,0.0049982712526820934,154.42775,0.006949742071492244,160.7723,0.007028519405063461,165.57327500000002,0.008107054519684919
33.38425,0.015585099709571662,60.75037499999999,0.011750848636496156,98.72825000000002,0.006384769369816878,129.993125,0.004046787472940059,153.926875,0.004046219585504551,165.34625,0.0059569217755647795,171.2445,0.005331980238324004,176.42512500000004,0.007566584218372592
35.46075,0.015585099709571662,64.630325,0.013317628454695642,104.46835000000002,0.006840824324803797,137.921775,0.004721252051763402,163.675025,0.0038082066687101664,176.26475,0.003971281183709854,181.71669999999997,0.005089617500218368,187.27697500000005,0.004593997561154788
37.53725,0.0015585099709571663,68.510275,0.0039169495454987185,110.20845000000001,0.004104494594882279,145.850425,0.0013489291576466863,173.42317500000001,0.0021421162511494687,187.18325000000002,0.004219486257691719,192.18890000000002,0.003393078333478912,198.12882500000006,0.0040535272598424595
39.61375,0.0031170199419143325,72.390225,0.004700339454598462,115.94855000000001,0.0013681648649607595,153.779075,0.0013489291576466863,183.17132500000002,0.0019041033343550832,198.10175,0.0027302558138005244,202.6611,0.0041201665477958215,208.98067500000002,0.00540470301312328
41.69025,0.006234039883828665,76.270175,0.003133559636398975,121.68865000000001,0.0018242198199476794,161.707725,0.002360626025881701,192.91947500000003,0.0014280775007663124,209.02025,0.001985640591854927,213.1333,0.001696539166739456,219.83252500000003,0.0040535272598424595
43.76675,0.0031170199419143325,80.150125,0.002350169727299231,127.42875000000001,0.0009121099099738397,169.636375,0.0006744645788233432,202.66762500000004,0.0004760258335887708,219.93875,0.0024820507398186586,223.60549999999998,0.002181264642950729,230.68437500000005,0.003242821807873968
45.84325,0.009351059825742997,84.030075,0.003133559636398975,133.16885,0.0018242198199476794,177.565025,0.0003372322894116716,212.415775,0.0016660904175606979,230.85725,0.0012410253699093293,234.07770000000002,0.0014541764286338196,241.53622500000006,0.00270235150656164
47.91975,0.0015585099709571663,87.910025,0.0,138.90894999999998,0.0009121099099738397,185.493675,0.0006744645788233432,222.163925,0.0,241.77575000000002,0.0007446152219455974,244.5499,0.0009694509524225463,252.38807500000007,0.002432116355905476
