x - t=10s,y - t=10s,x - t=30s,y - t=30s,x - t=50s,y - t=50s,x - t=70s,y - t=70s,x - t=90s,y - t=90s
0.0,4.691794159418287,0.0,11.361671435769551,0.0,18.808655777850905,0.0,24.53340346795611,0.0,30.913106174555832
1.0,2.5314338773358327,1.0,5.899143275378611,1.0,9.150594247569481,1.0,12.443295860181212,1.0,15.613999349514156
2.0,0.5581329793358265,2.0,2.2494525573928477,2.0,3.8122119750768495,2.0,5.668728424688511,2.0,7.5605725728959365
3.0,0.102318799978388,3.0,0.7252560188828817,3.0,1.462223768159728,3.0,2.4333289003349026,3.0,3.5586519476616694
4.0,0.050122384856756796,4.0,0.24978745396546567,4.0,0.5448416839889153,4.0,0.9934170551960645,4.0,1.6141885489166239
5.0,0.04435244878491876,5.0,0.13911397462719513,5.0,0.26497141979246036,5.0,0.4409230403716748,5.0,0.7160414635467717
6.0,0.04265311140380115,6.0,0.12612245290431964,6.0,0.2075241310178289,6.0,0.29811211021440887,6.0,0.4105710600766612
7.0,0.04541085732029431,7.0,0.12604826606084588,7.0,0.2026189061349608,7.0,0.2759429453496952,7.0,0.349025555853045
8.0,0.04531236960333953,8.0,0.1289335758974417,8.0,0.20670486284172987,8.0,0.278898065652992,8.0,0.34713533502655874
9.0,0.047597698777167234,9.0,0.1406136520468476,9.0,0.22469247855729305,9.0,0.30194853964495216,9.0,0.36874872202647985
