PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 7, filenames: A:[7]AVI_Pos00d_TimeSrs0008_TgUtrmcherry_K4K8MO.avi & B:[8]AVI_Pos00d_TimeSrs0008_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,NaN,NaN,2
47,65,-2.876500368,-2.339648247,1
47,97,-3.61342907,-1.267151594,1
47,129,-3.365833759,-2.263204575,1
47,161,NaN,NaN,2
47,193,-2.356556416,-4.254324913,1
47,225,NaN,NaN,2
47,257,-0.8314950466,0.4108057618,1
47,289,0.9950509071,0.6235797405,1
47,321,-2.339412689,0.5271767378,1
47,353,-3.677515268,1.181043863,1
47,385,-2.948761463,1.036549568,1
47,417,-0.3364562988,0.397225976,1
47,449,-0.1269273758,-0.008319854736,1
47,481,NaN,NaN,2
47,513,NaN,NaN,2
47,545,-0.3771555424,0.7721976042,1
47,577,-2.223664045,1.810166001,1
47,609,-3.072978973,0.548808217,1
47,641,-2.256554127,-0.214599967,1
47,673,-1.473134279,2.61729908,1
47,705,-0.5559949875,2.081902266,1
47,737,-0.4221858978,1.548648477,1
47,769,-3.662456512,0.9214909077,1
47,801,-4.5946064,0.734274745,1
47,833,-3.287924767,1.925723314,1
47,865,-0.9283748865,1.684929848,1
47,897,-0.7148666382,2.77090621,1
47,929,-3.260186911,2.114393473,1
47,961,-2.690585375,1.026946902,1
47,993,-1.446247339,-1.13849175,1
47,1025,-1.316347837,-0.9748671651,1
47,1057,-3.506348133,0.05102717876,1
47,1089,-5.987463474,1.658963323,1
47,1121,-6.073789597,1.46986866,1
47,1153,-5.840797424,1.330289006,1
47,1185,-4.116997719,0.8887999058,1
47,1217,-0.7750401497,-0.1028716862,1
47,1249,0.3262094855,0.3531784415,1
47,1281,1.413801432,0.1678793877,1
47,1313,2.720013857,0.6908817887,1
47,1345,2.266818285,1.39257288,1
47,1377,2.043354988,1.555629253,1
47,1409,2.604240894,1.42824471,1
47,1441,1.259128571,1.425804853,1
47,1473,1.07973671,0.6805379391,1
47,1505,2.322738647,0.2244983613,1
47,1537,3.256937981,1.898831129,1
47,1569,4.54693985,0.7972682714,1
47,1601,4.487221718,1.823595285,1
47,1633,3.766883373,1.671318889,1
47,1665,4.195978642,-0.003072619438,1
47,1697,4.840235233,-0.419341445,1
47,1729,3.952812672,-0.4834647179,1
47,1761,3.587858677,0.2584950924,1
47,1793,3.89115572,-0.1234849393,1
47,1825,4.691460609,0.218195498,1
47,1857,5.775915146,-1.992862225,1
47,1889,3.85357523,-3.26236701,1
47,1921,NaN,NaN,2
47,1953,4.219118118,-2.328190565,1
47,1985,2.364902258,-2.306329012,1
47,2017,-1.001964092,0.3860812187,1
79,33,-6.086016655,-2.370220184,1
79,65,-4.84827137,-1.155437469,1
79,97,-3.178133965,-2.182463884,1
79,129,-2.773244858,-2.324624062,1
79,161,-2.733769894,-2.050271034,1
79,193,-3.196619987,-2.073358297,1
79,225,-3.25130415,-0.9852499962,1
79,257,-1.957814455,-0.1702956557,1
79,289,-1.288092375,0.1527436376,1
79,321,-2.210066557,-0.1520155966,1
79,353,-1.732447028,-0.07866224647,1
79,385,-2.470059633,-0.3063887954,1
79,417,-2.606460094,-1.611606121,1
79,449,-2.359792471,-1.384492517,1
79,481,NaN,NaN,2
79,513,NaN,NaN,2
79,545,-2.725300312,1.194244981,1
79,577,-3.759408951,1.825648785,1
79,609,-4.294084549,0.5013680458,1
79,641,-3.479877472,0.4595615268,1
79,673,-5.408042431,3.45405674,1
79,705,-2.52784586,1.121153355,1
79,737,-1.564190149,0.7236731052,1
79,769,-2.800846338,0.922162056,1
79,801,-3.058322906,1.274425149,1
79,833,-2.618290663,2.305388451,1
79,865,-1.429521799,0.9491539001,1
79,897,-2.461548328,1.343910456,1
79,929,-4.091024876,0.825820446,1
79,961,-3.64692378,-0.089427948,1
79,993,-2.786563635,-1.399388194,1
79,1025,-3.235374451,-0.7593351007,1
79,1057,-3.72870636,0.343075484,1
79,1089,-4.191375732,0.7500904799,1
79,1121,-3.715830803,0.825884819,1
79,1153,-3.228673458,0.8756382465,1
79,1185,-2.665171146,0.6739196181,1
79,1217,-0.05967628956,0.1643480211,1
79,1249,0.3587478399,-0.3394402266,1
79,1281,1.273186445,-0.6508929729,1
79,1313,2.090866566,0.1118526459,1
79,1345,2.034089565,0.6011126041,1
79,1377,3.447310925,0.8879010677,1
79,1409,3.978226662,0.09847295284,1
79,1441,1.464156628,-0.2848648429,1
79,1473,2.620535374,-0.5283119678,1
79,1505,4.717900753,-0.0004878491163,1
79,1537,4.439275265,1.203502655,1
79,1569,5.651143551,0.5125485063,1
79,1601,5.936823368,2.092041016,1
79,1633,5.817379951,2.75035429,1
79,1665,6.061492443,2.56581831,1
79,1697,6.381690025,1.773930788,1
79,1729,6.214472294,1.124918222,1
79,1761,5.638915062,0.07329662144,1
79,1793,5.849578381,-0.7262115479,1
79,1825,6.326262474,-0.4839618206,1
79,1857,5.893228531,-0.4589290619,1
79,1889,5.494945526,-0.3748561144,1
79,1921,NaN,NaN,2
79,1953,NaN,NaN,2
79,1985,-0.154791832,-0.1433040202,1
79,2017,NaN,NaN,2
111,33,NaN,NaN,2
111,65,-3.618731499,-1.388906837,1
111,97,-3.220964432,-2.793708801,1
111,129,-3.307455778,-3.438841105,1
111,161,-3.171594381,-2.500661373,1
111,193,-3.348629475,-1.88136363,1
111,225,-3.785358667,-1.018960357,1
111,257,-3.821985006,-0.08628022671,1
111,289,-2.488725424,-0.3594340086,1
111,321,-3.08096981,-0.4639371634,1
111,353,-3.079303741,-0.4725019932,1
111,385,-2.632189751,0.001165866852,1
111,417,-2.961261749,-1.769776464,1
111,449,-3.284595966,-1.706830502,1
111,481,-3.145130873,-1.400040865,1
111,513,-2.296133518,-3.418184757,1
111,545,-2.944405556,-1.868905544,1
111,577,-3.460508823,-0.381847918,1
111,609,-3.975176811,0.1392046213,1
111,641,-4.275985718,1.148931503,1
111,673,-4.235197067,0.5105266571,1
111,705,-3.65598774,0.662381649,1
111,737,-1.819131374,0.994838953,1
111,769,-2.328244448,0.8131786585,1
111,801,-2.408088923,1.019672871,1
111,833,-2.041341543,0.523452282,1
111,865,-1.922964334,0.4682229757,1
111,897,-3.019138336,0.2235347033,1
111,929,-4.816134453,0.5486388206,1
111,961,-3.74889493,-0.5951707363,1
111,993,-3.188146591,-0.6213457584,1
111,1025,-3.794803381,0.2559787333,1
111,1057,-3.465212107,0.25788486,1
111,1089,-3.362873554,0.1779521704,1
111,1121,-2.65771389,0.2308386564,1
111,1153,-2.981720448,0.184100911,1
