PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 11, filenames: A:[11]AVI_Pos00d_TimeSrs0008_TgUtrmcherry_K4K8MO.avi & B:[12]AVI_Pos00d_TimeSrs0008_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.906504989,-0.6893863678,1
47,65,-1.88259232,-0.09308153391,1
47,97,0.4869986773,0.8299167156,1
47,129,1.1344347,1.864150524,1
47,161,1.361578226,1.369587183,1
47,193,1.198255062,0.908421874,1
47,225,0.3403294086,-0.2351305485,1
47,257,-1.458697915,0.9222227335,1
47,289,-2.841238022,-1.24071908,1
47,321,-2.578817606,-2.732465744,1
47,353,-1.927880406,-2.862438679,1
47,385,-1.017649531,-1.449750543,1
47,417,0.3706701994,-0.7582917213,1
47,449,0.545592308,-1.263563752,1
47,481,-0.4022562504,-0.1705777645,1
47,513,-1.920220375,1.576539159,1
47,545,-2.01410985,-2.295597315,1
47,577,-1.588468313,-2.67466116,1
47,609,-1.729659319,-1.084121823,1
47,641,-1.860208511,-0.06853795052,1
47,673,-0.4998545647,0.4534119368,1
47,705,-1.114438415,0.4170908332,1
47,737,-0.1089485884,0.3394291103,1
47,769,1.0436728,0.704723835,1
47,801,0.8449399471,0.8137631416,1
47,833,0.241648078,1.083794117,1
47,865,-1.632227778,2.000632048,1
47,897,-1.921929359,1.382789373,1
47,929,0.2704986334,-0.1760142148,1
47,961,2.043489933,-1.714628816,1
47,993,1.103140116,-1.048883438,1
47,1025,0.003197193146,-0.5014634132,1
47,1057,2.333678722,-1.267108917,1
47,1089,1.392145038,-1.000261784,1
47,1121,2.355133772,-0.8590052128,1
47,1153,3.588591099,-1.486449599,1
47,1185,4.45252037,-1.009467244,1
47,1217,5.230356216,0.2362108827,1
47,1249,6.054512501,0.5486230254,1
47,1281,5.586400032,-0.2757450342,1
47,1313,4.157545567,-2.322016001,1
47,1345,2.778852701,-1.799355626,1
47,1377,3.791599035,-0.5515614748,1
47,1409,5.750714302,-0.1443253756,1
47,1441,NaN,NaN,2
47,1473,5.346675396,0.1053251475,1
47,1505,NaN,NaN,2
47,1537,5.082357407,-3.563182831,1
47,1569,7.392789841,-1.610638142,1
47,1601,5.368494987,-0.03530263901,1
47,1633,7.582979202,-2.600971699,1
47,1665,6.460597992,-2.474797249,1
47,1697,6.771496773,-3.596419334,1
47,1729,5.962331772,-5.132701874,1
47,1761,5.408927441,-4.368476868,1
47,1793,5.615679264,-2.80618763,1
47,1825,8.635472298,-3.445997953,1
47,1857,8.010199547,-4.701322556,1
47,1889,6.56696701,-4.112051964,1
47,1921,6.111739635,-1.970209837,1
47,1953,6.418916702,0.1775438786,1
47,1985,5.718969345,-0.001160025597,1
47,2017,5.10999012,-0.03024101257,1
79,33,-1.412371635,1.582888842,1
79,65,-0.8807510138,-1.272655129,1
79,97,-0.5558508635,-0.4818092287,1
79,129,-0.613828063,1.042094469,1
79,161,-0.5528798699,0.2809569836,1
79,193,-1.200000525,-0.9278696775,1
79,225,-1.592313051,-2.841792107,1
79,257,-1.812453032,-0.8102771044,1
79,289,-3.018847942,-0.65018785,1
79,321,-2.470843554,-0.3669503927,1
79,353,-1.436506629,-0.6804990768,1
79,385,-0.3955782652,-0.6313614845,1
79,417,-0.6549959183,0.2371881604,1
79,449,-1.751094818,-0.4707485437,1
79,481,-2.096699715,-1.34470582,1
79,513,-1.440238714,-1.49651134,1
79,545,-0.3237392902,-1.718340874,1
79,577,NaN,NaN,2
79,609,-1.047080755,-0.6298909187,1
79,641,-0.9353995323,-0.5124285221,1
79,673,-1.032785773,-0.3080241382,1
79,705,-0.8455348015,-0.1263670921,1
79,737,-0.5781172514,-0.3008111417,1
79,769,-0.6937434077,-0.01966458559,1
79,801,-0.7026214004,0.4745694697,1
79,833,-1.12956953,1.018207669,1
79,865,-2.377536297,1.188402891,1
79,897,-2.730796337,0.9053065777,1
79,929,-1.530921459,0.09243699908,1
79,961,-0.1866651177,-0.4292215705,1
79,993,-0.395748198,0.9963494539,1
79,1025,1.400418043,-0.536583364,1
79,1057,2.374805927,-0.4299895465,1
79,1089,2.556205034,0.3945682645,1
79,1121,2.830306292,1.042991161,1
79,1153,3.865439177,-0.4306410253,1
79,1185,4.550426483,-0.4760154784,1
79,1217,4.731725216,0.1964438558,1
79,1249,5.022829056,0.3264998198,1
79,1281,4.589168072,0.2814540863,1
79,1313,4.001962185,0.1953610033,1
79,1345,4.55787611,-0.1955168545,1
79,1377,5.899806499,1.004040956,1
79,1409,5.689520836,1.445691705,1
79,1441,6.306651592,-0.0342668891,1
79,1473,6.466742039,0.3337008357,1
79,1505,5.210214138,0.004285514355,1
79,1537,0.6206725836,-1.553812861,1
79,1569,2.041828871,-2.860275507,1
79,1601,4.520343781,-2.974689484,1
79,1633,5.484934807,-2.087558746,1
79,1665,4.530441284,-1.286661625,1
79,1697,4.894519329,-2.143598557,1
79,1729,5.974827766,-3.664757013,1
79,1761,6.273223877,-4.078074455,1
79,1793,6.28582716,-3.24919796,1
79,1825,7.234383583,-2.828312397,1
79,1857,6.478448868,-3.922029734,1
79,1889,6.014031887,-3.271411896,1
79,1921,5.661021709,-2.54321909,1
79,1953,6.345293522,-1.717952609,1
79,1985,6.188511372,-2.481555939,1
79,2017,4.54417944,-0.5671515465,1
111,33,-1.780200601,0.548279047,1
111,65,-0.3571044207,-0.6530967951,1
111,97,-0.4362989664,-1.247984767,1
111,129,-0.9579373598,-1.236687064,1
111,161,-1.442602038,-1.535010695,1
111,193,-1.830129266,-2.052963734,1
111,225,-1.966365099,-2.066736937,1
111,257,-2.528874159,-1.404576778,1
111,289,-4.442456722,-1.135768771,1
111,321,-2.803552628,-0.1679445505,1
111,353,-1.825792074,-0.001361936331,1
111,385,NaN,NaN,2
111,417,-2.02637434,-0.8779685497,1
111,449,-2.212598324,0.02893602848,1
111,481,-3.335056543,-1.548344016,1
111,513,-2.414581776,-3.465709925,1
111,545,-1.16311574,-1.354255676,1
111,577,-0.9106584787,-1.276961565,1
111,609,-0.9026660919,-0.6716681123,1
111,641,-1.386871576,-0.3303761482,1
111,673,-1.26548624,0.3991764784,1
111,705,-1.138591766,-0.05502325296,1
111,737,-1.289528728,-0.6747711301,1
111,769,-1.544086218,-0.4909848869,1
111,801,-1.353872657,0.04377165437,1
111,833,-1.487803459,0.5291728973,1
111,865,-1.86972332,0.7149320841,1
111,897,-2.033919334,0.9186245799,1
111,929,-2.828017712,0.9171103239,1
111,961,-2.365797043,0.2988764346,1
111,993,NaN,NaN,2
111,1025,NaN,NaN,2
111,1057,2.988143206,0.019777596,1
111,1089,3.980148077,1.603475332,1
111,1121,3.564637184,3.268570185,1
111,1153,3.83502841,0.4172450602,1
111,1185,4.369369984,0.4535485208,1
111,1217,4.50350666,0.4495369494,1
111,1249,4.650827408,0.6089821458,1
111,1281,3.678649664,0.2670043707,1
111,1313,NaN,NaN,2
111,1345,7.400065422,1.421065211,1
111,1377,6.158724785,1.994180322,1
111,1409,3.791353703,2.495214224,1
111,1441,NaN,NaN,2
111,1473,4.122013092,0.01903033257,1
111,1505,3.700488091,-1.265688419,1
111,1537,2.669071674,-2.515381336,1
111,1569,3.265931129,-4.234278679,1
111,1601,5.020614147,-2.893569946,1
111,1633,5.66584301,-1.229482174,1
111,1665,4.524510384,-2.544261932,1
111,1697,5.288257599,-2.532628536,1
111,1729,6.308012486,-2.401329994,1
111,1761,7.064870358,-3.008421421,1
111,1793,7.095333099,-2.583430529,1
111,1825,6.742087364,-2.929136992,1
111,1857,6.78319788,-2.848321676,1
111,1889,6.646112919,-1.968806148,1
111,1921,4.61082983,-3.351168156,1
111,1953,7.025147915,-2.997110367,1
111,1985,6.839470863,-2.719136477,1
111,2017,1.378181934,-0.7624927759,1
143,33,-3.748094559,1.233105898,1
143,65,-0.3861965537,0.06903833151,1
143,97,-0.5019738674,-1.111443281,1
143,129,-1.175083876,-1.507508755,1
143,161,-1.884129524,-1.920199156,1
143,193,-2.256799221,-2.637616158,1
143,225,-1.50968194,-2.533469915,1
143,257,-2.502502203,-2.333078384,1
143,289,-3.976088524,-1.810235023,1
143,321,-2.84203434,-1.686876297,1
143,353,-2.864682198,-0.6687868834,1
143,385,NaN,NaN,2
143,417,-2.578617573,-1.960457087,1
143,449,-2.81001091,-2.161092043,1
143,481,-2.621151447,-1.814303994,1
143,513,-1.944036007,-1.649670005,1
143,545,-1.445587873,-1.267870307,1
143,577,-1.029794931,-1.467755079,1
143,609,-0.6955717206,-0.8254034519,1
143,641,-1.421065092,-0.7501451373,1
143,673,-0.9502549171,-1.035941839,1
143,705,-1.028164864,-0.6844515204,1
143,737,-1.62646234,-0.6938400269,1
143,769,-1.569617748,-0.1901338696,1
143,801,-1.681950331,0.4530002773,1
143,833,-1.834173203,0.008785128593,1
143,865,-2.786669254,2.025400877,1
143,897,-3.189034224,1.169453144,1
143,929,-2.646344662,-0.02338993549,1
143,961,-2.185554504,-0.1152570546,1
143,993,-1.024841189,0.2596306205,1
143,1025,1.361938834,-0.5959772468,1
143,1057,2.107477665,0.3007231355,1
143,1089,NaN,NaN,2
143,1121,3.843705416,2.0990839,1
143,1153,2.482344151,0.9305489063,1
143,1185,3.279039383,0.9178408384,1
143,1217,3.487656355,0.7355369925,1
143,1249,3.485737324,0.5846866965,1
143,1281,3.238942146,-0.6885329485,1
143,1313,3.249156475,-0.4248291254,1
143,1345,5.226415634,0.689167738,1
143,1377,5.315130711,1.826261878,1
143,1409,4.849879742,1.489027143,1
143,1441,4.800620556,0.8175010085,1
143,1473,5.237621784,-0.5903471708,1
143,1505,5.107097626,-1.395044088,1
143,1537,NaN,NaN,2
143,1569,NaN,NaN,2
143,1601,4.586571693,-2.94037962,1
143,1633,5.869763851,-2.933789253,1
143,1665,6.163265705,-3.372940779,1
143,1697,6.341428757,-1.834874392,1
143,1729,6.790516376,-1.51239109,1
143,1761,6.880943775,-2.767058134,1
143,1793,6.431185722,-3.040625572,1
143,1825,6.459962845,-2.777965069,1
143,1857,8.336524963,-2.040142536,1
143,1889,8.128285408,-1.281619549,1
143,1921,5.11450243,-3.469651222,1
143,1953,5.283085346,-2.950284243,1
143,1985,4.052290916,-1.734528542,1
143,2017,3.746506214,-0.8711705804,1
175,33,-1.695416451,1.28561306,1
175,65,-0.4386439919,0.5124074817,1
175,97,-0.03998333216,-0.4639121294,1
175,129,-0.9433217049,-1.117918253,1
175,161,-2.422157049,-1.929325104,1
175,193,-3.044869184,-2.33605361,1
175,225,-2.186837912,-2.789303064,1
175,257,-2.321133375,-3.951331854,1
175,289,-4.320044518,-2.371164799,1
175,321,-4.948515892,-2.365966558,1
175,353,-3.575299501,0.5894515514,1
175,385,-3.268834114,-1.315493345,1
175,417,-3.267865181,-3.257206202,1
175,449,-3.761308193,-2.821994066,1
175,481,-2.096615314,-0.5748460293,1
175,513,-1.773923516,-0.4753046036,1
175,545,-1.55628705,-1.329496145,1
175,577,-1.379805565,-1.582572699,1
175,609,0.07005810738,-0.9353760481,1
175,641,NaN,NaN,2
175,673,-0.6009255648,-1.807736993,1
175,705,-0.01310759783,-2.025025129,1
175,737,-0.5892134905,-0.3134325743,1
175,769,-1.167545795,0.7894045115,1
175,801,-1.637748837,0.5952699184,1
175,833,-1.571760416,-0.6980901957,1
175,865,-1.484168172,-0.1522069871,1
175,897,-2.223700762,0.5641853809,1
175,929,-1.08765316,0.04476650059,1
175,961,-1.106694698,-0.09380140901,1
175,993,-0.873755455,-0.7617071867,1
175,1025,NaN,NaN,2
175,1057,NaN,NaN,2
175,1089,NaN,NaN,2
175,1121,2.289331675,1.80456984,1
175,1153,2.364492178,1.887922168,1
175,1185,2.942041636,0.7823262811,1
175,1217,3.153145075,0.3800124526,1
175,1249,3.001088142,0.1483343691,1
175,1281,6.018160343,0.1532374471,1
175,1313,6.152383327,0.9975504875,1
175,1345,5.189499378,1.962873578,1
175,1377,2.898789406,2.732554436,1
175,1409,5.148492336,1.431011558,1
175,1441,5.26628828,0.8888033628,1
175,1473,5.709186077,-0.0673815608,1
175,1505,6.19251442,-1.147344828,1
175,1537,6.686668873,-1.612646937,1
175,1569,8.250713348,-1.764065981,1
175,1601,7.81717205,-2.68489933,1
175,1633,7.597839355,-3.345494509,1
175,1665,7.184252262,-2.774479389,1
175,1697,6.469867706,-1.48021102,1
175,1729,6.350650311,-1.079799056,1
175,1761,6.318176746,-2.317717791,1
175,1793,5.424993992,-2.385356903,1
175,1825,7.197199821,-2.561120033,1
175,1857,7.425433636,-1.792231321,1
175,1889,7.197638512,-1.230178595,1
175,1921,7.180346012,-0.7279014587,1
175,1953,6.80433321,-0.8995437622,1
175,1985,5.58349371,-1.705207825,1
175,2017,4.21241951,-1.030712605,1
207,33,-1.166026354,1.324006438,1
207,65,-0.001626670361,0.3762247562,1
207,97,0.3188484311,-1.111272454,1
207,129,1.366751909,-1.780854106,1
207,161,-0.5227771401,-2.187646627,1
207,193,-1.680203199,-2.339794874,1
207,225,NaN,NaN,2
207,257,-2.538131237,-4.337666512,1
207,289,-4.455386162,-3.67871809,1
207,321,-5.318473816,-2.592672586,1
207,353,-3.816810846,-0.1445753574,1
207,385,-1.753712654,-2.118872881,1
207,417,-2.912065268,-3.956257343,1
207,449,-2.729309559,-2.495783091,1
207,481,-2.098711491,-1.267430067,1
207,513,-1.451556444,-0.3935629129,1
207,545,-1.307350516,-1.456181765,1
207,577,-1.675606251,-2.305793047,1
207,609,-1.487835884,-1.552579045,1
207,641,-0.6375386119,-0.2281473279,1
207,673,0.008966743946,-0.3223174214,1
207,705,1.598892093,-1.331212044,1
207,737,1.42032671,0.2889450192,1
207,769,-0.001965999603,0.4903347492,1
207,801,-1.221253872,-0.6000279188,1
207,833,-1.681985497,-0.6799904704,1
207,865,-1.405218005,-0.2992277741,1
207,897,-0.805783391,-0.3056584001,1
207,929,-0.8946338892,0.3714042604,1
207,961,-0.4629696608,0.4866877198,1
207,993,0.1724644303,-1.0967623,1
207,1025,2.041999102,-1.404510975,1
207,1057,NaN,NaN,2
207,1089,2.831729889,0.4936605692,1
207,1121,2.690657616,1.480337024,1
207,1153,3.628986835,2.010037184,1
207,1185,3.180766821,0.773401022,1
207,1217,1.865311146,-1.33977747,1
207,1249,4.280936718,-0.5865772367,1
207,1281,6.502875328,0.3546547294,1
207,1313,6.718795776,0.542296946,1
207,1345,5.172694683,1.181706905,1
207,1377,NaN,NaN,2
207,1409,5.038012981,1.682661295,1
207,1441,5.381588936,1.066730022,1
207,1473,6.016595364,0.01043009013,1
207,1505,6.362215996,-1.00118494,1
207,1537,6.741231441,-1.631430984,1
207,1569,9.03030014,-1.589813113,1
207,1601,9.030498505,-1.865084648,1
207,1633,8.249923706,-2.678363562,1
207,1665,7.369554996,-2.423247337,1
207,1697,6.52835989,-0.9156982899,1
207,1729,6.251935482,-1.643423557,1
207,1761,6.35579443,-1.602126956,1
207,1793,5.842988968,-1.184932232,1
207,1825,4.916970253,-2.290281296,1
207,1857,6.160028934,-1.738504887,1
207,1889,6.66044426,-1.145468712,1
207,1921,6.86957407,-0.2346855998,1
207,1953,6.695661545,-0.7793779969,1
207,1985,5.810543537,-3.421454906,1
207,2017,1.919402122,-1.111690164,1
239,33,-0.004067182541,1.60667479,1
239,65,0.4716858268,0.4628983736,1
239,97,0.5646830797,-1.093753815,1
239,129,2.067614555,-2.952885628,1
239,161,0.5006405711,-2.957171679,1
239,193,-0.1122182608,-2.457172871,1
239,225,-2.075365067,-2.231692553,1
239,257,-1.031753302,-5.134404182,1
239,289,-2.43168354,-4.961358547,1
239,321,-3.658180714,-3.331020832,1
239,353,-3.624867678,-2.321582556,1
239,385,-2.539455414,-1.549214363,1
239,417,-2.290713787,-2.605069399,1
239,449,-2.016101599,-3.363331318,1
239,481,-1.565950394,-2.140462875,1
239,513,NaN,NaN,2
239,545,-0.5104580522,-2.235378265,1
239,577,-1.368124127,-2.750484943,1
239,609,-1.107632041,-1.775374651,1
239,641,1.222164512,0.1508200169,1
239,673,-1.996309996,1.471443415,1
239,705,-2.251456261,-0.4246352911,1
239,737,-0.7939376831,-0.6852210164,1
239,769,-0.9079681635,-0.1175248027,1
239,801,-1.013733625,-1.304576874,1
239,833,-0.8594799638,-1.000461936,1
239,865,-0.6624606252,-1.007650137,1
239,897,-0.4281274378,-0.5027731657,1
239,929,-0.1750589609,-0.1797144413,1
239,961,1.401099801,-0.5557918549,1
239,993,1.605462551,-1.549474597,1
239,1025,2.308289528,-1.884687901,1
239,1057,NaN,NaN,2
239,1089,2.041818619,0.3303394914,1
239,1121,3.573892832,1.418449402,1
239,1153,5.117824554,1.931423783,1
239,1185,3.795581579,1.287167549,1
239,1217,0.5396304131,-0.7985101342,1
239,1249,NaN,NaN,2
239,1281,6.198504448,1.664258242,1
239,1313,5.811094761,0.8500285149,1
239,1345,6.057210922,0.6103138328,1
239,1377,4.88228941,1.2115345,1
239,1409,4.309848785,1.048791409,1
239,1441,4.620316982,0.9422441721,1
239,1473,6.399766922,0.7111845016,1
239,1505,6.626878738,-0.256690532,1
239,1537,5.683268547,-1.582517147,1
239,1569,7.689079762,-1.537244678,1
239,1601,7.885313511,-1.092272878,1
239,1633,6.992050648,-1.338155627,1
239,1665,5.918104649,-1.624104142,1
239,1697,6.486536503,-1.610146284,1
239,1729,7.316841125,-2.131694317,1
239,1761,5.59856081,-1.561177969,1
239,1793,5.484658718,-1.274304986,1
239,1825,5.054553032,-1.300576925,1
239,1857,5.637274742,-1.141075611,1
239,1889,6.146154881,-0.6083163619,1
239,1921,5.835577488,-0.1582887173,1
239,1953,5.27850914,-0.6799960732,1
