PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 9, filenames: A:[9]AVI_Pos00d_TimeSrs0008_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos00d_TimeSrs0008_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.825669765,-0.6538920403,1
47,65,-0.9580096006,-1.232323408,1
47,97,0.6056505442,-3.972699881,1
47,129,NaN,NaN,2
47,161,NaN,NaN,2
47,193,2.76624012,-4.05218792,1
47,225,-2.944919348,-4.614308834,1
47,257,-3.885681152,-3.223414421,1
47,289,-2.594676018,-0.9894695282,1
47,321,-2.479903698,0.1876165867,1
47,353,-2.912445545,-0.7383750677,1
47,385,-4.556856632,0.3778922558,1
47,417,-2.598052502,0.5775003433,1
47,449,-0.05382680893,0.2724877596,1
47,481,0.6768833399,0.6221226454,1
47,513,0.4161147773,2.781267166,1
47,545,-0.9489357471,2.35743475,1
47,577,-1.705281019,0.07020246983,1
47,609,-3.294539928,0.1911959648,1
47,641,-3.750286341,3.475696087,1
47,673,-2.670430899,0.1818941832,1
47,705,-2.47400856,-0.6240606904,1
47,737,-3.231853962,2.437476635,1
47,769,-2.285720348,4.653869152,1
47,801,-1.990063906,5.3445611,1
47,833,-1.797137737,4.610867023,1
47,865,-0.3402450681,2.807678699,1
47,897,1.722449541,1.686959982,1
47,929,2.376343727,-0.2074471712,1
47,961,2.678979635,-1.567860126,1
47,993,0.5384063721,-0.4000217915,1
47,1025,-0.8085199594,0.4374182224,1
47,1057,-0.2212414742,-0.6404755116,1
47,1089,2.010685682,-0.03025484085,1
47,1121,4.178554535,1.329882503,1
47,1153,3.942271709,2.007031918,1
47,1185,4.344839096,1.715245247,1
47,1217,4.442066193,0.6758744121,1
47,1249,5.860365868,0.4174700975,1
47,1281,7.12969017,1.556725025,1
47,1313,5.673840523,2.130487442,1
47,1345,4.911612511,2.575452805,1
47,1377,4.592392921,2.528053284,1
47,1409,6.203290462,2.178376436,1
47,1441,7.541726112,0.8803950548,1
47,1473,8.191503525,-0.3823007941,1
47,1505,9.302742004,-1.0154531,1
47,1537,9.456581116,0.533239603,1
47,1569,NaN,NaN,2
47,1601,8.093195915,-0.9004796743,1
47,1633,7.941651821,0.9566120505,1
47,1665,7.918834209,-0.1779622138,1
47,1697,8.887717247,-0.1227008104,1
47,1729,7.23474884,0.488204807,1
47,1761,7.196287155,-1.029918551,1
47,1793,7.192806244,-1.68558836,1
47,1825,6.521008015,-2.870498657,1
47,1857,6.192005157,-0.787104845,1
47,1889,6.222284317,0.2914495468,1
47,1921,8.192726135,-0.9653397799,1
47,1953,8.174559593,-2.795000315,1
47,1985,7.370830059,-1.73860836,1
47,2017,NaN,NaN,2
79,33,-0.3464640379,0.5662243366,1
79,65,-0.6131047606,-1.271214008,1
79,97,-0.3655106127,-0.8148670197,1
79,129,-0.104983151,0.0323972702,1
79,161,1.102833271,-0.6711449623,1
79,193,2.027415276,-3.024109125,1
79,225,-0.8173412085,-4.695011139,1
79,257,-2.435036659,-2.53176856,1
79,289,-2.218127251,-0.2278931141,1
79,321,-2.028136492,1.233875275,1
79,353,-1.429703951,0.3417218328,1
79,385,-2.928351402,0.8118742108,1
79,417,-2.196837664,1.451956868,1
79,449,-1.141502976,1.633892775,1
79,481,-0.3607399166,3.291249752,1
79,513,-0.2952589989,4.036039352,1
79,545,-0.5949127674,1.891530752,1
79,577,-0.9418131113,0.8471534252,1
79,609,-2.218339443,1.196261644,1
79,641,-3.647206783,1.497907877,1
79,673,-4.004793167,0.534741044,1
79,705,-5.461920738,0.7133358717,1
79,737,-2.130907059,1.482606769,1
79,769,-1.902362585,2.356435299,1
79,801,-1.874790668,2.99905324,1
79,833,-1.561918497,3.178936481,1
79,865,-0.6219825745,2.975684643,1
79,897,0.4765961766,1.418859363,1
79,929,1.333041072,0.8719452024,1
79,961,1.333315849,0.506156683,1
79,993,0.8790404201,1.929234743,1
79,1025,-0.3183789551,0.6975814104,1
79,1057,-1.27594018,-0.1747487187,1
79,1089,0.1253437996,1.632537842,1
79,1121,2.081623554,1.571938872,1
79,1153,2.162019491,1.271134019,1
79,1185,2.255432606,1.206057549,1
79,1217,2.880510569,0.9906400442,1
79,1249,5.517295361,0.6415994167,1
79,1281,7.678606987,0.8178807497,1
79,1313,7.154460907,0.9318397045,1
79,1345,NaN,NaN,2
79,1377,4.646317482,2.407507896,1
79,1409,5.471661091,2.375874519,1
79,1441,6.168268204,1.235258102,1
79,1473,7.332573414,0.03372696042,1
79,1505,8.76448822,-0.2086844742,1
79,1537,9.172636032,0.6954319477,1
79,1569,NaN,NaN,2
79,1601,8.770102501,1.87812376,1
79,1633,8.357703209,1.702956319,1
79,1665,8.103225708,-0.4570983052,1
79,1697,7.714811325,-0.1376581192,1
79,1729,7.758975506,-0.845717907,1
79,1761,7.632616043,-1.408330321,1
79,1793,7.630915642,-2.102678299,1
79,1825,NaN,NaN,2
79,1857,7.655016899,-1.387653112,1
79,1889,8.023121834,-0.4107046127,1
79,1921,8.593294144,-1.630981326,1
79,1953,7.685189247,-3.489770174,1
79,1985,6.861129284,-2.662961721,1
79,2017,5.056478977,0.1078840494,1
111,33,-0.1717534363,0.3322020769,1
111,65,0.155228138,-0.510781765,1
111,97,-0.01057608426,-0.3436111808,1
111,129,-0.559002459,-0.396323204,1
111,161,-0.1806533337,-1.14119935,1
111,193,-1.22550869,-3.390450954,1
111,225,-2.116663218,-3.274949312,1
111,257,-2.166530132,-1.597075343,1
111,289,-1.7322402,0.2603324652,1
111,321,-1.819440365,2.104477882,1
111,353,-0.954182744,1.786461949,1
111,385,NaN,NaN,2
111,417,-1.11038065,1.257945776,1
111,449,-1.293400288,1.813920975,1
111,481,-1.008131266,2.574412823,1
111,513,-0.6930933595,2.602756977,1
111,545,-0.3072735667,1.726341724,1
111,577,-0.5601938963,1.609303832,1
111,609,-1.346789598,2.168559074,1
111,641,-1.866461039,1.127257824,1
111,673,-3.277806997,1.139975548,1
111,705,-3.619053602,0.9510313869,1
111,737,-1.757982969,0.5428576469,1
111,769,-1.777108192,0.7640918493,1
111,801,-1.95681262,1.281892538,1
111,833,NaN,NaN,2
111,865,-0.6453554034,3.1339643,1
111,897,-0.1768417954,1.126936316,1
111,929,0.004333376884,1.979926825,1
111,961,NaN,NaN,2
111,993,0.4890363812,1.174687624,1
111,1025,-0.4153646231,0.6253221035,1
111,1057,-0.7434288263,0.8242765665,1
111,1089,0.1950244904,1.98022151,1
111,1121,1.442337394,1.373408198,1
111,1153,1.653772354,0.9323136806,1
111,1185,2.122594357,0.5901942253,1
111,1217,3.406404018,0.896548748,1
111,1249,5.029714108,2.131135464,1
111,1281,6.968933105,0.4495816827,1
111,1313,7.024405956,0.3534818292,1
111,1345,5.90829134,1.028928518,1
111,1377,4.511318684,1.14705348,1
111,1409,5.581600666,1.944331527,1
