PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 5, filenames: A:[5]AVI_Pos00d_TimeSrs0008_TgUtrmcherry_K4K8MO.avi & B:[6]AVI_Pos00d_TimeSrs0008_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-5.837883949,-9.636919022,1
47,65,-1.761244059,-8.103721619,1
47,97,-1.49304378,-7.431869507,1
47,129,-2.06940937,-5.486332417,1
47,161,-3.495968103,-6.332880497,1
47,193,-4.679262638,-8.541104317,1
47,225,-4.430260181,-9.401195526,1
47,257,-7.047464371,-9.365772247,1
47,289,-8.311811447,-8.284156799,1
47,321,-8.143645287,-8.331656456,1
47,353,-8.093360901,-7.375665665,1
47,385,-6.96382761,-9.870687485,1
47,417,-6.807106018,-10.02477932,1
47,449,-6.727097511,-7.950903893,1
47,481,-6.964848995,-6.831660271,1
47,513,NaN,NaN,2
47,545,NaN,NaN,2
47,577,-3.251549006,-8.370195389,1
47,609,-1.214351177,-7.621912003,1
47,641,-2.145597935,-7.581161976,1
47,673,-3.250692844,-6.885905743,1
47,705,-3.757910728,-6.287217617,1
47,737,-7.699931145,-5.8632164,1
47,769,-6.452306747,-6.991427422,1
47,801,-6.876032829,-7.071622849,1
47,833,-7.746830463,-7.140795231,1
47,865,-8.736962318,-6.534513474,1
47,897,-8.012360573,-3.877720118,1
47,929,-8.342263222,-3.697123051,1
47,961,-8.168274879,-4.178028584,1
47,993,-6.951691151,-4.218019485,1
47,1025,-5.765890598,-3.288624287,1
47,1057,-3.665921926,-0.8638010025,1
47,1089,-3.341075897,-0.02602362633,1
47,1121,-4.801399708,-1.259504557,1
47,1153,-5.551033974,-2.14010191,1
47,1185,-3.202236652,-4.12161541,1
47,1217,-1.042195082,-3.657981873,1
47,1249,-0.1660211086,-2.904144287,1
47,1281,-2.558423996,-0.04132425785,1
47,1313,-3.244541407,-0.7704581022,1
47,1345,-2.662526846,-1.280446768,1
47,1377,-2.679228783,-1.788220048,1
47,1409,-1.415020943,-1.888408184,1
47,1441,-2.328960419,-0.5381507874,1
47,1473,-2.976785183,2.120658159,1
47,1505,-1.686984539,3.306318283,1
47,1537,1.441465855,2.322049141,1
47,1569,2.05460763,2.317026138,1
47,1601,2.248189926,0.3516605496,1
47,1633,3.082300186,-0.4292897582,1
47,1665,2.908721924,0.6785669327,1
47,1697,2.920208454,1.27619493,1
47,1729,4.454139233,2.293450117,1
47,1761,3.924260616,1.685635805,1
47,1793,1.588225365,0.2349972725,1
47,1825,2.572300911,1.139978528,1
47,1857,2.738806248,1.362407207,1
47,1889,2.334560871,2.138274908,1
47,1921,1.906327724,1.084713936,1
47,1953,1.686828136,0.4461328983,1
47,1985,1.497460365,-0.4397116899,1
47,2017,-1.13743782,-5.1772089,1
79,33,NaN,NaN,2
79,65,-1.762663126,-9.419931412,1
79,97,-1.425318718,-8.968740463,1
79,129,-1.97680974,-7.972553253,1
79,161,-3.128214359,-7.191984177,1
79,193,-3.552261829,-8.674427986,1
79,225,-3.934335232,-9.768215179,1
79,257,-5.680675983,-9.88442421,1
79,289,-6.945175171,-9.077799797,1
79,321,-7.369719028,-8.575156212,1
79,353,-7.106125355,-6.970858574,1
79,385,-5.825397015,-6.693533897,1
79,417,-5.889216423,-8.913471222,1
79,449,-7.017068863,-9.154186249,1
79,481,-6.645578861,-8.117203712,1
79,513,NaN,NaN,2
79,545,NaN,NaN,2
79,577,-4.981485844,-9.717759132,1
79,609,-3.987493038,-8.682919502,1
79,641,-3.754630566,-7.644943237,1
79,673,-4.085243225,-7.253410816,1
79,705,-3.98501873,-7.952976704,1
79,737,NaN,NaN,2
79,769,-5.970374107,-7.933805466,1
79,801,-6.124123573,-7.917058945,1
79,833,-7.034929276,-7.583127499,1
79,865,-7.890775204,-7.296343803,1
79,897,-7.493393898,-4.706759453,1
79,929,-7.063602448,-4.355317593,1
79,961,-6.524483204,-4.34950304,1
79,993,-6.321559906,-4.210000515,1
79,1025,-6.270573139,-4.821816921,1
79,1057,-4.444462299,-3.486977816,1
79,1089,-3.873891354,-2.282816172,1
79,1121,-4.125851631,-2.971790314,1
79,1153,-5.149674892,-1.996912241,1
79,1185,-3.985901356,-1.967925072,1
79,1217,-2.496572256,-1.833773613,1
79,1249,-2.756140947,-1.63485384,1
79,1281,-2.557022095,-1.252869725,1
79,1313,-1.376930714,-1.469102502,1
79,1345,-2.202383041,-0.4906191826,1
79,1377,-2.415628433,-2.019508362,1
79,1409,-0.7871627808,-2.050169945,1
79,1441,-0.4776363969,-0.726380229,1
79,1473,-0.8901798129,0.3207138777,1
79,1505,-0.6162917614,0.8549993038,1
79,1537,1.560318828,1.649897099,1
79,1569,1.65637064,1.339763165,1
79,1601,2.071550369,1.130295515,1
79,1633,4.136565208,1.693577766,1
79,1665,3.622044325,1.357349873,1
79,1697,3.929099083,2.247657776,1
79,1729,4.749289036,2.115034103,1
79,1761,4.746552467,1.106216431,1
79,1793,1.779557943,-0.4106068909,1
79,1825,2.338693619,-0.8834545612,1
79,1857,2.353392601,2.606138706,1
79,1889,1.850101471,3.323935032,1
79,1921,1.600932598,2.322638988,1
79,1953,1.224986672,1.786611795,1
79,1985,1.538586378,0.03139747679,1
79,2017,NaN,NaN,2
111,33,-18.90068054,0.6266508102,1
111,65,-1.747358322,-9.084945679,1
111,97,-1.788737535,-9.880634308,1
111,129,-1.981093645,-8.702517509,1
111,161,-2.015930176,-7.876498222,1
111,193,-2.825145245,-8.201936722,1
111,225,-4.872572422,-9.688891411,1
111,257,-5.467122078,-10.03034401,1
