PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 17, filenames: A:[17]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[18]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.300494194,0.8247733116,1
47,65,1.179572463,7.593183041,1
47,97,1.974165797,2.783667564,1
47,129,0.8018426895,1.378368378,1
47,161,0.3855456114,4.179722786,1
47,193,-0.2584579885,5.468918324,1
47,225,0.2468389273,5.229152679,1
47,257,0.6340392828,6.534119129,1
47,289,1.133760333,6.46248436,1
47,321,2.926966906,5.134656906,1
47,353,0.4266432524,4.902905464,1
47,385,0.5024363995,4.165395737,1
47,417,1.634046197,3.159042597,1
47,449,1.676754117,2.046437263,1
47,481,1.006714702,2.575888634,1
47,513,0.7502194643,4.892407417,1
47,545,1.218545318,4.134772778,1
47,577,1.982786179,3.718155861,1
47,609,2.254703283,2.148308277,1
47,641,1.372406006,4.072285652,1
47,673,0.1733977795,1.432338238,1
47,705,-14.70232105,-2.530610085,1
47,737,12.41799545,4.78293705,1
47,769,2.437586784,3.2365942,1
47,801,0.186401844,0.1388398409,1
47,833,-1.057503223,-0.699215889,1
47,865,5.74911499,6.077260017,1
47,897,1.931274652,3.956799507,1
47,929,3.066298723,6.212375641,1
47,961,3.228183746,4.203475952,1
47,993,4.298242569,3.633898735,1
47,1025,5.467405319,4.935917854,1
47,1057,5.002128124,4.660999298,1
47,1089,3.232661247,4.244578362,1
47,1121,1.870193839,4.898898602,1
47,1153,0.05901861191,4.976462364,1
47,1185,-2.404681206,6.842389107,1
47,1217,-1.988547087,6.615568161,1
47,1249,0.9902484417,6.27192688,1
47,1281,4.085412502,6.17666769,1
47,1313,4.722433567,5.846134663,1
47,1345,4.246016979,7.985561371,1
47,1377,2.825746059,9.447477341,1
47,1409,3.555999279,11.90644073,1
47,1441,3.751179457,8.544305801,1
47,1473,1.163285017,3.401939392,1
47,1505,-1.890296459,12.02406502,1
47,1537,-3.523418427,-2.30846405,1
