PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 28, filenames: A:[28]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[29]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.5967341661,4.186300755,1
47,65,-0.07587711513,0.6836020947,1
47,97,-0.5467865467,-0.1545219421,1
47,129,-1.138921499,1.403530478,1
47,161,-0.5629712343,-0.6367630959,1
47,193,0.3649663329,15.17933846,1
47,225,7.970508575,4.129966259,1
47,257,10.09793472,10.73824883,1
47,289,2.508497477,3.170527935,1
47,321,2.2403512,3.150858402,1
47,353,1.429387569,2.192453861,1
47,385,1.443478584,1.748547077,1
47,417,1.62831068,3.855207443,1
47,449,0.1358456612,6.186215401,1
47,481,-0.08954691887,5.057927132,1
47,513,0.2808161974,3.937127113,1
47,545,0.6582159996,4.345871449,1
47,577,0.9136173725,4.656800747,1
47,609,1.667219639,4.671394348,1
47,641,2.7222085,5.361739635,1
47,673,5.716526508,14.51780128,1
47,705,-14.23060226,-0.441576004,1
47,737,0.8845777512,0.6166200638,1
47,769,5.126384735,6.575328827,1
47,801,1.087954998,-0.1187705994,1
47,833,0.3815741539,5.694208622,1
47,865,2.395606518,5.895599842,1
47,897,3.206270695,6.175064087,1
47,929,6.800689697,8.900705338,1
47,961,6.56680584,7.363019943,1
47,993,3.371732712,6.784293175,1
47,1025,2.48948884,7.42044735,1
47,1057,3.55360508,6.606486797,1
47,1089,5.240207672,5.214728832,1
47,1121,4.195515633,5.53372097,1
47,1153,2.264514923,4.572417259,1
47,1185,2.832002163,4.32199049,1
47,1217,2.711013317,3.924481392,1
47,1249,1.842289925,3.802935123,1
47,1281,1.318071365,5.346669674,1
47,1313,0.8456187248,4.118578911,1
47,1345,1.900577784,3.960402489,1
47,1377,2.92635417,4.549998283,1
47,1409,2.909212589,3.744240761,1
47,1441,1.937147856,1.681665897,1
47,1473,0.4297714233,1.137457013,1
47,1505,0.4894127846,1.633464336,1
47,1537,-6.693767548,5.182188034,1
47,1569,-0.1103725433,11.81142426,1
47,1601,1.843276978,10.91558075,1
47,1633,1.850975513,9.969356537,1
47,1665,1.153378487,0.2816728354,1
47,1697,1.306231976,0.984685421,1
47,1729,2.036452293,1.340696096,1
47,1761,2.143609524,1.66412878,1
47,1793,-0.4075815678,-1.793272257,1
47,1825,-0.5736637115,0.02585554123,1
47,1857,-2.353697777,-0.8149776459,1
47,1889,-0.4430565834,0.08621382713,1
47,1921,1.590822577,2.599080563,1
47,1953,0.7858547568,2.326450586,1
47,1985,3.657112598,3.981910706,1
47,2017,1.016804934,-10.67787647,1
79,33,0.2855632901,1.830888987,1
79,65,-0.1481724083,1.216345668,1
79,97,-0.2148507833,1.260430574,1
79,129,0.2128490806,1.341753006,1
79,161,-1.091717958,1.515758276,1
79,193,-0.5537726283,3.225078106,1
79,225,17.2161293,3.777737617,1
79,257,5.449650764,6.596133232,1
79,289,2.359375715,3.27402544,1
79,321,2.525841951,2.593509436,1
79,353,2.345388889,2.746906996,1
79,385,1.788113594,2.863201141,1
79,417,3.012806892,2.598651409,1
79,449,1.923206568,3.223236322,1
79,481,1.195908546,3.847994566,1
79,513,1.417038441,4.731412411,1
79,545,1.481673241,4.736966133,1
79,577,0.02015054226,1.441591263,1
79,609,1.079770803,4.652014732,1
79,641,2.20737958,4.906246662,1
79,673,8.898696899,5.465801239,1
79,705,-14.80197716,-3.476553917,1
79,737,-0.9329357147,13.38777065,1
79,769,-1.149191856,13.73943806,1
79,801,1.452330828,8.121328354,1
79,833,2.198450565,5.958379745,1
79,865,2.103565931,6.854880333,1
79,897,0.4816021919,1.735498905,1
79,929,5.01629734,6.809766293,1
79,961,15.85110474,16.84627533,1
79,993,3.012694597,6.897265911,1
79,1025,1.878534555,7.310018539,1
79,1057,2.328039646,7.242529869,1
79,1089,2.192902565,6.520394802,1
79,1121,1.094992399,6.021131516,1
79,1153,2.504187107,5.345406532,1
