PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 32, filenames: A:[32]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[33]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,8.990635872,0.4553389549,1
47,65,4.109273434,5.609090805,1
47,97,1.565834403,7.719307423,1
47,129,0.4402273893,6.87501049,1
47,161,0.8079442978,5.635047436,1
47,193,0.8337526321,6.93938303,1
47,225,1.540340424,6.861589432,1
47,257,2.465019941,6.761431694,1
47,289,1.973282576,5.119817257,1
47,321,1.679873824,3.329027176,1
47,353,1.351438999,3.384817839,1
47,385,1.633758545,4.249332905,1
47,417,2.07531476,6.203776836,1
47,449,3.444282532,6.300166607,1
47,481,3.920351028,4.890197277,1
47,513,3.709612846,3.702579975,1
47,545,4.324201584,3.655472755,1
47,577,4.152842522,3.504771233,1
47,609,4.41197443,3.919392109,1
47,641,4.097452164,2.19213295,1
47,673,3.256082535,1.356847525,1
47,705,-2.142249584,10.39972401,1
47,737,1.3804636,1.731692791,1
47,769,0.5412623882,1.746953487,1
47,801,1.450712204,1.161653042,1
47,833,2.700329304,1.879294872,1
47,865,2.606276274,2.267049789,1
47,897,0.2365865707,3.635895729,1
47,929,-0.5323070288,1.489151955,1
47,961,-1.828227401,6.131670952,1
47,993,0.7216365337,4.0066185,1
47,1025,1.387849569,4.566596031,1
47,1057,1.422875166,4.60649395,1
47,1089,0.5637100339,4.66642952,1
47,1121,0.9585719109,4.536315441,1
47,1153,1.040463448,4.326133251,1
47,1185,2.950711489,3.965322971,1
47,1217,2.015229225,3.533916473,1
47,1249,0.7384756804,1.922603607,1
47,1281,3.445680141,2.13863802,1
47,1313,0.01761960983,7.804850578,1
47,1345,-1.085697889,3.029185772,1
47,1377,-0.5613598824,3.580286741,1
47,1409,0.7012050152,3.362999439,1
47,1441,3.010724068,3.532886028,1
47,1473,3.979933739,3.465520859,1
47,1505,2.563524961,4.148071289,1
47,1537,2.591105223,7.66826725,1
47,1569,1.818296194,8.488940239,1
47,1601,2.733133793,5.895329475,1
47,1633,1.582211733,2.775484562,1
47,1665,0.2582759857,0.6216689348,1
47,1697,0.5679957867,1.313948274,1
47,1729,0.697817564,1.283920765,1
47,1761,0.4405314922,-0.1016880274,1
47,1793,0.6447873116,-0.9927724004,1
47,1825,0.5658295155,0.2993781567,1
47,1857,2.662148476,2.763535976,1
47,1889,2.028719187,2.655248165,1
47,1921,0.9663897157,2.564570427,1
47,1953,0.05998343229,1.907200336,1
47,1985,-0.2733335197,5.08754015,1
47,2017,0.7356636524,-1.646906018,1
79,33,2.610883236,-0.158267498,1
79,65,4.941414356,5.102173328,1
79,97,3.697711945,7.70924902,1
79,129,1.368507624,6.079942226,1
79,161,0.6567156315,7.430300236,1
79,193,1.003147244,6.613491535,1
79,225,1.668603897,6.610897541,1
79,257,2.608162165,4.451904774,1
79,289,2.162079811,5.550743103,1
79,321,2.319580793,4.620773792,1
79,353,2.247636318,4.538508415,1
79,385,2.554834604,3.339251518,1
79,417,4.026220322,5.015982628,1
79,449,3.517521143,5.619833946,1
79,481,3.055613995,4.457685471,1
79,513,2.641790867,4.921683788,1
79,545,2.650239468,9.004692078,1
79,577,2.362330437,5.106095314,1
79,609,3.563405752,4.102854729,1
79,641,3.48399353,3.02753973,1
79,673,3.11187458,2.394505739,1
79,705,1.827894211,1.703161716,1
79,737,0.1386950016,0.3650341034,1
79,769,0.2598261833,0.9461741447,1
79,801,-6.949429989,0.6646118164,1
79,833,-3.056195021,14.4781065,1
79,865,-1.995513916,11.4431839,1
