PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[10]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.2084430456,0.0708565712,1
47,65,1.029647708,5.500659943,1
47,97,1.320600271,6.547198296,1
47,129,0.349729538,3.466882229,1
47,161,2.207690239,4.487201691,1
47,193,5.597136497,3.831789017,1
47,225,6.133710861,7.867974758,1
47,257,5.003156662,9.737931252,1
47,289,5.462871075,8.69196701,1
47,321,5.050365448,6.341868401,1
47,353,3.964052677,5.42766571,1
47,385,2.052230835,5.877088547,1
47,417,2.572481632,6.942359924,1
47,449,3.099309921,9.612361908,1
47,481,3.251050711,11.2481041,1
47,513,2.985615015,11.05782318,1
47,545,3.847407818,10.478899,1
47,577,5.125528336,10.8363533,1
47,609,6.484975815,11.32009697,1
47,641,6.18634367,12.41089916,1
47,673,3.388248682,11.02919292,1
47,705,1.521217346,12.38608074,1
47,737,1.654542208,12.10723114,1
47,769,5.334402084,9.496635437,1
47,801,6.588773251,11.76800442,1
47,833,6.402023792,11.87736797,1
47,865,5.249078751,10.43647003,1
47,897,5.158383369,11.28538418,1
47,929,7.802690506,12.4606514,1
47,961,7.579166412,13.05912018,1
47,993,5.80286026,8.327635765,1
47,1025,6.380295277,9.664484024,1
47,1057,10.70426941,13.73105621,1
47,1089,12.92510986,1.987861633,1
47,1121,9.068101883,2.637730598,1
47,1153,9.996547699,8.936185837,1
47,1185,11.37410069,7.612427711,1
47,1217,12.76606083,5.337479591,1
47,1249,14.30499458,5.234670639,1
47,1281,14.41967201,7.081953049,1
47,1313,12.9116106,8.216331482,1
47,1345,9.719152451,7.103000641,1
47,1377,11.28993988,7.210803986,1
47,1409,9.463829041,4.717106819,1
47,1441,-1.541194916,0.1528812647,1
47,1473,-5.871552467,11.69183731,1
47,1505,1.969079971,-5.212249756,1
47,1537,-3.561414719,-2.243208885,1
47,1569,-1.879436493,-1.493445873,1
47,1601,9.247652054,2.920658112,1
47,1633,9.974328041,5.680618286,1
47,1665,11.73768902,11.29620075,1
47,1697,9.466680527,1.741875172,1
47,1729,8.392255783,2.511766434,1
47,1761,7.524514198,1.654426932,1
47,1793,7.037824631,0.3176291585,1
47,1825,6.22654438,-0.2289318144,1
47,1857,7.989639282,0.4844284058,1
47,1889,7.007753372,0.4998448491,1
47,1921,0.1202759743,-0.6357209682,1
47,1953,0.4063644409,-0.1891756058,1
47,1985,2.347569466,1.252523899,1
47,2017,33.7433548,0.1762599945,1
79,33,0.6644563675,0.3259348869,1
79,65,0.4041092694,5.102034569,1
79,97,0.7281605601,7.364547253,1
79,129,2.913250446,5.712493896,1
79,161,1.969926357,6.823490143,1
79,193,3.174644947,6.451496124,1
79,225,3.119697094,7.939349651,1
79,257,2.788314819,8.827837944,1
79,289,3.12475872,10.04778671,1
79,321,4.75595665,8.084868431,1
79,353,3.546513081,6.544980526,1
79,385,2.763819218,6.658801079,1
79,417,2.830935955,8.69876194,1
79,449,2.926367998,9.231740952,1
79,481,3.058613539,9.972827911,1
79,513,3.721971989,10.32909393,1
79,545,4.295151234,10.65885735,1
79,577,4.723679543,11.44115734,1
79,609,5.376705647,18.3940506,1
79,641,4.137358189,11.68585205,1
79,673,3.484141827,10.65896702,1
79,705,2.439217567,10.76669312,1
79,737,1.864068031,9.720115662,1
79,769,4.9801507,10.74518776,1
79,801,7.848228455,11.31713676,1
79,833,7.088127136,9.933195114,1
79,865,5.103851318,11.67203236,1
79,897,5.853455544,11.99979877,1
79,929,5.84252739,10.69107056,1
79,961,6.392018795,9.941884995,1
79,993,6.181605339,3.944469452,1
79,1025,7.654125214,10.37273598,1
79,1057,8.34928894,9.856939316,1
79,1089,-6.11863327,10.0480566,1
79,1121,-6.103890419,9.23621273,1
79,1153,10.27222538,9.275140762,1
79,1185,11.58533573,9.221014977,1
79,1217,12.12639046,8.834266663,1
79,1249,12.99565792,7.370186329,1
79,1281,13.03408432,7.29610014,1
79,1313,12.58837795,7.650145054,1
79,1345,11.89824581,7.299228191,1
79,1377,9.96258831,6.224226952,1
79,1409,20.67454338,4.666584969,1
79,1441,-0.34927845,1.963665724,1
79,1473,-6.496854782,-1.770771861,1
79,1505,-3.903131485,1.163442612,1
79,1537,4.745421886,2.900771618,1
79,1569,16.23621559,-1.281676888,1
79,1601,8.921785355,3.189975977,1
79,1633,6.958974838,4.84747982,1
79,1665,8.872530937,2.450255632,1
79,1697,9.045191765,1.843284249,1
79,1729,7.814996719,1.65722394,1
79,1761,7.146551132,0.9009523392,1
79,1793,7.645636559,0.009189903736,1
79,1825,7.12694931,0.2419565916,1
79,1857,6.559035301,0.5631228089,1
79,1889,6.803879261,1.288301826,1
79,1921,6.369907379,3.145576954,1
79,1953,1.654380322,0.8268117905,1
79,1985,2.51701498,1.558644652,1
79,2017,-1.244636536,-2.707066298,1
111,33,0.7020437717,0.1993227005,1
111,65,0.2456630468,5.422376633,1
111,97,0.356300354,8.657951355,1
111,129,-0.02446955442,8.901734352,1
111,161,0.7425251007,8.453378677,1
111,193,1.624352217,8.003984451,1
111,225,2.253138542,7.864545822,1
111,257,2.612314939,8.856144905,1
111,289,1.243322611,10.57854652,1
111,321,3.451584816,10.25862217,1
111,353,4.14508152,9.243104935,1
111,385,3.118064165,7.069158554,1
111,417,2.376359463,9.042196274,1
111,449,2.789718866,8.724349022,1
111,481,3.892503738,8.983310699,1
111,513,5.108264446,9.772328377,1
111,545,5.236148834,10.71894073,1
111,577,5.092139244,11.24832344,1
111,609,4.874146461,12.27665424,1
111,641,4.052470207,11.49256706,1
111,673,3.396999359,10.85405636,1
111,705,3.512938976,11.30647755,1
111,737,4.350890636,11.27224255,1
111,769,5.330271244,11.48519802,1
111,801,7.216870785,11.25049591,1
111,833,7.786399841,11.5202055,1
111,865,6.115024567,12.19088554,1
111,897,6.279427528,11.7678442,1
111,929,6.250240326,10.44280624,1
111,961,6.461905003,8.988448143,1
111,993,-0.003046035767,0.6537857056,1
111,1025,8.075792313,10.52517891,1
111,1057,7.194540024,12.1210947,1
111,1089,2.194015026,8.480340958,1
111,1121,9.5252285,1.275068283,1
111,1153,10.26652241,11.05190754,1
111,1185,11.32175827,10.70987606,1
111,1217,12.44316387,10.61026192,1
111,1249,12.44440269,8.971561432,1
111,1281,12.1992197,7.60067749,1
111,1313,12.03961277,7.084687233,1
111,1345,11.7382412,5.796721458,1
111,1377,11.35725403,6.160192966,1
111,1409,7.211707115,-10.46584034,1
111,1441,-0.8428201675,1.230452538,1
111,1473,-1.428768158,0.1292699575,1
111,1505,4.359519482,5.024526596,1
111,1537,7.432961941,3.857516289,1
111,1569,6.946584225,4.383718491,1
111,1601,5.057979107,3.532284498,1
111,1633,6.991617203,3.316437483,1
111,1665,8.863378525,2.649101973,1
111,1697,8.974866867,2.135581732,1
111,1729,8.423224449,1.439988732,1
111,1761,7.491107941,0.4669386148,1
111,1793,8.014760971,-0.3407047987,1
